,X600519.SH,X000858.SZ,X000651.SZ,X600276.SH,X600104.SH,X002415.SZ,X002304.SZ,X000725.SZ,X000063.SZ,X002475.SZ,X000568.SZ,X600031.SH,X600690.SH,X000338.SZ,X600741.SH,X000661.SZ,X600809.SH,X000596.SZ,X600183.SH,X601877.SH,X002236.SZ,X002007.SZ,X600703.SH,X300003.SZ,X000157.SZ,X000100.SZ,X300142.SZ,X002179.SZ,X600271.SH,X300124.SZ,X002241.SZ,X000625.SZ,X600498.SH,X002463.SZ,X002129.SZ,X600177.SH,X002506.SZ,X300136.SZ,X600867.SH,X300146.SZ,X600066.SH,X300014.SZ,X002008.SZ,X002049.SZ,X600487.SH,X000050.SZ,X002371.SZ,X000977.SZ,X600118.SH,X000066.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.371698488445596,0.0148835713035488,0,0,0.101605959945014,0,0,0,0.0112711472937258,0,0,0,0.00170724266440743,0,0,0,0,0,0,0,0,0.0307109717815105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0149453294686438,0,-0.00904674509926376,0,0,0,0,0,0,0
X000858.SZ,0.0470190977907195,0,0,0,0,0,0,0,0,0.155071074102653,0.336834483337612,0,0,0.0417742598281053,0,0,0,0.045875363553947,0,0,0,0,-0.0257382130655316,0,0,0,0,0,0,0,0,0,0,-0.0903186975424628,0.0222966514592446,0,0,0,0,0,0,0,0,0,0,0,0.126510241478511,0,0,0,0,-0.0146784625906791,0,0,0,0,-0.0122239782476515,0,0
X000651.SZ,0,0,0,0,0,0,0.275851354595125,0,0.0549314222687055,0.138404727753934,0,0,0,0,0.0717206988137659,0.0589332705715552,0.043864812717912,0,0,0,0,0.151502187523374,0,0,0,0,0.0442672228467535,0,0,0,0,0,0,0,0,0,0,0.000153058879428491,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0255372351706733,-0.0105344505421856,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0.206979263754577,0,0,0,0,0,0.108009079264691,0,0,0.116784138277056,0,0,0,0,0,0,0,0.219390448981208,0,0,-0.0381636264017455,-0.105394036346172,0,0,0,0,0,0,0,0.230259149832694,0,0,0,0,0.0703303773110769,0,0,0,0,-0.0322398991484692,-0.118327024391602,0,-0.0143213524836146,-0.00196831655182106,0,0,0,0.0807221877612491,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0.0738964041985156,0,0,0,0,0.0395854564576379,0,0,0,-0.0319795387610494,0,0,0.110475444981247,-0.00836121693351017,0.104282267197934,0,0,0,0,0,0,0,0.289045424760189,0,0,0,0,0,0,0,0,0,0.0175732525086215,0,0,0,0,0,0.0365528634094441,0,0,0,0,0,0,0,0,0,0,0
X002415.SZ,0,0.183879598211323,0,0,0,0,0,0,0,0.0144221463417916,0,0,0,0,0,0,0,0,0,0,0.587608491021851,0,0,0,0,0,0,0,0,0,0.270598362222039,0,0,0,0.0737897805958192,0,0,0,0.0253193201294431,0,0,0,0,0,0,0,0,0,0,0,0,0.00462640672619351,0,0,0,0,0,0,0
X002304.SZ,0,0.115764205433504,0,0,0,0.0227108434212304,0,0,0,0,0.19501467141271,0,0,0,0.190525503368565,0,0.210486785309759,0,0,0,0,0,-0.0362447324460118,0,0,0,0,0,0,0,0,0,0,0,-0.0516178958186,0,0,0,0,0,0,0.0779436422977805,0,0,0,0,0,0,0,-0.0623911577272211,0.128837308694179,-0.0235993817099213,0.0510191401859769,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0.130424477734075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0616782553181795,0,0.0542174927699144,0,0,0,0,0,0,0,0,0,0,0.100837996491965,0,0,0,0,-0.000955909061394919,0,0,0,0,0.00622081326269799,0,0.372036281470062,0,0,0,0,0,-0.00662854929702247,0.0731424556381332,0,0,0,0,0,0
X000063.SZ,0,0.00115710267791912,0,0,0,0,0,0,0,0.289743676746343,0.0535038854065078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.041025724656001,0,0,0.0815868776753667,0,0.50394140829616,0.060878014890475,0,0,0,0,0,0,0,0,0,0.0767575005649781,0,0,0,0,0,0.0835177613015815,0,0.0268838884588413,0.118721679511916,0,0,0,0,0,0
X002475.SZ,0.232211391889429,0.155013950031977,0.167638785836263,0,0,0.215514841382738,0,0,0.320689290152996,0,0,0,0,0,0.200702281541427,0,0,0,0,0,0,0,0.121710243926907,0,0,0,0,0,0,0,0,0,0,0.0247027587852657,0,0,0,0,0,-0.153737683623934,0,0,0,0,0,0,0,0,0,0,0,0.015182491948109,-0.047574363109346,0,0,0,0.0513364438977773,0,0
