,X600519.SH,X000858.SZ,X002415.SZ,X000568.SZ,X600809.SH,X600276.SH,X002304.SZ,X002475.SZ,X600690.SH,X000651.SZ,X300124.SZ,X000725.SZ,X600104.SH,X002371.SZ,X002129.SZ,X000063.SZ,X000596.SZ,X600031.SH,X003816.SZ,X300014.SZ,X000625.SZ,X600703.SH,X000338.SZ,X002049.SZ,X002179.SZ,X600089.SH,X002241.SZ,X000100.SZ,X002236.SZ,X000661.SZ,X600584.SH,X600702.SH,X002180.SZ,X600522.SH,X601877.SH,X600460.SH,X000977.SZ,X300142.SZ,X000157.SZ,X600741.SH,X002074.SZ,X002463.SZ,X000733.SZ,X600183.SH,X300003.SZ,X000066.SZ,X002007.SZ,X002414.SZ,X600487.SH,X000799.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.121330144356518,0.119735084413592,0.00416254300291093,0,0,0,0.0260094720221309,0,0,0,0,0,0.0101954160021657,0,0.0496649051398769,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0209838587302742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0106926845731131,0,0,0,0.0792897246784322,0,-0.0150843611087216,0.0344653161647143,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0.0214331086533871,0,0.584106796867568,0,0,0,0,0,0,-0.00115095184128297,0,0,0,0,0,0,0,0,0,0,0,0,-0.0218737805556334,0,0.0505949093920685,0,0,0,0,-0.013044049355654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0262859785407352,-0.00759592055524409,0,0,0,0,0,0
X002415.SZ,0,0.0664550540205977,0,0,0,0,0,0,0,0,0,0,0,0.0856071907500798,0,4.33680868994202e-19,0,0,0,0.085269359698689,0,-0.0030440885280892,0,0,0,0,0,0,0.203159240164977,0,0,0,0.0875707371348904,-0.0357607004254997,0,0,0,0,0,0,0.0420399246908456,0,0,0,0,0,0,0,0,0,0,0,-0.0221232306303847,0,0,0,0,0,0
X000568.SZ,0,0.299252883173833,0.145433752684344,0,0,0,0.401774987882493,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0600288086446666,0,0,0,0,0,0,0,0,1.73472347597681e-18,-0.0632332234630719,0,0,-0.0578631827497434,0,0,0,0,0,0,0,0,-0.0130179716279715,0,0,0,0.0353225237498967,0,0,0,0,-0.0168726006479413,5.42101086242752e-20,0,0,0,0,0,0
X600809.SH,0,0.0880329952097747,0,0.102509098440538,0,0.0909399161103549,0.048801601386701,0.000537986877796253,0,0,0,0,0,0,0,0,0.0806742011608108,0,0,0,0,0,0,0,-0.0722063347376494,0,0,0,0.0399989579920579,0,0,0,0.0472592611610675,0,0.0374060240238381,0,0,0,0,0,0,0,-0.0784076416885466,0,0,-0.0152781775584512,0,0,-0.0738515521459614,0.235072708339437,0,0,0,0,0,0,0,0,0
X600276.SH,0,0.123378392850548,0,0,0,0,0,-0.00674781958299887,0,0,0,0,0,0.00460468411220322,0,0.014999700729137,0,0,0,0,0,0.0897668020334439,0.0800831116483128,0,0,0,0,0,0,0.0486174699263834,0.0161704673290237,0.140302202048503,0,0,0,0,0,0,0,0,0,0,0,0,0.163174949696348,0,0,0,0.101601658219949,0,0,-0.0118444197470858,-0.00259529854270718,0,0,0,0,0,0
X002304.SZ,0,0.353069013007884,0,0.448648890373498,0,0,0,0,0.0149845021665734,0,0,0,0,-0.00755876153708608,0,-0.0433567185803517,0,0,0,0,0,0,0,0,0,0,0,0,-0.0915569629602428,-8.67361737988404e-19,0.138746739577613,0,-0.0630489643614841,0,0,0,0.0791408165733387,0,0,0,0,0,0.0233733913299583,0,0,-0.0507924279419743,-0.00779554820940353,0,0,0,-0.0676479959637581,-0.00487868174062832,0.0088080943243904,0,0,0,0,0,0
X002475.SZ,0,0,0.121389405562852,0,0,0,0,0,0,0,0.234985173003402,0,0,0,0.0140526906543862,0,0,0,0,0.416231960153459,0,0,0,0,0,0,0.0247900162353326,0,0,0,0,0,0,0.203609612191302,0,0,0,0,0,0,0,0.00147272771043654,0,0,0,0,0.298575901102138,0,0,0,0.335740443626454,0,0,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0,0.126111857648366,0,0,0.249751277300052,0,0,0,0,8.67361737988404e-19,0,-0.118220909219788,0,0,0,0,0,0,0.00721068650107593,0,0,0,0,-0.314203127308169,0.061010718999515,0.205301744507389,0,0,0.00735875286748834,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0130722932140884,0.0229913019922695,0,0,0,0,0,0
X000651.SZ,0,0.146874882092696,0,0,0,0,0,0,0.313461443379703,0,0,0,0,0,0,0,0,0,0,0,0.121945594285167,0.0161872763877303,0,0,0,0,0,0,0,0,0,0,0,0.00170454961096609,0,0,0,0,0,0,0,0,0,0.08053028956386,0,0,0,0,0,0,-0.024845029349641,0,-0.0103556894452842,0,0,0,0,0,0
