,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X002304.SZ,X600276.SH,X000725.SZ,X000625.SZ,X000063.SZ,X002292.SZ,X600690.SH,X600703.SH,X600741.SH,X000100.SZ,X600031.SH,X600066.SH,X002241.SZ,X002236.SZ,X600118.SH,X002506.SZ,X000559.SZ,X600177.SH,X000157.SZ,X002475.SZ,X600372.SH,X000338.SZ,X000568.SZ,X300003.SZ,X002074.SZ,X002085.SZ,X300124.SZ,X002294.SZ,X600089.SH,X002456.SZ,X002426.SZ,X600867.SH,X002465.SZ,X601877.SH,X600498.SH,X000977.SZ,X002007.SZ,X002512.SZ,X000050.SZ,X600699.SH,X000869.SZ,X002049.SZ,X002180.SZ,X300001.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0.133545160132536,0,0.140964296318273,0.436286008852556,0,0,0,0,-0.0791176448178111,0,0,0,0,0,0,0,0,0,0,0.0838050773722839,0,0,0,0,0,0,-0.0506580467263396,0,-0.0371893846626315,0,0,0,0,-0.137100909160593,0,-0.0707431634309951,0,0,0,0,0,0,0,0,0,0.00214000596881829,0,0,-0.0113188659515227,0.0672380853660587,0,0,0,0,0,0
X600104.SH,0.0668065964999538,0,0.135060719786365,0,0,0,0,0,0,0,0,0,0,0.330219284017176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00158247943924823,0,0,0,0,0,-5.42101086242752e-20,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15034301160688,0,0,0.0164720076188863,0,0,0,0,0,0,0,0,0,0,0,0.203235742333391,0,0,0,0,0.0134738774688751,0,0,0,0,0,0.0729633868312052,0,0,0.092012619907437,0,0.117240536752219,0,0,-2.16840434497101e-19,0,0.0498394084839133,0,0,0,0,0,0,0
X000651.SZ,0.025646534673314,0,0,0,0,0,0,0,0.0689687416749968,0.0254127985253876,0,0,0,0,0,0,0,0,0,0,0.0683490850439095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0163999135069973,0.0586756740907113,0,0,0,0,0,-0.0194668584827679,0,0.0134909490923271,-1.73472347597681e-18,0,0,0.0561410797840491,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0.0339322172712473,0,0,0,0,0.0356634236928275,0,0,0,0,0,0,0,0,0,0.145130050474596,0.0259190463464476,0,0,0,0,0,0,0,0,0,0,0,0,0.106088551267602,0,0,0,0,0,0,0,0,0.0625315635153925,0,0,0,0.0924955673777523,0.00696214539164482,0,0.0303605764250599,0,0,0,0,0,0,0
X002304.SZ,0.385564367435051,0,0,0,0.200034171887697,0,0,0,0,0,0.0905563164147166,0,0.0877768195159781,0,0,0,0,0,0.0532702069181392,-4.33680868994202e-19,0,0,0,0,0,0,0,0.0511821401421287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.115400888980142,0.135493470259456,0,0,0,-0.00369737696294349,0.0215618121342953,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0.00559659431663457,0,0,0.0490930301622463,0,0,0,0,0,0,-0.019677439281465,0,0.352028352690947,0,0,0,0,0,0,0.0434744163781761,0,0,0,0,0,0,0,0,0,0.0154629129285048,0,0,-0.0215254813789975,0,0,0,0,0,0,0,-0.00427597009599474,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0337448799328918,0,0,0,0,0.0315278342574483,0.21815924533583,0.060498832929299,0,0,0,0,0,0,0.0384163186461643,0,0,0,0.149385567236003,0.0932125072521641,0,0,0,0,0,0.0198233209207433,0,0,0.0574853552541678,0,0,0,0,0,0,0.0180535850481516,0,0,0,0,0,0,0
X000625.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00721416901593065,0,0,0,0,0,0,0,0,0,0.0481144559056207,0,0,0,1.73472347597681e-18,0,0,0,0,0.0500459551087179,0,0.0493996704326428,0,0.277662217180415,0,0,0,0.0194555183429499,0.0742386615158173,0,0.00442874949795195,0,0,0,0,0,0,0
X000063.SZ,0.0564625933392161,0,0,0,0,0,0,0,0.010914942271115,0,0,0,0,0,0,0.0270309024642725,0,0,0,0,0,0.0950249107419759,0.246588142004186,0,0,0,0,0,0,0,0,0,0,0.278403698974959,-4.33680868994202e-19,0,0,0,0,0,0.086256832589856,0,0,-1.38777878078145e-17,0,0,0.0152288972337009,0,0.0265164241846653,0,-0.0423716099363312,0,0,0,0,0,0,0
