,X600519.SH,X600104.SH,X002415.SZ,X000858.SZ,X000651.SZ,X000725.SZ,X600276.SH,X002304.SZ,X000063.SZ,X600690.SH,X600703.SH,X000568.SZ,X600741.SH,X002475.SZ,X002236.SZ,X000338.SZ,X600031.SH,X000625.SZ,X601877.SH,X600487.SH,X002008.SZ,X002241.SZ,X002456.SZ,X000100.SZ,X600066.SH,X300136.SZ,X600809.SH,X002508.SZ,X300124.SZ,X002294.SZ,X600522.SH,X300003.SZ,X600271.SH,X600867.SH,X002085.SZ,X600089.SH,X000981.SZ,X600498.SH,X000596.SZ,X000157.SZ,X600177.SH,X600699.SH,X600566.SH,X002129.SZ,X000661.SZ,X002179.SZ,X600118.SH,X300142.SZ,X002180.SZ,X002049.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.293636865115995,0,0,0,0.0349271411128827,0,0,0,0,0,0,0,0,0,0,0.146217794098807,0,0.0348871234650831,0,0,0.0337987500315944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0393434627123861,0.0915804964204946,0,0,0,0,0,0
X600104.SH,0,0,0,0,0.196646391426336,0,0,0,0,0,0.0550164719480653,0,0.281033120049731,0.0675101761762368,0,0,0,0,0,0.0145959501221693,0,0,0,0,0,0,0.0364179850674532,0,0,0,0.054766815030804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00218733206479221,0.0936509969866861,-0.0294169291578591,0,-0.0404844810169541,0.0576806774549693,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0.0106453915662278,0,0,0,0,0,0,0,0,0,0,0,0,0.0988586903874004,0.10451411170785,0.462094785947697,0,0.0560895565656719,0.0252558577445663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.160755078277282,0,0,0,0,0,0,-0.0165501090204933,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0,0.19026946998446,-0.0456995132665736,0,0,0.366819628929217,0,-0.0253146313233717,0,0.0115091424211256,0,0,0,0.086499485930805,0,0,0,0,0,0,0.215778091858621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00917502270614919,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0.220751052031118,0,0,0,0,0.0618343671994189,0,0,0,0.00187158326079203,0,0,0,0,0,3.46944695195361e-18,0.00176889579120362,0,0,0,0,0,0,0,0,0,0,0.0172334310311982,0,0,0,0,0,0,0,0,0,0,0,0,-0.00761695586544968,0,0,0,0.1207449880824,0.109838013339553,0,0,0,-2.16840434497101e-19,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0.419009375506449,0,0,0,0,0,0,0,0.0713441811979007,0,0.229269337424093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.174808091206957,0,0,0,0,0.361244602756346,0,0,0,0,0,0,0,0,0,0,0,0,-0.0635938284676019,0.0919109368019626,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0.166517775415498,0,0,0,0.142986951857055,0,0,0,0,0,0,0,0,0,0.00154777473464736,0,0,0,0,0,0,0.00319729040393162,0,0.277030211405367,0,0,0,0,0,0,0,0,0,0.0147387608931117,0,0,0,0,0,0,0,0,0,0,-0.0639740411262237,0,-0.0434599463644588,0.0765143703863148,0,0,0,0,0,0
X002304.SZ,0.267062600025331,0,0,0,0,0.0321860688327885,0,0,0,0,0,0.164411443642718,0.208993419348112,0,0,0,0,0,0,0,0.0503198855338858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0596352350916988,0,0,0,0,0,0,-0.0284602099143209,0,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0.267901094788443,0,0,0,0,0,0,-0.057500193858486,0,0.209113913989855,0,0,0,0,0,0,0,-0.00242632984773246,-0.0245713389573105,0,0,0,0,0,0,0.314562162512994,0,0.112751412587463,0,0,0,0,0.315382374442083,0,0,0,0,0,0,0,0,0,0,0,0.19686713742329,0,-0.00431707531813028,0.0148808834744223,0,0,0,0,0,0
X600690.SH,0,0.33777788466087,0,0.119441341816667,0.0826806703838298,0,0,0,0,0,0,0,0.0590256282721339,0,0,0,-0.0740287241328774,0,0,0,0.220607022976301,0.0102695597307974,0,0.0686895671295328,0,0,0,0,0,0,0.0581566762560463,0,-0.0191116368045884,0,0,0,0,0,0,0,0,0,0,-0.028800943470464,0,0,0,0,-0.143105663857251,0,0,-0.0155202883999666,-0.0132909114735988,0,0,0,0,0,0
X600703.SH,0,0,0,0,0,0.133963032940643,0.35449115982428,0,0,0,0,0,0.0898138791696744,0.0685854737153352,0,0,0,0,0,0,0.0347302315799939,0,0,0,0,0.0431635328173839,0,0,0,0,0,0,0,0,0,0,0,0.184093457597671,0,0,0,0.00725341689187285,0,0,0.10743489513204,0,0,0,0,0.233387183517588,0,-0.0277890715005109,0.00154496854078464,0,0,0,0,0,0
X000568.SZ,0,0,0,0.206825713064306,0,0,0,0.160308008592034,0,0,0,0,0,0,0.123136366297639,0,0,0,0,0.0721932198017263,0.0327776253517289,0,0,0,0,0,0.0429454675491555,0,0,0,0,0,0,0,0,0,0,0,0.125909672032833,0,0,0,0,0,0,0,0,0,0,0,0,0.0111059456648834,0,0,0,0,0,0,0
X600741.SH,0,0,0,0,0,0,0,0,0,0.252421421092221,0.00461734036079423,0.0566708288924469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.132550002526512,0,0,0,0.129457498525376,0,0,0,-0.0354109621368401,0.0804937667562184,0,0,0,0,0,0
