,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X000568.SZ,X600276.SH,X002304.SZ,X600690.SH,X002475.SZ,X000651.SZ,X300124.SZ,X600104.SH,X300014.SZ,X000725.SZ,X000596.SZ,X600031.SH,X000625.SZ,X002129.SZ,X003816.SZ,X002371.SZ,X000063.SZ,X002049.SZ,X000338.SZ,X600703.SH,X002179.SZ,X600089.SH,X000661.SZ,X002241.SZ,X002180.SZ,X000100.SZ,X601877.SH,X300142.SZ,X600702.SH,X600741.SH,X000733.SZ,X002074.SZ,X600522.SH,X600460.SH,X000157.SZ,X600584.SH,X000799.SZ,X300003.SZ,X600884.SH,X000066.SZ,X002294.SZ,X002236.SZ,X002007.SZ,X601799.SH,X000977.SZ,X002414.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.231169245807902,0.261323170786009,0,0.0269347102310233,0.00238774617215706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0380784359910764,0,-0.00596187250195607,0,0,0,0.0582191335090077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0316600128627011,0,0,0,-0.00237689396452074,0.00736098253263288,0,0,0,0,0,0
X000858.SZ,0,0,0,0.114897377554439,0,0,0.618367048110025,0.105113551876621,0,0.174084465288939,0,0,-0.0248064198870741,0,0,0,0,0,0,0,0,0,0,0.0365616788929764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0353236856951943,0,0,0,0,0,0,0,-0.0526568798697248,0,0,-0.0216463006530039,0.00280925607049349,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0.138112745945575,0,0,0,0,0,0,0,0.0552664940132042,0,0,0,0,0,0,0.0653318310129034,0.0266362585165709,0,0,0,0,0,0,0.0169985298993775,0,0,0,0.0241095374641654,0,0,0,0,-0.0128250103964371,0,0,0,0,0,0,0,0,0,0,0,0.167012771541732,0,0,0.00414475312019892,-0.0257908264818823,0,0,0,0,0,0
X600809.SH,0,0,0,0,0.651408058882261,0,0.112540800874502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0525217990512739,0,0,-0.0564379785770954,0,-0.0258746143374581,-0.0320795403104784,0,0,0,0,0,-0.05151118208456,0,0,0,0,0,0,0,-0.0120258277738036,0.0109686194405889,0,0,0,0,0,0
X000568.SZ,0.142717693381421,0.314375100735817,0.00102966146252095,0.360346413339566,0,0,0.120768957580189,0.101221999817197,0,0,0,0,0,0,0,0,0,0,0,0.0437015013153894,0,0,0,0,0,0,0.11319303130489,-0.066595539878314,0,0,0,0,0,0,0,0,0,0,0,0,0.0892119829054448,0,-0.0665826996172144,0,0,0,-0.0576614603656483,0,0,0,0,-0.00819906768597524,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.191858954910773,0.00688683123294317,0,0,-0.191553165105581,0,0,0.330673669220402,0,0,-0.0124880569782212,0,0,0,0,0,0,0.0421998388085829,0.036693713006203,0,0,0,0,0,0,-0.0329258936383068,0.0230510994394108,0,0,0,0,0,0
X002304.SZ,0,0.38726004357214,0.00939293960090913,0,0.329619002114762,0,0,0,0,0,0,0,0,0,0.0876787859347996,0,0,0,0,0,0,0.0678652198684451,0,0,0,0,0,-0.0428010482286614,0,0,0,-0.028595931985456,0,0,0,0,-0.0459129128852416,0,0,0,0,0,0,-0.0843504833138175,-0.0548796429486304,0,0.0384899805701389,0,0,0,-0.00362080714778318,-0.00509222218005013,0.00841955005278981,0,0,0,0,0,0
X600690.SH,0.0845408516985378,0,0,0.0181980926012535,0,0,0,0,0,0.0903138369281893,0,0,0,0,0.0997590519911802,0.250548680278293,0.0287158552468575,0,0,0,0,0,0,0,0,0,0,0,0,0.0727068426995335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00763586614311952,0,0,0.0668734285613377,0,0,-0.000676008550589141,-0.000271614673441928,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0.302062970697971,0,0.259131915669988,0,0,0,0,0.0259317949564932,0,0.256471888020306,0,0,0,0,0,0,0,0.229069877908172,0,0,0,0.132284328610378,0,0,0.120807102723216,0,0.14121339589793,0,0,0,0,0,0,0,0,0,0.0963245790907731,0,0,0,0.294130819237349,0.040087149688227,-0.054764960198366,0,0,0,0,0,0
X000651.SZ,0,0.254671251846277,0,0,0,0,0,0.281001782603274,0,0,0,0,0,0,0,0.0799927785223772,0,0,0,-0.0140722886759086,0,0,0,0,0,0,0,0,0,0,0,0.0308548472404611,0,0,0,0,0,0,0,0.0159250363742743,0,-0.027554873998944,0,0,0,0,0,-0.026426229857586,0,0,0,-0.00141923035550661,-0.00239792044660169,0,0,0,0,0,0
X300124.SZ,0,0,0,0,0,0,0,0,0.0821697806615576,0,0,0,0.0855652141762969,0,0,0,0,0,0,-4.33680868994202e-19,-0.0163996930321899,-0.180271406415006,0,0,0,0,0,0,0.130951501338797,0,0.0580351739189252,-0.0455874242291409,0.118102990342515,0,0,0,0.103038098698191,0,0,0,0,0,0,0,0,0,0.222954456341439,0,-0.0835007520390986,0,0,-0.013205658721322,-0.00402171756881374,0,0,0,0,0,0
X600104.SH,0,0,0,0,0.0588186059102674,0,0,0.0321445450293159,0,0,0,0,0,0.0660454238532943,0,0.112346455466426,0.0504990286362257,0,0,-0.0468473307078347,0,0,0,0,0,0,0,0.00922188152534067,-0.0487559794962563,0.0719072534599964,0,0,0,0,0,0,0.0229017548417843,0,0,0,0,0,0,0,-0.0652147758979133,0.011861526309843,0,0,0,0,0,0.0283078017138529,-4.33680868994202e-19,0,0,0,0,0,0
X300014.SZ,0,0,0,0,0,0,0,0,0,0,0.2651922759023,0,0,0,0,0,0.20563438702532,0.301217951504376,0,0,-0.0819372187800138,0,0,0,0.0781565632743048,0,0,0,0,0,0,0,0,0,0,0.0110332544240013,0,0,0,0,0,0,0.372890024450428,0,-0.167093771570187,0,0,0,0,0,-0.181393999882299,-0.0360219602664926,-0.0101164299304453,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0.141888024692186,0,0,0,0,0,0.014896633047862,0,0,0.103877381185169,0,0,0,0,0,0,0.09991806291956,0,0,0.475305634447761,0,0,0,0,0,0,0,0,0,0.0559727095359023,0,0,0,-0.10461748957257,0.0469635702660457,0,0.0403199479589873,0,0,0,0,0,0.00358663485085843,0,0,0,0,0,0
X000596.SZ,0,0,0,0.0932319170219107,0.173415340638852,0,0,0,0,0,0,0,0,0,0,0,-0.00479475978034964,0,0,0,0,0,0,0,0,0,0.196871776448696,0,0,0,0,0,0,0,0,0,0,-0.0319766829702938,0,0,0.126808653660036,-0.0384210439616425,0,-0.0471665287076386,0,0,0,0,0,0,0,0,-0.00301761586177807,0,0,0,0,0,0
X600031.SH,0,0,0.142639627945102,0.0940482297237279,0,0,0.0843146443129034,0.303773584875075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0147219555038287,0,0,0,0,0,0,0,0,-0.0615848627026076,-0.0558950050442286,0,0,0,0,0,0.0120824839553707,0,0,0,0,0,0,0,0,0,0.0892179195752333,0,0,0.0035856476815161,-0.0108972508501487,-0.138998739321364,0,0,0,0,0
X000625.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.298080453835783,0,0,0.135702451659763,0,0,0,0,0.0333332002550621,0,0.101371484250245,0,0,0,0,0,-0.0840040278710521,0,0,0,0,0,0,0.40283356043739,-0.00233555143621644,0,0,0,0,0,0,0,-0.0661912809887326,0.188193126525312,0,0,0,0,0,0.0417666630276237,-1.73472347597681e-18,0,0,0,0,0,0
X002129.SZ,0,0,0,0,0,0,0,0,0.00955015772498214,0,0,0,0.0919133106209843,0,0,0,0,0,0,0.0146029472296209,0,0,0,0,0,0.292614427973056,0,0.0347701641203422,0,0,0.0521734145358105,0.0162578041546438,0,0,0,0,0.190929744112959,0.162966303331429,0,0,0,0.0744975300570375,0,-0.0851564483489732,0,0,0,0,0,0,0,0.000339298467562914,0.0320898861787114,0,0,0,0,0,0
X003816.SZ,0,0,0,0.0203819985334169,0,0,-0.00115378251856806,0,0,0,0,0,0,0.161588494718581,0,0,-0.0704973808907147,0,0,-0.0123122675978856,0,0,0,0.0207554214588824,0,0.104832511344429,0,-0.0115816607298597,0,0,0,0,0.0412981650216108,0,0,0,0,0,0,0,0,0,0,0.0375862885693446,-0.0302013701300508,0,0,0,0,0,0,0,0.0036446133979475,0,0,0,0,0,0
