,X600519.SH,X600104.SH,X000858.SZ,X000651.SZ,X002415.SZ,X600276.SH,X002304.SZ,X000725.SZ,X600690.SH,X000338.SZ,X600031.SH,X000063.SZ,X600741.SH,X002475.SZ,X000568.SZ,X600703.SH,X300003.SZ,X601877.SH,X600271.SH,X300124.SZ,X600487.SH,X002008.SZ,X002236.SZ,X000596.SZ,X000661.SZ,X000100.SZ,X002007.SZ,X002179.SZ,X600809.SH,X600867.SH,X000625.SZ,X002456.SZ,X300142.SZ,X600566.SH,X600066.SH,X300146.SZ,X600498.SH,X000977.SZ,X000157.SZ,X002294.SZ,X600177.SH,X600089.SH,X002180.SZ,X002506.SZ,X002241.SZ,X600372.SH,X600522.SH,X000981.SZ,X600699.SH,X002049.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.0162675187118007,0.306911106288075,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19887373543879,0,0,0,0,0,0.00563566949047515,0,0,0,0,0,0.140218523922965,0,0,0,0,0,0,0,0.01548590824118,0,0,0,0,0,0.00475645175728982,0,0,0,0,0,0,0.00292786886297513,0,-0.00516022268312682,0.00415787726916089,0,0,0,0,0,0
X600104.SH,0,0,0.245841274556632,0,0,0.397880518045399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.145568941151387,0,0,0,0,0,0.0909463559562293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0217830852132297,0,0,0,0,0,0,0
X000858.SZ,0,0.181161478667084,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0.251697901267779,0,0,0,0,0,0,0.00815619638745794,0.0748657643349352,0,0,0,0,0,0.0907147810853609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00651371003906897,0,0,0,0,0,0
X000651.SZ,0.0648481737992417,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104291187046286,0,0,0,0,0.121692441743339,0,0.0278309254775255,0,0.0930248682579102,0,0,0,0,0.0789660904555934,0.0514029254930535,0,0,0,0,0,0,0,0,0,0,0,0,0.0380327644990056,0,0,0,0,0,0,0,0,0.0153808126853348,0.0372319737799129,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0.0624328293567612,0,0,0,-0.319165663404561,0,0,0,0,0,0,0.0162418823990111,0,0,0,0,0.0703853389106125,0.48965875887508,0.215903359233864,0.0181236541212774,0,0,0,0,0,0,0,0,0,0,0,0.125459926189154,0.082062873734234,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0100420789617385,0.0113760138209708,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0459198646501103,0,0,0.275055331160877,0,0,0,0,0,0.150955626430616,0,0.0896053369607974,0,0.128755171222641,0,0,0,0,0,0,0,0,0.205484190985878,0,0,0,0.132463300252025,0,0,0,0,0,0,0,0,0.0362401275313717,0,0,0.0227160343776635,0.0303999616231726,0,0,0,0,0,0
X002304.SZ,0,0,0.640495721224181,0,0,0.00300835359876744,0,0,0,0,0,0.141434791154466,0,0.03052847825468,0.351498693494609,0,0,0,0,0,0,0,0,0,0,0,3.3881317890172e-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0464738293034315,0,0,0,0,0,0,0,0,0,0.000592649462762255,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0660655647243015,0,0,0,0.196766960754934,0,0.0348314433244214,0,0.0528205562501494,0.343876517349581,0,0,0,0,0,0,0,0,0,0,0.0189232041500368,0.114960438347193,0,0,0,0,0.0569205068449358,0,0,0.239225758056721,0.00494256082405541,0,0,0,0,0,0.0204704435599423,0,0,0,0,0,0
X600690.SH,0,0,0,0,0.24268917533817,0,0,0.0300050165934971,0,0,0.0399748947155597,0,0.179247310864464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.091772560321644,0,0,0,0,0,0,0,-0.000568077139228916,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0038734467317089,-0.00893022787061366,0,0,0,0,0,0
X000338.SZ,0,0.163355220612679,0,0.287081361968335,0,-0.00549007125103445,0,0,0,0,0,0,0,-0.0545495372802011,0,0,0,0,0,0,0,0,0,0.0391338309108419,0,0,0,0,0.205303434910914,0,0,0,-0.0258266163482025,0,0,0,0,0,0,0,0,0,0,0,0.063203551538806,0.0799816152250103,0.0219516208497714,0,0,0,0,0.00407840079389377,0,0,0,0,0,0,0
