,X600519.SH,X000858.SZ,X600276.SH,X002475.SZ,X002415.SZ,X000651.SZ,X600104.SH,X000568.SZ,X600031.SH,X002304.SZ,X600809.SH,X000725.SZ,X000063.SZ,X003816.SZ,X000661.SZ,X600690.SH,X002241.SZ,X000338.SZ,X600703.SH,X000596.SZ,X000100.SZ,X300124.SZ,X300014.SZ,X002007.SZ,X600741.SH,X300142.SZ,X002371.SZ,X000625.SZ,X002129.SZ,X002049.SZ,X002236.SZ,X000157.SZ,X601877.SH,X000800.SZ,X300003.SZ,X002414.SZ,X600584.SH,X300136.SZ,X600183.SH,X002179.SZ,X000066.SZ,X601799.SH,X000977.SZ,X600118.SH,X002456.SZ,X002185.SZ,X002008.SZ,X002294.SZ,X000050.SZ,X600066.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X300014.SZ,0,0,0,0,0,0,0,0,0.0810303326666755,0,0.144094489858168,0,0,0,0,0,0.0979178858099553,0,0,0,0,0,0,0,0,0.0154066814453797,0.00605688354565771,0,0.418662260466737,0.0357856707860674,0,0,0,0,0,0,0,0.0485409881077957,0,0,0,0.0353108082266458,0,0,-0.0503057393520401,0,0,0,0,0,0,0,0.0495456553576536,0,0,0,0,0,0
X002007.SZ,0,0,0,0,0,0,0,0.0648167013339151,0,0,0,0,-0.0573658201564288,0,0,0,-0.156534365794289,0,0,0,0,0.00840634303609045,0,0,0,0.466660290194868,0,0,0,-0.0349084865027483,-0.0759669347399533,0,0,0,0.149665507044829,0.0693945345077125,0,0,0,0,0,0.16296078114919,0.242571378905619,0.058067581348636,0,0,0,0.0768183693112924,0,0,0,0,0,0,0,0,0,0,0
X600741.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147886878903612,-0.0227744388085779,-0.0207904199239437,3.46944695195361e-18,0,0,0,0,0,0.083072168346457,0.136016470682944,0,0,0,0,0,0,0,0,0,0.0619398673699416,0.0600008180586407,0,0,0,0,0,0,0,0.0301226515417455,0,0,0.0331436937159549,0,0,0,0,0,0
X300142.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.275149485684149,0,-0.191235221801502,0,0.147012102360342,0.738724828723218,0,0,0,0,0.0840705536762974,0,0,0,0,0.0908919984961657,0,0,0,0,0,0.00368881462852706,0.138105622393198,0,0,-0.137037517622257,0,0,0,0,0,0,0,0.0270954711867623,0.0472506547070432,0,0,0,0,0,0
X002371.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.064557913656549,0,0.0627443038537416,0,0,0,0,0,0.184335390771597,0.0319786520574663,0,0.176736663935807,0,0.0963857389763066,0,0.0553731519581038,0,0,0,0,0,0,0.285666312218764,0,0,0.111702457090508,0,0.243998668045575,0,0,0,0,-0.119927669872039,0,0,0,0,-0.0251639713661555,0.0151440429930464,0,0,0,0,0,0
X000625.SZ,0,0,0,0,0,0,0.132135343145464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.145024345427903,0.104373836625186,0,0,0,0,0,0,0.0833086574011095,0,0,0.0859308577629308,0,0,0,0.16472129404902,0,0,0,0,0.290946205344644,0,0,0.03740065301316,0,0,-0.0443824898189061,0.0120966173918228,0,0,0,0,0,0
X002129.SZ,0,0,0,0,0,0,0,0,0,0,0,0.0481748345315565,0,0,-0.00494391226994542,0,-0.164752814147281,0,0,0,0,0.0358757256950592,0.494395008937549,0,0,0,0,0,0,0,0,0,0,0,0,0,0.610752406747641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0770412325706268,0.061738753379548,0,0,0,0,0,0
X002049.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.275983143251251,0,0.44190091501319,0,0,0,0.0940623838483216,0,0,0,0,0,0,0,0,0.155185038152748,0.333323893807495,0.00364191217330707,0,0,0.0523568686864626,0,0,0.0129478875966287,0,0,0,0,0,0,0,0.011251893195968,-0.055430722048637,0,0,0,0,0,0
X002236.SZ,0,0,0,0.304020922188699,0.0812113443385741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105854052647117,0,0,-0.0557659903741086,0,0,-0.0682868149343261,0,0,0,0,0,0,0,0,0,0,0,0.0916143890297502,0,0,0,0.0668682573005355,0,0,0,0,0,0,0,0.0125112217583499,0.0458494162774182,0,0,0,0,0,0
X000157.SZ,0,0,0,0,0,0,0,0,0.159402226363063,0,0,0,0,0,0,0,0,0,0,0.0115199560687529,3.46944695195361e-18,0.0663127568797854,0,0,0,0.0404226956556372,0.0175094731779371,0,0,0.0234450017289554,0,0,0,0,0,0,0,0.119336794550854,0,0,0,0,0,0,0.013381473776334,0,0.0825980077032749,0,0,0,0,0,-0.012679017357144,0,0,0,0,0,0
X601877.SH,0,0,0,0,0,0,0,0,0.0149820408217707,0,0,0,0,0,0.0107483537708451,-3.46944695195361e-18,0,0.035986686047226,0,0.162590405712615,0.0287350076526224,0,0,0,0,0,0.0494342569981295,0,0,0.0657603534703983,0.0390944891593857,0,0,0,0,0,0,0,0,0.12554935393254,0,0.137375134764039,0,0,0.0617551969518592,0,0,0.0835657987337513,0,0,0,-0.0389323663600639,-0.00504748002391411,0,0,0,0,0,0
