,X600519.SH,X600104.SH,X002415.SZ,X000725.SZ,X000651.SZ,X000858.SZ,X600276.SH,X002304.SZ,X000063.SZ,X000625.SZ,X600690.SH,X000100.SZ,X600703.SH,X600031.SH,X600271.SH,X000157.SZ,X600118.SH,X002236.SZ,X600066.SH,X000338.SZ,X600372.SH,X000559.SZ,X000016.SZ,X002241.SZ,X600741.SH,X600089.SH,X002475.SZ,X000568.SZ,X000066.SZ,X600177.SH,X002292.SZ,X300124.SZ,X600839.SH,X002294.SZ,X300003.SZ,X002465.SZ,X600312.SH,X002129.SZ,X000869.SZ,X600867.SH,X000800.SZ,X600525.SH,X000581.SZ,X300142.SZ,X000550.SZ,X600498.SH,X002007.SZ,X000623.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600690.SH,0,0,0,0,0,0,0,0,0,0.255913508596165,0,0.0365774803553158,0,0,0,-1.38777878078145e-17,0,0,0,0.11936554189426,0,0.027084842687133,0,0,0,0,0,0.136124143079904,0,0,0,0.110508253028935,0,0,0,0,0,0,0,0,0.0946654693932722,0,0,0,0,0,0,0,0,0.0167095051711356,0,0,0,0,0,0,0
X000100.SZ,0,0,0,0,0,0,0,0,0,0,0,0,-0.0437410665514548,0.121107742491767,0,0.131534735361247,0,0,0,0,0,0.0766236615077747,0,0,0.135286853022193,0,0,0,0,0.105404959924123,0,0,0.0161098481311138,0,0,0,0,0.0261530076477442,0,0,0.0184710441651894,0.0241852263204368,0,0,0.227871072254862,0,0,0,0,0,-0.00516034466433835,0,0,0,0,0,0
X600703.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166601749837099,0.0704260021352967,0,0,0.18925999764675,0,0.300082857354027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.71050543121376e-20,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.04274729681833,0,0,0,0,0,0,0
X600031.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.213328683612365,0.280306823823026,0.0626297256629342,0,0,0,0.112772481642826,0,0,0,0,0,0,0,0,0,0,0.000877896585139459,0,0,0,0,0.0212672717884324,0,0,0.0672359418996802,0,0,0,0,0,0,0,0,0,-0.0226603983437528,0,0,0,0,0,0
X600271.SH,0,0,0,0,0,0,0,0,0.0272833823359628,0,0,0,0,0,0,0,0.0750323092707886,0,0,0.107165930374574,0.154576480283042,0.136171225637596,0,0,0,0.0692557476924123,0,0,0,0,0,0,0,0,0,0.174984352156099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000702951266444685,0,0,0,0,0,0
X000157.SZ,0,0,0,0,0.0237032644506989,0.15649494185485,0,0,0,0,0,0.0730674501393128,0,0.353538529821118,0,0,0,0,0,0,0,0,0,0,0.079152924874432,0,0,0,0,0.0128406583840643,0,0,0,0,0,0,0,0,0.050041513696472,0,0.18995887871376,0,0,0,0,0,0,0,0,0,0.0274799386216765,0,0,0,0,0,0
X600118.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.265468036887686,0,0,0.185436465545617,0,0,0,0,0.14281859611267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X002236.SZ,0,0,0,0.0163112665140795,0,0,0,0,0,0,0,0,-1.38777878078145e-17,0,0.117805412980239,0,0,0,0,0,0,0,0,0,0,0.0594043918950736,0.24928893226074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142417982689411,0,0.189830121223273,0,0,0.0232354379473728,-0.0410068207385296,-0.0614805222517759,-0.0320099898121991,0,0,0,0
X600066.SH,0,0.0878909051474093,0,0,0,0,0.189014311213313,0,0.0660212085797771,0.135861916189799,0,0.0189064606968013,0,0,0,0,3.46944695195361e-18,0,0,0,6.93889390390723e-18,0,0,0,0.082617181173746,0.0453106225753232,0.0148024760238545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0704416175724732,0,0,0,0,0.0397948555478848,-0.0720220957746435,0,0,0,0,0,0
X000338.SZ,0,0,0,0,0,0.0815196745856021,0,0,0,0.106841873509034,0,0,0,0,0.0353650095541617,0.326037030798156,0.00797592045441044,0,0,0,0.189628709913661,0.0164247594160072,0,0,0.039589318445358,0,0,0.0196531536595831,0,0,0,0,0.0856329207093444,0,0,0.0524708042329837,0,0,0,0,0.00507685449554682,0,0,0,0,0,0,0,0,-0.0201330765927841,0.0573074575927886,0,0,0,0,0,0
