,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X600276.SH,X000725.SZ,X002304.SZ,X600690.SH,X000063.SZ,X600703.SH,X000568.SZ,X000625.SZ,X600741.SH,X002236.SZ,X002475.SZ,X002241.SZ,X600031.SH,X600066.SH,X002456.SZ,X000338.SZ,X002508.SZ,X000100.SZ,X601877.SH,X300124.SZ,X300136.SZ,X300003.SZ,X600177.SH,X600522.SH,X600271.SH,X002008.SZ,X002294.SZ,X000157.SZ,X002007.SZ,X002085.SZ,X600118.SH,X600089.SH,X600487.SH,X600566.SH,X600699.SH,X600867.SH,X600809.SH,X600372.SH,X000559.SZ,X300115.SZ,X000623.SZ,X000596.SZ,X002180.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000596.SZ,0,0,0.00225795937672768,0,0.170641766290984,0,0,0.294831371667604,0,0,0,0,0,0,0,0,0,0,0,0.103799180427835,0,-0.122404344089018,0,0.000249260394079936,0.0832138653962837,0,0,0,0,0,0.0903939276303724,0,0,0,0,0,0,0,0,0.145366647619387,0,0.290986707852943,0,-0.193240215886235,0,0,0,0,0,-0.0565873397734052,0.0164139550239699,0,0,0,0,0,0
X002180.SZ,0,0,0,0,0,0,-0.0204248496648682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0851754571557967,0,0,0.0133262429682156,0,0.146440965225151,0,0,0,0,0,0,0,0,0,0,0.124496240761649,0.0602008090632012,0.10543912947212,0.0865753879298164,0,0,0,0,0,0,0.0583816128123722,-0.00170734118075204,0,0,0,0,0,0
Change_TY3M,0,0,-0.0260102043307412,0.0334955393534643,0,0,0,0,0,0.0415553316432975,0,0,0,0,0,0,0,0,0,0,0,-0.050566355415832,0,0,0,0,0,0,0,0,0,0,0.00515413277745863,0,0.0430144293545685,0,0,0,0,0,0,-0.0123905104074166,0,0.163894647633038,0,0,0,0,0,0.00835888874724864,0,-0.0258942134281461,0,0,0,0,0
Slope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.38777878078145e-17,-0.238529038839841,1.29265442825506,0,0,0,0,0,0,0,0,0,0,0,-1.57214831925087,0.499583216335831,0,0,0,-0.385909987615165,0,0,0,-1.09226654069306,-2.37581937646717,1.41134478904531,-0.389257488207162,0,0,0,0,-0.16239981882952,0.232852060107285,0,0,0.19978492714236,0,0,0,0,0,0
TED,0,0,0,0,0,0,0,0,-0.0446712294344685,-0.024899242630492,0,0,0,0,0,0,0.0782378594363749,-0.215013755316699,0,0,0,0,0,0,0,0,0,0,-0.109321199550822,0,0,0,0,0,0,0,0,0,0,0,0,-0.177716528001557,0,0,0.0475921181413672,0,0,0,-0.408037206396547,0.297920301983256,0,0,0,0,2.11238891758664,0,0
RealEstate_excess,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.125535126710674,0,0.0363092900676735,0,0.0133221859619152,0,-0.0840053064018002,-0.00919701426769161,0,0,0,0,0,0,0,-0.0198198296386778,0,0,-0.127182227462105,0,0,0,0,0,0.100924123096201,0,0,0,0,0,0.00488987545085734,0.0381287139189097,0,0,0,0,0,0
MKreturn,0,0,0,0,0,0,0.0663030623684012,0,0,0,0,0,0,0,0,0,0,0,0,-0.0125281685096883,0,-0.0165138642636143,0,0,0,-0.083919268095447,0,0,0,0,0,0,0,0,0,0,-0.0131055333114311,0,0,0,0,0,-0.00994646985272861,0.0218511421342385,0,0,-0.0106943676012218,0,0,0,-0.00235494847094207,0,0,0,0,0,0
MKvol,0,0,0,0,0,0,-0.00148752315805856,0,0,0,0,0,0,0,-0.00122103053540725,0.000285544872947903,0,0.00275160394034639,0,0,0,0,0.000309749157939918,0.000974457794101302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000360704769403287,0,0,0,0,0,0,0,0,0,0,0.00211730356366713,-0.00124450743598051,0,0,0,0,0,0
CarbonVol_Shenzhen,0,0,0,0,0,0,-0.0239800971255054,0,0,0,0,0,0,0,0.0162936983223501,0,0,0,0,0,0,0.0527150279642783,0,0,0,0,0,0,0,0,0,0,0,0,-0.0284426877889126,0,0,-0.0302433748237161,0,0,0,0.016974769964985,0.0370173236350757,0,0,0,0,0,0,0.00160173544399126,0.0996559017118649,0,0,0,0,0,0
CarbonVol_Guangdong,0,0,-2.16840434497101e-19,0,-0.00243749468115362,0,0,0,0.000641318139429374,0,0,0,0,0,0.0192900834234037,-0.0185146436598062,-0.00757459899829238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00201245683894896,0,0,0,0,0.00346907707910631,0.034537352061256,0.0127663818531234,0,0,0.0387205534940589,0,0
CarbonVol_Hubei,0,0.0300231329334637,0,0,0,0,0.020949292733525,0,0,0,-0.0260225631699075,0.00855224677713413,0,0,-0.0351480626958205,0,-0.0112514749495432,0,0,0,0,-0.0183229923203227,0,-0.0354697335072649,0.0395184423125446,0,0,0,0,0,-4.33680868994202e-19,0.0277808410737488,0,0,0.0522164934991836,0,0,0,0,-0.0363730964851162,0,0,0,0,0,0,0,0,0,0.026073500158148,-0.00222262902763291,0,0,0,0,0,0
