,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X600276.SH,X000725.SZ,X002304.SZ,X000063.SZ,X600690.SH,X600703.SH,X000568.SZ,X002475.SZ,X600741.SH,X002236.SZ,X000338.SZ,X600031.SH,X300003.SZ,X002008.SZ,X601877.SH,X002456.SZ,X300124.SZ,X000625.SZ,X600066.SH,X600809.SH,X600487.SH,X000100.SZ,X600271.SH,X002241.SZ,X600867.SH,X002294.SZ,X600566.SH,X300136.SZ,X000981.SZ,X600522.SH,X000050.SZ,X000157.SZ,X002508.SZ,X002179.SZ,X600089.SH,X300142.SZ,X600177.SH,X000596.SZ,X000661.SZ,X600498.SH,X000977.SZ,X600699.SH,X600584.SH,X600707.SH,X002007.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0.484415386505953,0,1.73472347597681e-18,0.0439223775087885,0,0,0.0487848677457303,0,0,0.0514543417889015,0,0,0,0,0,0.1021286608174,0,0,0,0,0.000580574098920695,0,0,0,0,0,-0.0125220814625101,0,-0.0593522601004121,0,0.0429719476218499,0.0286745487793101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0218733329988929,0,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,-0.0052601808084536,0,0,0,0,0.420276149700261,0,0,0,0,0,0,-0.145311360490969,0,0,0,0,0,0,0,0,0,0,0,0.0308181558433945,0,0,0,0,0,-0.198108280835396,0,0,0,-0.180042372981397,0,0,0,0.165201525998451,0,0,0,0,-0.00858955840546243,-0.00710091979792158,0,0,0,0,0,0
X002415.SZ,0.0638114133997765,0,0,0,0,0.0467075709869951,0,0.191088854640118,0,0.0177872596476493,0.188176911823301,0,0,0,0,0,0,0.00491418369319001,0,0,0,0,0,0,0.0310729074371031,0.180341622358052,0,0,0,0,0,0,0.106214230705873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0375949886715436,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0.303679979251763,0,0,0,0,0.339306032257141,0,0,0,0,0,0,0.0103507092624384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0157234924575811,0,0,0,0,0.0930331672022845,0,0,0.0958279556677354,0,0,0,0,0,0,0,0,0,0,0.00824261457452947,0.00791249501668969,0,0,0,0,0,0
X000858.SZ,0.185035978687454,0,0,0.288109456290811,0,0,0,0.0345418036698364,0,0,0.0119181615353436,0.472044845715258,0,0,0.0704190470582542,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0567106878275903,0,0,-0.00415758687888348,0,0,0,0,0,0,0,0,0,0,0,-0.0445032855549802,0,0,0,1.02107607554111e-05,0,0,0,0,0,0,0
X600276.SH,0.107645551571571,0,0.100970622506448,0,0,0,0,0,0,0.100633213957035,0,0,0,0.0303142473313713,0,0,0,0.162958714119664,0,0,0,0,0,0,0.0807292517471945,0.176733495521242,0,0,0,0.0104591742782041,0,0,0,0,0,0,0,0.0433875080699409,0,0,0,0,0,0.152192947367057,0,0,-0.0634626508632779,0,0,0,0,-0.0718573089978726,0.032831425535551,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0.276434660381047,0.0810848098905777,0,0,0,0,0,0.105853103556032,0,0,0,0,0,0,0,0,0,0,0.243253028993183,0,0.0412540198887493,0,0,0,0,-0.0057223449880839,0,0,0,0,0,0.428305220586959,0,0,0,0.0332708967552444,0,0,0,0,0,0,0,0,0.0284283975191654,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0.166526470977167,0,0,0,0,0.041445589188793,0,0.154466497435785,0,0.329779751033204,0,0,0,0,0,0,0,0,0,0,0,-0.0630918523585674,0,-0.0550858902827923,0,0,0,0,0,0,0,0,0,0.302462472819441,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0348374665628502,-0.0110102187902146,-0.166876108347363,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0.490892206063312,0,0,0,0,0,0,0,0,0,0,-0.0695092094127453,0,0,0,0,0,0,0,0.289149175609079,0.0179285299790273,0.0819836864779818,0,-0.11875232696009,0,0.12184166567436,0,0,0,0,0,0,0.182153034240993,0,0,0,0.304264547578674,0,0.189359739377677,0,0,0,0,0,0,0.0377357688602601,0.0326536773482142,0,0,0,0,0,0
X600690.SH,0,0,0,0.337660778791904,0.206760067924822,0.03294093138706,0.0207445592136239,0.125337881090071,0,0,0,0.0707443589045007,0,0.0673491632991089,0,0,-0.0744495319231046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0313947521705749,-0.104363488170183,0,0,0,0,0.00745208354427612,0,0.0231599980792804,0,0,0,0,0,0.0276577664930031,0,0,0,0,0,0,0
X600703.SH,0,0,0.185384069662566,0,0,0,0,0,0,0,0,-0.141689927874028,0.017485288880394,0,0.303339782158992,-0.262805268137936,0,0,0,0.253241431587635,0,0,0,0,-0.0189522934737789,0.17989898417727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.290101817542595,0,0,0,-0.0160397180217248,0,0,0,0,0,0,0
X000568.SZ,0,0,0,0.101066827928912,0.549726330315081,0,0,0,0,0,0,0,0,0,-0.0181054187771702,0.0981531173886602,0,0,0,0,0,0,0,0,0.0854738746869424,0,0,0,0,0.122400327305979,0,0,0,0,0,0.0538735164028957,0,0,0,0,0,0,0.102987291665124,0,0,0,-0.0207868278875672,0,0,0,0,0.00879107750621411,0.007271588401529,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0.0118371349950808,0,0,0,0,0,0,0.0400730425345358,0,0,0,0,0.0968803654626523,0.295328762186725,0,0,0,0,0,0,0,0,0,0,0,0.046422973130894,0,0,0,0,0.00859232443828349,0,0,0.0379135508414151,0,0,0.0534084161624832,0,0.0101526801943224,0,0,0,0,0,0.0116816417535755,0.011681755452227,0,0,0,0,0,0
X600741.SH,0,0.312820358296186,0.168366081812927,0,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0.0986420770297609,2.16840434497101e-19,0,0,0,0.113133714045223,0,0,0,0,0,-0.0725183534727679,0,0,0,2.71050543121376e-20,0,0,0,0,0,0,0,0,-0.058683571422023,0,0,0,0,0,0,0,0,0,0,0,-0.068350099626507,-0.0604148090136173,0,0,0,0,0
X002236.SZ,0,0,0.547696291638242,0.0976671819693042,0.333830949790393,0,0,0,0,0,0,0,0,0,0,0,0,0,0.478507976242706,0,0.174209997944828,0,0,0,0,0,0,-0.115903532770719,0,0,0,0,0.01531930987917,-0.205655519379229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00944952711149859,0,0,0,0,0,0,0
X000338.SZ,0,0,0,0,0,0,0.173393036437452,0,0,0,-0.0527320280451639,0.109556141195314,0,0,0,0,0.487956381695997,0,0,0,0,0,0,0,0,0,0,0.203599877837452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0206230976279046,0,0,0,0,0,0
X600031.SH,0,0,0,0,0.22076326058574,0,1.73472347597681e-18,0,0.0402521302347654,0,0,0,0,0.268503023521245,0,0.176695270071151,0,0,0,0.039707870614038,0,0,0,0,0,0,0.0643616811586758,0.0343666494742497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0308715076954519,0,0,0,0,0,0,0.0531025730449483,0,0.0304735922587556,0,0,0,0
X300003.SZ,0,0,0.157805622952356,0,0,0,0.00666630475151988,0,0,0,0,0,0,0,0,0.141667353961254,0,0,0,0.0278706994842578,0,0,0,0,0.002811921121187,0,0,0,0,0.360075783526741,0,0.114084401080025,0,0,0,0.169757061578593,0,0,0,0.0554531324526895,0.0799185093569074,0,0,0,0,0,0,0,-0.0755109130273278,0,0,-0.0229460452552556,0,0,0,0,0,0,0
