,X600519.SH,X600104.SH,X002415.SZ,X600276.SH,X000651.SZ,X000858.SZ,X002304.SZ,X000725.SZ,X600690.SH,X000063.SZ,X002475.SZ,X600031.SH,X000568.SZ,X000338.SZ,X600703.SH,X300003.SZ,X600741.SH,X601877.SH,X600271.SH,X002236.SZ,X300124.SZ,X002008.SZ,X002007.SZ,X600498.SH,X600487.SH,X000100.SZ,X000661.SZ,X600809.SH,X600867.SH,X600566.SH,X002456.SZ,X002179.SZ,X000625.SZ,X300146.SZ,X000596.SZ,X300142.SZ,X000157.SZ,X600177.SH,X002294.SZ,X002180.SZ,X300136.SZ,X600372.SH,X600089.SH,X600066.SH,X002506.SZ,X600522.SH,X002241.SZ,X000977.SZ,X600699.SH,X000050.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0,0.591041969763297,0.185690800394234,0,0,0.0322101065589561,-0.0327069523574747,0,0,0,0,0,0,0,0,-0.0672591270076163,0,0,0,0,0.0648292227855435,0,0,0,0.0347146707262298,0,0,0,0,-0.0209456078820626,0.123313075739729,-0.0209088590686329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00784608679341198,0,0,0,0,0,0,0
X600104.SH,0,0,0,0.000143840110523483,0,0,0,0,0,0,0,0,0,0,0,0.139045130525473,0.239483916855789,0,0,0.127384302485813,0.000763557181816938,0,0,0.0609333697443296,0,0,0,0.138685618933723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.150712109431777,0,0,0,0,1.0842021724855e-19,0,0,0,0,0,0
X002415.SZ,0,0.0109258671683872,0,0.00905381796730398,0,0,0,0,0,0,0,0,0,0,0,-0.0327850088218821,0,0,-8.67361737988404e-19,0.671778171157289,0,0.158579003540121,0,0.0901903637664901,0,0,0,0,0,0,0,0,0.162086813121429,0,0,-0.093703695982344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0547340688571412,-0.0151219542568293,0,0,0.0223895613591082,0,0.0345598935388516,0,0
X600276.SH,0,0.0509741670239685,0.156334878374021,0,0,0,0,0,0,0.0253117722481955,0,0,0,0,0,0.410801772991563,0,0,0,0.0129571447040265,0,0,0,0,0,0,0,0.0387361983698205,0,0,0.0366106309393589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0307129430322973,0,0,0,-0.00548872192718607,0.0226542619746217,0,0,0,0,0,0
X000651.SZ,0.265844627556618,0,0,0,0,0,0,0,0,0,0,0,0.124612638139463,0,0,0.0598635476944678,0.105948227335492,0,0,0,0,0,0,0,0,0,0,-2.16840434497101e-19,0.0258446648606838,0,0,0,0,0.00406366481050313,0,0.100770464137601,0,0,0,0,0,0,0,0.0286814305516215,0,0,0,0,0,0,0,0.0190572056243397,0,0,0,0,0,0.204532545712228,0
X000858.SZ,0,0,0,0,0,0,0.0809664980519711,0,0.0230702478580524,0,0,0,0.0193759808730698,0,0,0,0.0591116235152425,0,-0.00101294733680838,0,0,0,0,0,0,0,0,0.435278625150527,-0.00060428616874024,0,0,0,0,0,0.306932854029505,0,0,0,0,-0.0168780153630076,0,0,0,0,0,0,0,0,0,0,0,-0.00205983972418375,0.0706727249311836,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.353555944494402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.311673959068647,0,0,0,0,0,0.103623269595685,0.330230154792689,0,0,0,0,-0.0319636903420364,-0.0252454448223706,0,0,0,0,0,-0.122115095923943,-0.0638406925847541,0,0,0.0387643038358182,-0.00737388332504832,0.0628425469131992,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,-0.0273186854298593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.340717008829501,0,0,0,0,0.0149081454286661,0.198202798912464,0,0,0,0,0,0,0,0,0.119672582110938,0,0,0,0,0,0,0,0,0,0,0,-0.0270950260919423,-0.00712421243026056,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0.135181270386289,0.128020712850788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0483237722859379,0,0.220051445294052,0,0,0,0,0,0,0,-0.00478640336367664,0,0,0.0671387290873481,0,0,0,0.384440724284488,0,0,0,-0.0124906875543762,-0.0309571086089431,0,0,0,0,0,0
X000063.SZ,0,0,0.121527494639784,0,0,0,0,0,0,0,0.40797413498736,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0.117526976696034,0.215045517060452,0,0,0,0,0,0.163165269771327,0,0,-0.102673172580073,0,0,0,0,0,0.085805872140752,0,0,0,0,0,0,0,0,0,0,0,0.0338376754107168,-0.136619583099669,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.0224252489847335,0,0,0,0,0,0.00764783221971464,0.0166374115755918,0,0,0,0,0,0,0,0,0,0,0.686171624057222,0,0,0,0,-0.0307618618752213,0,0,0,0,0.153548345428725,0,0,0,0,0,0,0,0.211538065201288,0,0,0,0.124319942745205,0,0,0,0,0,0
