,X600519.SH,X600104.SH,X000725.SZ,X002415.SZ,X000651.SZ,X000858.SZ,X002304.SZ,X000063.SZ,X600276.SH,X000625.SZ,X600690.SH,X600118.SH,X600703.SH,X000100.SZ,X600271.SH,X600031.SH,X600372.SH,X002292.SZ,X000157.SZ,X000338.SZ,X002241.SZ,X600089.SH,X600741.SH,X002236.SZ,X600066.SH,X002475.SZ,X600839.SH,X600177.SH,X601877.SH,X000559.SZ,X002129.SZ,X000547.SZ,X300124.SZ,X002465.SZ,X000016.SZ,X600435.SH,X600582.SH,X300003.SZ,X002456.SZ,X000568.SZ,X002498.SZ,X002294.SZ,X002276.SZ,X000066.SZ,X002179.SZ,X002049.SZ,X600198.SH,X002008.SZ,X000977.SZ,X600252.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.200683635718125,0,0,0,0.0345529121499814,0,0.200901955833562,0,0.066851760971622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0670864171934111,0,0,0,0,0,0,0,0.0164106208483267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00845189853699328,0.0243471923761542,0,0,0,0,0,0
X600104.SH,0.379323042666972,0,0,0,0,0,0.0592196122649478,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0881130366994173,0,0,0,0.175909659471868,0.0704253955868429,0,0,0,0,0,0,0.0396668317091093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0700572456570152,0.0131291126345201,0.0160262387230365,0,-0.0713486178655584,0,-0.113135063053223,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.0648505721558141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0654808348217084,0,0.108859713790563,0,0,0,0,0,0,0,0,0,0,0,0,0,0.269135099098987,0.0796491388857173,0,0,0,0,0,0,0,0,0,0,0,0
X002415.SZ,0.0698072065261947,0,0,0,0.105186434762139,0,0,0.0535365136267902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0478206658760931,0,0,0,0,0,0,0.205091697085236,0,0,6.93889390390723e-18,0,0.179951830008741,0,-0.0418098232386308,0.195429568366128,0,0,-0.00328921394192664,0.0367056640774596,0,0,0,0,0,0
X000651.SZ,0,0,0,0.0517852162560818,0,0,0,0,0.0786626751169722,0,0,0,0,0.0875422407707236,0,0.0899664612388454,0,0,0.100500217394512,0,0,0,0,0,0,0,0,0.00663153961011124,0,0,0,0,0,-1.0842021724855e-19,0,0,0,0,0,0.346356769461209,0,0,0,0,0,0.060136416428537,8.67361737988404e-19,0,0,0,0,-0.0158759342867862,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0.299731145845805,0,0,0.0801638541155651,0,0,0,0,0,0,0,0,0,0.147463112815765,0,0,0.025632941318753,0,0.0432237233561252,0.00526494323034575,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4952597127112,0,0,0,0,0,0,0,0,0,0,0,-0.00928901085211213,0.0205056780238998,0,0,0,0,0,0
X002304.SZ,0,0.171112600184336,0,0,0,0.307467197790881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0449584937550992,0.00612185495201361,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0.0606686360536654,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0.0516347802379185,0,0,0,0,0.00918564105524753,0.0205141239524815,0,0,0,0,0,0
X000063.SZ,0.0385665413941974,0,0,0.0899803517043244,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0.182655883807326,0,0,0,0,0,0,0.332825556145607,0.0991775536965517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034606327696372,0,0,0,0,0,0,0,0,0,0.0299015851534086,0,0,-0.00633197478446401,-0.020465206433713,0,0,0,0,0,0
X600276.SH,0,0,0,0,0.102857117678021,0.0391653754243356,0,0,0,0.0503785204919376,0,0.0180198058564563,0,0,0.0213880184497333,0,0.166600978920833,0,0,0,0.0410021571537305,0,0.120636495402094,0,0.0658364639182702,0,0,0.179592100537284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0201365598048178,0,0.0642073506285253,0,8.83391830779645e-05,0.0226938596893147,0,0,0,0,0,0
X000625.SZ,0,0,0,0,0,0.0956376953620119,0,0,0.0290583952992944,0,0,0,0,0.0588404361026877,0,0,0.0806198061118886,0,0.000203813915866658,0.10735621719031,0,0.0111443222117854,0.206909649246184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0980343767978386,0,0.0181257332303809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
