,X600519.SH,X600104.SH,X000651.SZ,X002415.SZ,X000858.SZ,X600276.SH,X002304.SZ,X000725.SZ,X000625.SZ,X000063.SZ,X600690.SH,X600741.SH,X600703.SH,X600031.SH,X000568.SZ,X600066.SH,X002475.SZ,X002241.SZ,X000338.SZ,X600271.SH,X002456.SZ,X002236.SZ,X600118.SH,X600177.SH,X002085.SZ,X000157.SZ,X002426.SZ,X600372.SH,X002007.SZ,X600867.SH,X002292.SZ,X300124.SZ,X300003.SZ,X000559.SZ,X600089.SH,X002294.SZ,X601877.SH,X002180.SZ,X600522.SH,X002506.SZ,X002508.SZ,X002074.SZ,X000981.SZ,X000623.SZ,X000050.SZ,X600498.SH,X300136.SZ,X000869.SZ,X000536.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0.295730372423885,0,0,0,0,0,0,0,0,0,0.0863229908926088,0,0,0.0519562676936992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0432437956477478,0,0.02845367438643,0.0577397257971847,0,0,0,0,0.0370858156802744,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0.197172001290188,0,0.176081338224464,0,0,0,0,0.03925453194352,0.077917881042896,-0.111797423236409,0,0.179829554189344,0,0,0,-0.0621662557665025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0220333512761232,-0.167063756104669,0,0,0,0.00156950315005201,-0.00646915171548499,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0.0148059340334164,0,0.270548362459097,0.4517562949719,0,0,0,0,0,0,0,0,0,-0.0968872259475477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038371746110883,0,0,0,0,0.127315794796485,0.195120925182283,0,0,0,0,0,0,0.0361462218312674,0.182322857390848,0,0,0,-0.196809364833463,0,0
X002415.SZ,0,0,0.0566728338372606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0590418715859809,0,0,0,0,0,0.000847005026596954,0,0.108847545538736,0,0,0,0,0,0,0,0,0,0,0,0,0,0.345756939046231,0,0,0.0473066903251393,0,0,0.010828276392076,0,0,0,0,0.0109918707045653,0,0,0,0,0,0
X000858.SZ,0.227861054280755,0,0,0,0,0,0.105393890881964,0,0.0329911084167345,0,0,0,0,0.0429078106889126,0.329192164736129,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18571199318351,0,0,0,0,0,0,0,-0.00501314325909566,0,0,0,0,0,-0.00747580980932461,0,0,0,0,0,0.0650289542486224,0,0.0359670304302447,0.012730964041407,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0532344344191949,0,0,-0.0413535818036176,0,0,0.0426815265688894,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0114648280531387,0.0584489901019146,0.043537496860846,0,0,0,0,0.158969692883951,0.160877496498782,0,0,0,0,0,0,0,0,-0.0248117763617665,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0.377022104376382,0,0,0,0,0,0,0,0,0,0,0,0,0.00864657067252163,0.0541430451399927,0,0,0,0,0,0,0,0.0568859736657752,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0544871616069186,0,-0.0119718960390404,0,0,0,0,0,0,0
X000725.SZ,0,0,0.10088578763618,0,0,0,0,0,0,0,0,0,-0.0337354166351259,0.057534695346349,0,0,0,0.141806858405757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0564095140767244,0,0,0.0894609406589219,0.286671445750852,0.083415085163011,0,0,0,0,0,0.16879688533174,1.73472347597681e-18,-0.0272359473511352,0,0,0,0,0,0
X000625.SZ,0,0,0.0696642663645957,0,0.2843320629247,0,0,0,0,0,0,0.0902336493357955,0,0,0,0,0,0,0,0,-0.069348950099728,0,0,0,0,0.042177382644587,0.0587019501104008,0,0,0,0,0,0,0,0,0,0.0704173329142981,0,0,0,0,0.017264080669726,0,0,0,0,0,0,0,0,0.0436887009140273,0,0,0,0,0,0,0
X000063.SZ,0,0.0678627764310648,0.125178087784638,0,0,0,0,0,0,0,0,0,0,0.037016506058609,0,0,0,0,0.264688151906006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116444249799755,0,0,-0.0634912121436705,0,0,0,-7.99818908542719e-05,0,0,0,0,-0.0293381164516863,0,0
