,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X002304.SZ,X600276.SH,X000725.SZ,X000625.SZ,X000063.SZ,X600690.SH,X002292.SZ,X600703.SH,X600741.SH,X000100.SZ,X600066.SH,X600031.SH,X002236.SZ,X600118.SH,X002506.SZ,X002241.SZ,X000559.SZ,X002475.SZ,X000157.SZ,X600372.SH,X000568.SZ,X600177.SH,X002074.SZ,X000338.SZ,X300003.SZ,X002085.SZ,X300124.SZ,X600089.SH,X002294.SZ,X002456.SZ,X600867.SH,X002465.SZ,X002426.SZ,X600498.SH,X600699.SH,X601877.SH,X000050.SZ,X002007.SZ,X002049.SZ,X300001.SZ,X000869.SZ,X002180.SZ,X000977.SZ,X002129.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0.130789640253096,0,0,0.373791307319049,0,0,0,0,0,-0.0394640458947601,0,0,0,0,0.0408175288610247,0,0,0,0,0,0,0,0,0,0,0,0,-0.0741155857435909,-0.0117850403352565,0,0,0,0,0,-0.0246035583570074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0820002775658536,0,0,0,0,0,0
X600104.SH,0,0,0.135509840179608,0.00997131631585495,0,0,0,0,0.0755593964385089,0,0,0,0,0.303521445015524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00222951199918657,0.0207149898240336,0,0.108525471976304,0,0,0,0,-0.0127456050880116,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0768079677232412,0,-3.46944695195361e-18,0,0,0,0,0,0.180342716535144,0,0,0,0,0,0,0,0.184966611662998,0,0,0,0,0,0.0810906771304128,0,0,0,0,0.00522062731182013,0,0.0775200803514449,0,0.0562648671952439,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0.122809803794215,0.012249909370172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0387018432378552,0,0,0,0,0,0,0,0,-0.0803338823534786,0,0,0,0,0,0,0,0.0713477202400027,0,0.24582183022531,0.191566997486827,0,0,0.0177395565763361,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0,0,0,0,0,0.0431334777375881,0,0,0,0,0,0,0.0770084012348012,0.121878010997243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16840434497101e-19,0,0,0,0,0,0,0.0191521574109387,0,0.0530935924493144,0,0.180044729422544,0,0.0230088627805905,0,0,0,0,0,0,0
X002304.SZ,0.247527626344671,0,0,0,0,0,0,0,0,0,0,0,0.11091629819679,0,0,0,0,0.0203081685885917,0,0,0,0,0,0,0,0.368279348592981,0,0,0,0,0,0,0,0,0.0272890217818774,0,0,0.0291509137515863,0,0,0,0,0,0,0,0,0,0,0.0621206696088049,0,-0.0175188645417004,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.251420466880524,0.0592408602115205,0,0,0,0,0,0,0.0283342805589667,0,0,0,0.0499988021622192,0,0,0,0,0,0,0,0,0,0,0,-0.011103310921062,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0297487844901429,0,0.0133184699603701,0,0.215835659706637,0,0,0,0,0.100577236693946,0.0641942689680799,0,0,0,0,0.0936186967753325,0,0.0504717537719359,0,0,0,0,0,0,0.065518568737859,0,0,0,0,0,0,0.0877855253753069,0,0.0155377622189271,0,0,0,0,0,0,0
X000625.SZ,0,0,0,0.229187454917505,0,0,0,0,0,0.0886351353270759,0,0,0.15567921504659,0,0,0,0,0,0,0.0199393341234807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142638716461028,0.148891732460916,0,0.0383884331551577,0,0,0,0,0,0.00283940873449833,-0.0385171045067866,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0.116272573624744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.369029484246379,0,0.0254537198249189,0,0.0501495079151129,0,0,0,0.0621411079424124,0,0,0,0,0,0,0,0,0,0.0446674346014182,0,0.0539756681825873,0,0.124813309252338,0,-0.0168825931036575,0,0,0,0,0,0,0
