,X600519.SH,X600104.SH,X002415.SZ,X000858.SZ,X000651.SZ,X600276.SH,X002304.SZ,X000725.SZ,X600690.SH,X000568.SZ,X600703.SH,X002475.SZ,X600741.SH,X600031.SH,X000338.SZ,X300003.SZ,X000063.SZ,X002236.SZ,X600809.SH,X002008.SZ,X600271.SH,X601877.SH,X000596.SZ,X002456.SZ,X300124.SZ,X600867.SH,X600487.SH,X000100.SZ,X600566.SH,X000625.SZ,X600066.SH,X000661.SZ,X002294.SZ,X002180.SZ,X300136.SZ,X000977.SZ,X002007.SZ,X002179.SZ,X300142.SZ,X000157.SZ,X600498.SH,X002241.SZ,X000981.SZ,X000050.SZ,X000869.SZ,X002049.SZ,X600522.SH,X002508.SZ,X600779.SH,X600177.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.269839749652549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0282904821079924,0,0.0671922210656305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00408061898363753,0.0899437861381601,0.0181827987628736,0.0158165104018879,0,0,0,0,0.0183615498716779,0.000515262975590142,0,0,0,0,0,0
X600104.SH,0,0,0,0.162071766738414,0,0,0,0,0.00133655747056325,0,0,0,0.139641546912299,0.125209935876939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.192888315621773,0.0908691558258112,0,0,0,-0.0861667057089251,0,0,0,0,0,0,0,0,0,0,0,0.0477008933395202,0.022404342366588,0.0432768078650347,0,0,0,0,0,0
X002415.SZ,0.0937960349388371,0,0,0,0,0,0,0,0,0.00720364467702859,0,0.00383518333851069,0,0,0,0,-0.106349190368147,0.185417093143794,0,0,0,0,0,0,0,0,0.0605246089939235,0,0,0,0,0,0,0,0.14208583925568,0,-0.0376974904358134,0,0.0311931446053511,0,0,0,0,0,0,0,0,0.149397691008015,0.0158636099138852,0,0,0.0127043301509079,0.0214787543418083,0,0,0,0,0,0
X000858.SZ,0.118741989070888,0,0,0,0,0.0162154930019209,0,0,0.333926081354165,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0.0729883671862757,0,0.00813045702990007,0.151901166719031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0339108641885943,4.33680868994202e-19,0,0,0,0,0,0
X000651.SZ,0,0,0,0.194764309910449,0,0,0,0,0.217085273013724,0,0.0583076155953062,0,0,0.122718256191687,0,0,0,0,0,0.0374961702412763,0,0,0,0,0,-0.112295112716986,0,0,0,0,0,0,0,0,0,0,-0.0156385921429066,0,0,0,-0.0243220226061701,0,0,0,0,0.0670769251093295,0,0,0.0871054412978175,0,0,-4.33680868994202e-19,0.00279227599292386,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0.269185050678665,0,0,-0.0604928522798893,0,0,0,-0.0536457622357347,0,0,0,-0.00348042148994539,-0.0137767400016652,0,0,0.107353263491177,0,0,0,0,0,0,0.274022726588141,0.0803608423683727,3.46944695195361e-18,0,0,0.0584431216008219,0,0,0,0.105432192864339,0,0,0,0,0,0,0,0,0,0,0.0297591907029948,0,0,0,0,0,0,0
X002304.SZ,0,0,0,0.108907536442893,0,0,0,0,0.180053420282385,0.134759874280995,0,0,0,0,0.0535721308952943,0,-0.0807946831467353,0,0.214413589357944,0,0,0.0624719812453049,0,0,0,0,0,0,0,0,0,0,0.0442642786047396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.165639628526485,0,0,0.0235422014937531,0.0217546984102393,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0936544282871669,0,0,0,0.0580444134488976,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0100911475239394,0.0724914633983687,0,0,0,0,0,0.0380139983186911,0.100097434393208,0.0430312288709369,0,0.0247998124019017,0.262970664720736,0,0,0,0,0.00175123310076568,-0.00604977235100812,0,0,0,0,0,0
X600690.SH,0,0,0,0.4761875916025,0,0,0.0938205526642494,0,0,0,0,0,0,0,0,0,-0.0167271231695033,0.0858328403385159,0,0,0,0,0,0.0539397502196587,0,0.0859720109825461,0,0,0,0,0,0,0,0,0,-0.066756086255992,0,0,0,0,0,0,0,0,0.0246989109091467,0,0,0.0445139210910775,0,0,0,0.000123511441235263,0.0357986185531907,0,0,0,0,0,0
X000568.SZ,0,0,0,0,0,0,0.0198926383337676,0,0,0,0,0,0,0.0513159684687803,0.084340534058922,0,-0.00865967831154527,0,0,0,0,0,0.326952880488039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024604786718339,-4.33680868994202e-19,0,0,0,0,0,0
