,X600519.SH,X000858.SZ,X600809.SH,X000568.SZ,X002415.SZ,X002475.SZ,X600690.SH,X002304.SZ,X600276.SH,X000651.SZ,X300014.SZ,X600104.SH,X002371.SZ,X002129.SZ,X300124.SZ,X003816.SZ,X000625.SZ,X000725.SZ,X600031.SH,X002049.SZ,X000596.SZ,X000063.SZ,X002241.SZ,X600703.SH,X002179.SZ,X000338.SZ,X600089.SH,X600522.SH,X000661.SZ,X300142.SZ,X601877.SH,X002180.SZ,X000733.SZ,X002074.SZ,X600741.SH,X000100.SZ,X600460.SH,X600884.SH,X000157.SZ,X600702.SH,X002414.SZ,X601799.SH,X600487.SH,X600584.SH,X000799.SZ,X002236.SZ,X600563.SH,X600418.SH,X300003.SZ,X002176.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.259662708779608,0,0,0,0,0,0,0,0,0,0,0,0,-0.00353879197723592,0,0,0,0,0,0,0.0235404110994826,-0.0660635448554691,0,0.017436431896094,0,0.0644219966075121,0,0,-0.0272479829214985,0,0,0,0,0,0,0,0,0,0,0,0,0.0221219081705351,0,0,-0.0319324534963472,-0.0345109976768973,0,0,0.0600800966031971,0.0138217409513732,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0.0141421392546657,0.0806701082571389,0,0,0,0,0.00975159412524594,0,0,0,0,0,0,0.0356787154923371,0.0274398809299515,0,0,0.0153072499148287,0,0,0,0,0,0,0,0,0,0,0,0,0.0835880377008191,0,0,0.345549074123909,-0.0722833109430681,-0.00252696909297271,0,0,0,0,0,0,0,0.0261437912460659,-0.0391743410315967,0.0338026985272799,0,0,0,0,0,0,0
X600809.SH,0,0,0,0,0,0.0659268510161084,0,0,0,0.168048220482662,0,0,0,0,0,0,0,0,0,0,0.27353912222445,0,0,0,0,0,0,0,0.0283603428002547,0,0,-0.0398900125221011,0,0.000105711810707471,0,0,0,0,0,0,0.0621952318126971,-0.0623064522400387,0.00559126835214994,0,0,0,0,-0.0818397844486166,0,0,0.283233890731587,0,0,0,0,0,0,0,0
X000568.SZ,0,0,0.183147656003309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0261793598915578,0.0473706452399183,0,0,0,0,0,0.0367928230541817,0,0,0,0,0,0,0,0,0,0,0,0,0.334961654013562,0,0,0,0,0,0,-0.0245927199306517,-0.000814976330783115,0.0331022439248142,0,0,-0.037325605012068,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,-0.0623978424532892,0,0,0,0,0,0,0,0,0,0,0,0,0.100803732778721,0,0,0,0,0.0426609166746155,0.0779957543046556,0.0151274294700735,0,0,0,0,0,0,0,0,0,0,0,0,0.0449625972119418,0,0.591333774055967,-0.0309311980888883,0,0,0,0,0,0.0306216464691274,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.276797786995793,0,0.107110707318595,0,0,0,-0.0586873459926399,0,0.251751691089282,0,0,0,-0.130429533266007,-0.0651936579026979,0,0,0,0,-0.0218512208260581,-0.0253841786846502,0,0,0.158740715166516,0,0,0,0.00534103143146005,0,0,0,0,0,0,0,0,0,0,-0.129032020340693,0.0342175228369146,0,0,0,0,0,0
X600690.SH,0,0,0.0462858144641343,0,0,0,0,0,0,0,-0.0180294817177289,0,0,0,0,0,0,0,0,-0.0657650007149513,0,0,0,0,0,0,0.195310875363929,0,0,0,-0.176698694765688,0,0,0,0,8.67361737988404e-19,0,0,0,0.118294605689132,0,0,0,0,0,0,0,-0.0494157616077497,0.301424472997582,0,0,0,-0.00424360817909226,0,0,0,0,0,0
X002304.SZ,0,0.240001095158647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.138833845768602,0,0.021061980790838,0,0.0102450522348922,0,0,0,0.079219408342302,-0.0576580702783242,0,-0.0323780339982932,0,0,0,0,0,0,0,0,0,0.0556434018876178,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1442606520401,0,0,0,0,0.0233306916701225,0.103470139854901,0,0.0943191756320414,0.0038129208759513,0,1.73472347597681e-18,0.136366461446754,0,0,0,0,0,0,-0.0300153420355539,0,0,0,0,0,0.180360469595119,-0.188641042422781,0,0,-0.00491298594822161,0,0,0,0.0263230526583211,0,0
X000651.SZ,0,0,0,0,0,0.0531299009728968,0,0,0,0,0,0,0,0,0,0,0,0,0.0467249804983296,0,0,0,0.0372917463726534,0,0.0486952990456506,0.0532644752925152,0,0,0.0966676984639062,0.15447176603181,0,0,0,0,0.0969252133158893,0,0,-0.125831449736625,0,0,0,0,0.0167876819874056,0.00393413702665556,0,0,0,-0.0854596653474064,0.0606079230215027,0.101609861539475,0,0,-0.0428260436828157,0,0,0,0,0,0
