,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X600276.SH,X000858.SZ,X002304.SZ,X600690.SH,X000725.SZ,X000063.SZ,X600031.SH,X000338.SZ,X002475.SZ,X600741.SH,X000568.SZ,X601877.SH,X600271.SH,X600703.SH,X300124.SZ,X002236.SZ,X000100.SZ,X000625.SZ,X300003.SZ,X600487.SH,X600498.SH,X600809.SH,X000661.SZ,X002008.SZ,X002007.SZ,X300142.SZ,X000596.SZ,X000157.SZ,X002179.SZ,X600066.SH,X600089.SH,X600566.SH,X600177.SH,X002180.SZ,X600867.SH,X600522.SH,X300146.SZ,X002506.SZ,X600372.SH,X002456.SZ,X002241.SZ,X002508.SZ,X600118.SH,X002294.SZ,X600183.SH,X000977.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0,0.362948255643083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0179362560252724,0,0,0,0,0.232606062401937,0,0,0.113999171857313,0,0,0,0,0,0,0.046589030129785,0,0,0,0,0,0,0,0,0,0,-0.0389177206151485,0.0272583712992171,0,0,0,0,0,0
X600104.SH,0,0,0,0,-0.0466921847086562,0,0.0938560020027082,0,0,0,0,0,0,0,0,0,0,0,0,0.0383251381297555,0,0,0,0,0.0187583980518014,0.148624570955523,0,0,0.157046916261992,0,0,0,0,0,0,0.136210913010591,0,0,-0.110661537562533,0,0,0,0,0,0,0,0,0,0,0,0,0.000833412758941407,-0.010806859685343,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0423622611117163,-0.0215694465021831,0,0,0.685740712888983,0.0200577829187198,0,0,0.0157759536696319,0,0,0,0,-0.0003894208213579,0,0,0,0.0242505383415858,0,0,0,0,0,0,0,0,0,0,0.095996305637521,0,0,0,0,0,0,-0.151280755776828,-0.00875317747021367,-0.0142645351884184,0,0,0,0,0,0
X000651.SZ,0.193934457362806,0,0,0,0,0.0817714056073895,0,0.2041374986204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0213473098951109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17085912891115,0,0,0,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0.0988617393810566,0.223601477018952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.293167142057693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.079319917588795,0,0.0165393229295443,0,0,0,0,0,0,0.171628222655196,0,0,0,0.0165888433193153,0.0515321143167107,0,0,0,0,0,0
X000858.SZ,0.303153803704511,0,0,0,0,0,0.226598042108223,0.104449401997713,0,0,0,0,0,0.0731569006909075,0,0,0,0,0,0,0,0,0,0,0,0.166126707994571,0,0,0,0,0,0,0,0.100585101168428,0,0,0,0,-0.0696191597959176,0,0,0,0,0,0,0,0,0,0,0,0,-0.00465939992645657,0.026281771061931,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22726545287498,0,0,0,0,0,0,0,0.14173967911255,0,0,0.288787073605415,0,0,0,0,0.285867058638248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0169363843326782,0.0502178817432074,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0,0.213022448631172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0467478941167596,0,0,0,0,0.0908480856820796,0,0.0297711289582531,0,0,0,0,0,0,0,0,0,0,0,0,0.0824480270059601,0,0,0,0.214629661560389,0,0,0,0,0,0,0,0,0
X000725.SZ,0,0,0.0410560508534707,0,0,0,0,0,0,0.138901726473329,0,0,0,0,0,0,0,0,0,0.0471966706076539,0.00168471221400161,0.0361162190926826,0,0.0619060600006077,0,0,0,0,-2.16840434497101e-19,0,0,0,0,0,0,0.0474515087260278,0,0,0,0,0,0,0.122827153233332,0.0504110949988007,0.0339407489962817,0,0,0,0,0,0,0,0.019407294579105,0,0,0,2.16840434497101e-19,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143275022616713,0.0143226560066551,0,0,0,0,0,0.0896336081012672,0.26037507961301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.250844046243943,0,0,0.0637172002345783,0,0,0,0,0,0,0,0,0.0352454294356328,-0.0424926042213556,0,0,0,0.132835473723807,0,0
