,X600519.SH,X000858.SZ,X000651.SZ,X600276.SH,X002415.SZ,X600104.SH,X002304.SZ,X000725.SZ,X002475.SZ,X000568.SZ,X000063.SZ,X600031.SH,X600690.SH,X000338.SZ,X600741.SH,X600809.SH,X000596.SZ,X000661.SZ,X600183.SH,X002236.SZ,X601877.SH,X600703.SH,X002007.SZ,X000100.SZ,X002241.SZ,X300003.SZ,X300142.SZ,X000157.SZ,X600271.SH,X002179.SZ,X000625.SZ,X300124.SZ,X600867.SH,X600498.SH,X002463.SZ,X002129.SZ,X002008.SZ,X300014.SZ,X000977.SZ,X300136.SZ,X600177.SH,X300146.SZ,X002506.SZ,X002049.SZ,X000050.SZ,X600066.SH,X000066.SZ,X600487.SH,X002371.SZ,X002456.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.339589490749177,0.0657202460721023,0,0,0,0,0,0.0589032021164979,0,0,0,0,0,0,0,0,0,0,0.0701239283245242,0,0.00553423990327672,0,0,0,0,0,0,0,0,0,-0.0281250753243768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00906577269409621,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0.207798616546078,0,0.161634764795598,0.259575391659665,0,0,0,0.108328994285323,0,0.0906239956126939,0.0777060783903996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.103099602106064,0.029011585807943,0,0,0,0,0,-0.0138424881498073,0,0,0,0,0,-0.0426242113633354,0.0923902261549024,0,0,-0.0108347668679809,-0.00249388795649442,0,0,0,0,0,0
X000651.SZ,0,0.023180829878309,0,0,0,0,0.164052965668438,0,0.213766701051819,0,0,0,0,0,0.0401244399242337,0.114836875920275,0,0,0,0,0,0,0.0328070551101087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0557736414743366,0.0250882170346886,0,-3.46944695195361e-18,0,0,0,4.33680868994202e-19,0,0,0,0,0,0
X600276.SH,0,0,0,0,0.0925899440045119,0,0,0,0.043679085555634,0,0,0,0,0,0,0,0,0.159805070005429,0.092978039718224,0,0,0,0,0,-0.113993230320436,0.0459500959745413,0.221619558618144,0,0,0,0,0,0.168968580796763,0,-0.0263293325241106,0,0,0.0430234942321378,0,0,0,0,0,0.0790445442269356,0,0,-0.0623619276977321,0,0,2.16840434497101e-19,0,-0.0172584681790494,-0.00165993907120035,0,0,0,0,0,0
X002415.SZ,0,0.169667594898798,0,0,0,0,0,0,0.153378179260025,0,0,0,0,0,0,0,0,0.120644775243855,0,0.181331150378488,0,0,0,0,0.223172324825169,0,0,0,0,0,0,0,-0.0479397992413355,0,0,0.0172753605703012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00597961923512102,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0471837321372906,0.161443201103648,0,0,0.00483932686895678,-0.0157143543747402,0,0,0,1.73472347597681e-18,0,0,0,0,0.126927199144924,0,0,0,0,-0.000718719217126954,0,0,0,0,0,0,0,0,0.0492983838051956,0,0,0,0,0,0,0,-0.0333817464038216,0,-0.0182232589091086,0,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0.0291217472930955,0,0,0.0421901515218711,0,0.271329399936292,0,0,0,0,0.132156164023764,0.247492761730182,0.00196922350268909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0504275869953538,0,0.065942699334454,0,0,-0.0288571237288207,0,0,0,0,0,0,-0.0662577597306649,0,0,0,0.117068189328252,-0.0259423564517602,0.0658504803888176,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0.0602624781923992,0,0,0,0,0,0,0,0,0,0.0975106903402764,0,0.158618710560183,0,0.0380309524095731,0,0,0,0,0,0,0,0,-0.0225472810677673,0,0.0914538176327088,0,0,-0.0321811941285369,0,0,0,0,0,1.38777878078145e-17,0.303855728359887,0,0,0,0,0,0,-0.0281784509963162,0.0622943548971462,0,0,0,0,0,0
X002475.SZ,0.0714429299557605,0.274755695318379,0.0529040279821104,0,0.0948311900971942,0,0,0,0,0,0,0.101541929576828,0,0,0,0,0,0,-0.0229084009115467,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0711215993118384,0,0,0,0.144848073112877,0,0,0,0,0,0,0.307521952108455,0,0,0,0,0,0,0,0.0310737517290254,-0.0314231771018818,0,0,0,0,0,0
X000568.SZ,0,0.559318114055884,0,0,0,0,0.138081640319731,0,0,0,0,0.0430766469456208,0,0,0,0,0.152225936923935,0.0758516523126573,0.0545619321751476,0,0,-0.0709609193532758,0,0,-0.159464458445177,0,0,0,0,0,0,0,0,0,0,0,0.00611467370334505,0.0283339949841966,0,0,0,0,0,0,0,0,0.0749137789346815,0,0,0.0376621399577573,0,0,-5.93521861720199e-05,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0.029721160474942,0,0,0,0,0,0,0.0484022179476714,0,0,0,0.265147128487481,0,0,0,0,0.150174398529904,0,0,0,0.0849667294490658,-0.0872942969614874,0,0,0,0.70303936399541,0,0,0,0,0,0,0,0,0,0.101370590325782,0,0,0.0660538778793337,0,0,1.73472347597681e-18,0,0.0189953050235562,0.0995075916567308,0,0,0,0,0,0
X600031.SH,0,0,0,0,0,0,0,0,0.0794687286380324,0,0,0,0,0.0378024306038664,0,0,0,0.0792397840387699,-0.00339454633765378,0,0,0,0,0,0,0.0313358559677803,0.0321477034069638,0.00499402208195859,0,0.0362654977149411,0,0,-0.0086132743028955,0,0,0,-0.00905055056275018,0,0.102109889414723,0,0,0,-0.168298908574848,0,0,0,0.0576316570678987,0,0,0.121185675902599,0,0,0.0378061057512136,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0334496871374644,0,0,0,0,0,0.0150331110939312,0,0,0,0,0.00907716423782728,0,0,0,0,0,0,0,0,0,0,-0.0796869672078493,0.124372834068946,0,0.0934687683925872,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0318167723639031,0,0,0,0,0,0
X000338.SZ,0,0.0538347203465113,0,0,0.112142249015154,0,0,0,0,0,0,0.237393409298414,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0.191825459695235,0,0,0,0,0,0,0,0,0,-0.00512615352229722,0,0,0,0,0.0157301428401633,0,0,0,0,0,0,0.295160881913026,0,0.0851971955547762,0,0.0195045943597837,0,0,0,0,0,0,0,0,0,0
