,X600519.SH,X000858.SZ,X600276.SH,X000651.SZ,X002415.SZ,X002475.SZ,X600104.SH,X000063.SZ,X002304.SZ,X600031.SH,X003816.SZ,X000661.SZ,X000725.SZ,X000568.SZ,X600809.SH,X600690.SH,X000338.SZ,X600703.SH,X002371.SZ,X002007.SZ,X000596.SZ,X002241.SZ,X000100.SZ,X300142.SZ,X300003.SZ,X600741.SH,X600183.SH,X300014.SZ,X300124.SZ,X000977.SZ,X601877.SH,X000157.SZ,X000800.SZ,X002129.SZ,X000625.SZ,X600584.SH,X002236.SZ,X002049.SZ,X002414.SZ,X002463.SZ,X000066.SZ,X002456.SZ,X300136.SZ,X002179.SZ,X600118.SH,X600522.SH,X002185.SZ,X600867.SH,X600498.SH,X000021.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.190491125557705,0,0,0,0,0,0,0,0,0,0.00206218729209289,-5.42101086242752e-20,0,0,0,0,0,0,0,0.200205158309114,0,0,0,5.42101086242752e-20,0,0,0,0,0,0,0.0148446006338612,0,0,0.0641395292323114,0,0,0,0,0,0,0,0,0,0.0103924731438124,0,0,0,0,0,0,0.00496779595900148,-0.000222692710965535,0,0,0,0,0,0
X000858.SZ,0.121239870336271,0,0.0314446210486092,0,0,0.0114920698798205,0.0727753163433433,0,0,0,0,0,0,0.325769189290144,0.332215791850795,0,0,0,0,0.00577394667090188,0,0.106613081410258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.110120160363584,0,-1.35525271560688e-20,0.00629968810659482,0,0,0,0,0,0
X600276.SH,0,0.0752547314195098,0,0,0,0,0.0574152887688422,0,0,0,0,0.230197311444885,0,0,0.0409445966105286,0,0,0,0,0,0,0,0,0,0,0,0,0,0.169927745947356,0.0327421180833965,0,0,0,0,0,0,0,0,0,0,0.111102335855493,0,0,0,0,-0.0744972571224018,0,0,0,0,0,-0.0202326434625688,0,0,0,0,0,0,0
X000651.SZ,0,0.145981865894044,0,0,0,0,0,0,0,0,0,0,0,0.0074105705097168,0.065200398366438,0.423889773697538,0,0,0,0,0.00379468317136779,0,0,0,0,0.0276841807852916,0,0,0,0,0,0,0,0,0,0,0,0.017507379642843,0,0,0,-0.0244766377303621,0,0,0,0,0,0,0,0,0.0862336677375677,0.0125862854669034,0.0466164385228654,0,0,0,0,0,0
X002415.SZ,0,0,0,0.0630020343815281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0341939485418841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0.193626649215099,0.20542951423569,0,0,0,0,0,0,0.0241058205062115,0,0,0,0.203610792328612,0.0234830046608765,0,0.0287332983286273,0.0553876224093386,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.151697788995865,0.0978922429469919,0.0526164159840219,0,0,0,0.233305692668771,0.141077599547887,0,0,0,0,0,0.128983940986608,0,0,0,0.114060279557315,0,0,0,0,0,0,0.0567906473648734,0,0,0,0,0,0,0.00507312374943904,-0.0507082017326491,0,0,0,0,0,0
X600104.SH,0,0.0774645832784013,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106242928777633,0,0,0,0.117805830183742,0.345895028458735,0,0,0,0.136805084379567,0,0,0,0.0012890380039559,0.0241960759118857,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0428274279472817,0,0,0.0167562992547916,0,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.240603876014143,0,0,0,0,0,0,0,0.25383599434388,0,0,-0.0631147252247368,0,0,0,0,0.224400490852968,0,0,0,0,0,0.175650937116625,0,0,0.0140413002130102,0,0,0,0,0,0,0
X002304.SZ,0,0.181001774924395,0,0,0,0,0,0,0,0,0,0,0,0,0,0.110789273725754,0,0,0,0,0,0,0,0,0,0.0769812951483299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0561759113764997,0,0,0,0,0,0,0,0,0,0
X600031.SH,0,0.0390638442731199,0,0,0,0.105889483194109,0,0,0,0,0,0,0,0,0.0253335842847664,0,0.272240182401346,0,1.73472347597681e-18,0,0,0,0,0,0,0.0582199735362524,0,0,0,0,0,0.283779241185399,0,0,0.0531592387652306,-0.0204071483369035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00237968378583458,0.0236935701374734,0,0,0,0,0,0
