,X600519.SH,X600104.SH,X002415.SZ,X000858.SZ,X600276.SH,X000651.SZ,X002304.SZ,X600690.SH,X000725.SZ,X000568.SZ,X600741.SH,X600703.SH,X000338.SZ,X002475.SZ,X600031.SH,X002236.SZ,X300003.SZ,X300124.SZ,X000063.SZ,X002008.SZ,X600809.SH,X600867.SH,X601877.SH,X000596.SZ,X600271.SH,X600066.SH,X000625.SZ,X002456.SZ,X600487.SH,X002294.SZ,X600566.SH,X000100.SZ,X000661.SZ,X002241.SZ,X000157.SZ,X002179.SZ,X002508.SZ,X300142.SZ,X002007.SZ,X000981.SZ,X300136.SZ,X000050.SZ,X002180.SZ,X000869.SZ,X600177.SH,X000977.SZ,X600779.SH,X600522.SH,X600498.SH,X600884.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.0410628245077766,0,0.217581008608596,0,0.249343857723623,0,0,0,0,0.0763980007017475,0,0,0,0,0.0421366446099563,0,0,0.0644552914729668,0,0,0,0,0,0,0,0,0,0.0784781451441576,0,0,0,0,0,0,0,0,0,0,0,0,0.0384389381550638,0,0,0,0,0.0514591039827907,0,0,-0.00234908549480468,-0.0187826021805638,0,0,0,0,0,0
X600104.SH,0,0,0.109266635556082,0,0,0,0,0,0,0,0.0703847701497125,0,0,0,0,0,0,0.0227198648204525,0.0172166532034617,0,0,0,0,0,0,0,0,0,0.0359234830184769,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,-0.0722903286053437,0,0,0,0,0,0,-0.0747773612096687,0,0,-0.0663060448028427,0,0,-0.0621867435989735,0,0,0,0.0296006563350481,0,0
X002415.SZ,0,0,0,0,0,0,0.0790523167567998,0,0,0,0,0,0,0,0,0.243528675851663,0,0,0,0,0,0,0,0,0,0,0,0,0.159703428808373,0.0357347995325552,0.208674164233452,0,0,0.097845225877404,0,0,0.0975542649139498,0,0,-0.0328793786536722,0,0,0,0,0,0,0,0,0,0.0276619977206949,0,0,-0.0319767348677502,0,0,0,0,0,0
X000858.SZ,0.0784264060441594,0,0,0,0,0.173587940857749,0.0468429353219834,0.174879567180156,0,0,0.140502776302141,0,0,0,0,0.123147416759465,0,0,0,0,0.0712415741651301,0,0,0,0,0,0,0,0,-0.044241105014865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0841833062001565,0,0,0,0,0.00306018761349837,-0.00959107008603444,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0.151897675170291,0,0,0,0,0,0,0.0293783125603375,0,0,0,0,0,0,0,-0.116242808122179,0,0,0,0,0.204920462410055,0.280811206820831,0,0.111278922195684,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114558621462264,0,0,0.0703194822994417,0,-0.0502067390959711,-0.00345976325039079,0,0,0,0,0,0
X000651.SZ,0,0,0,0.209798408591126,0,0,0,0.245936176202647,0,0,0,0,0,0,0,0,0,0,-0.0275742383430858,0,0.0412788647810686,0,0,0,-0.0292113612982841,0,0,0.151748615936831,0,0,0,0,0,0,0,0,0,-0.132028976334929,0,0,0,0,0,0,0,-0.160633591851707,0.250709295066315,0.163398348949023,0,0,0,-0.017068522322402,0.0603509392128277,0,0,0,0,0,0
X002304.SZ,0,0,0.125482647534903,0.214661692986593,0,0,0,0.0957156345635172,0,6.93889390390723e-18,0.076220941024414,0,0,0,0,0,0,0.107078971853114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0610799100586128,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0374603489030088,-0.0438911832630897,0,0,0,0,0,0
X600690.SH,0,0,0,0.380159415816029,0.0805648481225902,0,0.161318013387596,0,0,0,0.0986395247429296,0,-0.00451839734603392,0,0,0,0,0,-0.0103595088612869,0,0.0579207786061513,0,0,0.0187389766885704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0232741736406181,0,0,0,0,0,0,-0.0808898398016641,0,0,0,0,0,0,0.0126350394458796,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0381889901042566,0,0,0,0,0,0,0,0,0,0,0,0,-0.036391849903497,0.279851918676814,0,0,0,0,0,0.058259273877739,0.18675431415088,0,-0.0993661998692453,0,0,0,0.031768945201292,0,0.153273749849289,0,0,-1.73472347597681e-18,0.0455312023953926,0,0,0,0,0,0
X000568.SZ,0,0,0,0,0.220036482584467,0,0.29896118397019,0,0,0,0,0,0.0667530386965918,0.0848527528749155,0,0,0,0,0.00711829817917793,0,0.163252461836932,0,0,0,-0.0101112020382584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0832608388305487,0.0139707369720768,0,0.0572943622191394,0,0,0,-0.00735316458723262,0,0,0,0,0,0
