,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X000568.SZ,X600690.SH,X600276.SH,X002304.SZ,X002475.SZ,X600104.SH,X000651.SZ,X000725.SZ,X600031.SH,X300124.SZ,X003816.SZ,X002129.SZ,X300014.SZ,X002371.SZ,X000338.SZ,X002241.SZ,X002049.SZ,X000063.SZ,X600703.SH,X000596.SZ,X300142.SZ,X002179.SZ,X000625.SZ,X600089.SH,X601877.SH,X000100.SZ,X000661.SZ,X000157.SZ,X600741.SH,X002180.SZ,X600460.SH,X000733.SZ,X600884.SH,X600522.SH,X600702.SH,X000799.SZ,X002074.SZ,X002236.SZ,X600584.SH,X002414.SZ,X000800.SZ,X600779.SH,X002432.SZ,X000977.SZ,X600183.SH,X002008.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.109656485073259,0,0,0.227897846596634,0.281637040304638,0,0.0830032524873292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0483604926416914,0,0,0,0,0,0,-0.027201936864776,0,0,0,0,0,0,0.0340142085505264,0,0,0,0,0,0,0,1.38777878078145e-17,-0.0125910963460921,0.0141869157338583,0,0,0,-0.0386179238427333,0,0,0,0,-0.0497647372855972,0,0
X000858.SZ,0,0,0,0.0195462317423429,0.194699280986737,0.155407935797531,0,0.15669685019602,0,0,0,0,0,0,0,0,0,0,0,0,0,0.064166882734867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0739950790737928,0,0.0527040572216675,0,0,0,0,0,0,0.0377704835052393,0,0.00935935097316851,0,-0.0162732926468557,0.0145401154655906,0,0,0,0,0,0
X002415.SZ,0,0,0,0.127428232729764,0,0,0,0.0560691701281353,0.0573063305311983,0,0,0,0,0,0,0,0.123692122100914,0,0,0,0,0,0,0,0,0,0.0220637702814078,0,0,0,0,0,0,0.0903574744350635,0,0,0,0,0,0,0,0,0,0,0,0,0,0.194091454239082,0,0,0,0.00103113362109443,0.00395059821317533,0,0,0,0,0,0
X600809.SH,0,0.135561921691231,0,0,0.542825774955075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0124698799894095,0,0,0,0,0,0,0,0.0307453694983033,0,0.104865574638684,-0.0281427490758359,0,0,0,0.133877739721563,0,0,0.131843236512988,0,0,0,0,0,0,0,-0.0630907989122455,0,0,0,0,0.0235471686315969,0,0,0,0,0,0,0
X000568.SZ,0.273626479768356,6.93889390390723e-18,0,0.0317057509508517,0,0,0,0,0,0,0,0,0,0,0,0,0,0.113611432731098,0,0,0,0.0141817224299958,0,0.192220834052585,0.0189461540835967,0,0,0,0,0,0,0,0,0.0939681233907741,0,0,0,0,0.012104368982644,0,0,0,0,0,0,0,0.028746590440923,0,0,0,0,0,0.0463506171023969,0,0,0,0,0,0
X600690.SH,0.0112096859191133,0.103105116093504,0,0,0,0,0.122778012982403,0,0,0,0,0,0.0412649285180038,0,0,0,0,0,0,0,0,0,0,0.206566968524748,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0212928927354994,0,0.01568165941829,0,0,0,0,0,0,-0.0291938534959407,0,0,0.266842974605684,0,-0.000493438068416045,-0.0096748279079376,0,0,0,0,0,0
X600276.SH,0,0,0.0502071281597749,0,0,0.275231768761725,0,0,0,0,0,0,-0.0481550190059295,0,0,-0.0478339986068869,0,0,0,0,0,0.165150955021391,0,0.130440308859892,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02616337640327,0.0578896575269398,0.00875252357015603,0,0,0,-0.0514727754846759,0,0,0.0699007641046913,0.0408992640801114,0,0,0.0390605279268995,0,-0.0157124301706081,0,0,0,-0.065879980408737,0,0
X002304.SZ,0.0563622087220877,0,0,0.0106169274019178,0.133384515850354,0,0,0,0,0,0,0,0,0.0637940064936234,0.0171998493983543,0,0,-0.0737935174576488,0,0,0,0,0,0.24802000437667,-0.0129233662505438,0,0,0,0,0,0.0172689987228241,0,0.356017721363453,0,0,0,0,0,0.189123531624876,0,0,0,0,0,0,0,0,0.0975872792907671,0,0,0,-0.0131054420901405,0,0,0,0,0.0157969194138365,0,0
X002475.SZ,0,0,0,0,0.132519302272053,0,0,0,0,0,0,0,0,0,-0.271008597358412,0.0331502623176731,0.0193236340245741,0.201376785822215,0,0.447581388340466,0,0,0,0,0,0,0,0,-0.14111317318681,0,0,-0.0417104897563442,0,0,0,0,0,0.0682270544649407,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0429338437793107,0,0,0,0,0,0,0
X600104.SH,0.0464332753564344,0,0,0,0,0,0,0.0831798456003742,0,0,0,0.0430820169876843,0.00595251732686002,0,0.114141766035192,0,0,0,0.0683251187954336,0,0,0,0,0,0,0,0.123627864742237,0,0,0,0,0.0970038220131242,0,0.0304137160251694,0,0.0120230001322417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00941096186243864,0,0,0,-0.00828975035881519,0,0
