,X600519.SH,X600104.SH,X002415.SZ,X000858.SZ,X000651.SZ,X600276.SH,X002304.SZ,X000725.SZ,X600690.SH,X000063.SZ,X600031.SH,X000338.SZ,X002475.SZ,X000568.SZ,X600741.SH,X601877.SH,X600703.SH,X600271.SH,X002236.SZ,X000100.SZ,X300124.SZ,X300003.SZ,X002008.SZ,X000625.SZ,X600809.SH,X600487.SH,X000596.SZ,X000661.SZ,X600498.SH,X002007.SZ,X002456.SZ,X000157.SZ,X300142.SZ,X002179.SZ,X600177.SH,X300146.SZ,X600566.SH,X000050.SZ,X600089.SH,X600066.SH,X600522.SH,X002180.SZ,X600867.SH,X002129.SZ,X002506.SZ,X600372.SH,X002241.SZ,X000977.SZ,X600776.SH,X300136.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000338.SZ,0,0.0831203169726765,0,0,0,0,0.02480276314498,0,0.104742832609377,0,0,0,0,0,0.177262135219268,0,0,0,0.155955634044013,0.0312137974346223,0,0,0,0.0623241806884151,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.115142205972607,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00238199136400276,0.015934777976415,0,0,0,-0.0465747270619322,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.209084169456337,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0.0131597096371848,0,0.150653193111122,0,0,0.106288468154787,0,0,0.216507628728493,0,0,0,0,0,0,0,-0.0212204276596745,0,0,0,0,0.0306035145261743,0.158168088023743,0,0,-0.0660881139560554,0,0,0,-0.0409227344046543,0,0
X000568.SZ,0,0,0,0.139612752345799,0,0.0278351502330709,0.144485030457702,0,0,0,0,0,0,0,0,0.0309655400431141,0,0,0,0,0,0.0120022469715914,0,0,0.21287073486609,0,0,0,0,0,0,0,0,0,0,0.13256273226665,0,0,0,0,0,0,0.0724307682509767,0,0,0,0,0,4.33680868994202e-19,-4.33680868994202e-19,0,0.00829172564002093,0.0260123330225752,0,0,0,0,0,0
X600741.SH,0,0.0701218867493704,0,0,0,0,0,0,0,0,0,0.27458527659362,0,0,0,0,0,0,0,0,0.047279849942871,0,3.46944695195361e-18,0,0,0,0,0,0,0,0.283363937411532,0,0,0,0,0,0,-0.252211696285455,0,0,0,0,0.134035352168392,-0.0142168930876971,0,0,0,0,0,0.13434073944673,0,0,0.0265786588923868,0,0,0,-0.0145063775126467,0,0
X601877.SH,0,0,0,0,0,0,0,0,0,0.0209779145773546,0,0,0,0,0,0,0,0,0.078931580588114,0,0,0.0262607468605493,0.102189574907104,0.0277145277229386,0,0,0,0,0,0,0,0,0,0,0,0,0.0543877009208369,0,0,0,0,0,0,0,0,0,0,0,0,0.196671025407488,0,0.000764987775581108,0,0,0,0,0,0,0
X600703.SH,0,0,0,0,0,0,0,0,0,0.18581296152644,0,0,-0.0723611036657568,0,-0.29717483950713,0,0,0,0,0,0,-0.319074953741804,0,0,0.223955746298092,0,0,0,0,0,0.722548952402391,0,0,0,0,0,0,0,0,0,0,0,0,0.0961693467752682,0,0.16037552117365,0,0.273960923275119,0,0,0,0.00767135541873986,0.0827144517205516,0,0,0,-0.144097733894843,0,0
X600271.SH,0,0,0,0,0,0,0,0.198727351712189,0,0.100025804912846,0,0,0,0,0,0,-0.0668040239167262,0,0,0,0,0,0,0,0.0509307667110223,0,0,0,0,0,0,0,0,0.281111503899572,0,0,0,0,0,0,0,0.241084715779916,0,0,0,0,0,0.362669746604431,-0.114763632979011,0,0,-0.0474699536441687,0,0,0,0,0.0167481792408613,0,0
X002236.SZ,0,0,0.596346376730724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0542867318078984,0,0,0,0,0,0,0.0980152020328296,0,0,0,0,0,0,0,0,0,0,0.0581712336499467,0.111066580872476,0,0,-0.03263200494046,0,0,0,0,0,0
X000100.SZ,0,0,0,0,0,-0.193021574127027,0,0,0,0,0,0,0,0,0,0,0.015730939668974,0,0,0,0,0.225874560377143,0,0.383168657202162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00312606351855486,0,0.15988977211382,0,0.180496591115835,0,0,-0.42950215738082,-0.00773584917793573,-0.046184254852407,0,0,0,-0.0806044994833987,0,0
X300124.SZ,0,0,0,0,0,0,0,0,0,0.167732089403164,0,0,0,0,0,0,0,0.107529024202215,0,0,0,0.0922963870162228,0,0,0,0,0,0,0,-0.113901489246895,0,0,0.292095576326922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0516116752028814,0,0,-0.0590897006040844,0.134533415248338,0,0,0,0.0367081567155126,0,0
