,X600519.SH,X600104.SH,X000651.SZ,X002415.SZ,X000858.SZ,X000725.SZ,X002304.SZ,X600276.SH,X000625.SZ,X000063.SZ,X600703.SH,X002292.SZ,X600741.SH,X000100.SZ,X002241.SZ,X002506.SZ,X600066.SH,X600031.SH,X002236.SZ,X600118.SH,X000559.SZ,X002049.SZ,X002465.SZ,X000157.SZ,X600372.SH,X002475.SZ,X000338.SZ,X600089.SH,X000568.SZ,X300124.SZ,X600177.SH,X600867.SH,X002294.SZ,X300003.SZ,X002456.SZ,X002007.SZ,X002074.SZ,X002129.SZ,X000869.SZ,X300146.SZ,X600498.SH,X601877.SH,X002426.SZ,X002085.SZ,X000550.SZ,X002008.SZ,X000623.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0,0,0.101410952915237,0,0,0,0,0,0.120375731204127,0,0.103106709126845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0726494733881606,0,0,0,0,0,0,0,0,0.0071235112347721,0,0,0,0,0,0,0,0.0156229679699917,-0.00177763098873858,0,0,0,0,0,0
X600104.SH,0,0,0,0.124643525541321,0,0,0,0,0.00240892558703018,0,0,0,0.026618089247778,0.16211567045291,0.0884478319404882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0.0759334334839341,0,0,0.124707866720382,0,0,0,0,0,0,-0.0171613769847299,-0.00134675060913129,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0.0809074982516843,0.150691791341212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.446772819593319,0.0832664595390364,0,0,0,0,0,0,0,0,0,0.0555885952429801,0,0,-3.46944695195361e-18,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.22654141816044,0,0.0920177494495267,0.0470783301500869,0,0,0,0,0,0.0155979882490807,0,0,0,0,0,0,0,0.117206217618664,0,0,0,0,0.0681885288305037,0,0,0,0.13068605742923,0.0872376629305119,0,0,0,0,0,0,0.0718160166454446,0,0,-0.0109594400063713,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0,0,0,0,0,0.172364614683165,0,0,0,0,0.425865202549224,0,0,0,0,-0.00453723599262631,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000509879610257784,0.0531073544835505,0.093694871763148,0,-0.0546683796648967,0,0,0,0,8.67361737988404e-19,0,0,0,-0.00370291405631708,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0.0896538277811131,0,0,0,0,0.252304974504094,0,0,0,0,0,0,0.00894738589751413,0,0,0.121826095262307,0,0,0,0,0,0,0.155539101650946,0,0,0,0.00819082475219326,0,0.0453656435975872,0.0550002896227577,0,0,0.0583481234164035,0,0,0,0,0,0,0,0,-0.0124009644031328,0,0,0,0,0,0
X002304.SZ,0,0.0604172952807798,0,0,0,0,0,0,0,0,0,0,0,0,0.028517850689151,0,0,0,0,0.0867159454890858,0,0,0,0,0,0,0,0,0.157412765436825,0,0.170811828403214,0.081876529195655,0,0,0,0,0,0,0.107353670116908,0,0.0577239950652178,0,0,0,0,0,0,0,0,-0.0257377079127687,0,0,0,0,0,0
X600276.SH,0,0,0.0679340441085025,0,0,0,0,0,0,0,0,0,0,0.0533365469084134,0,0,0,0,0,0.0991792880550116,0.0849922351219434,-0.0948965494463828,-0.0883431460100046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0498154774923621,0,0,0,0,-3.46944695195361e-18,0,-0.061626144289324,-0.00854304541970763,0,0,0,0,0,0,0
X000625.SZ,0,0,0.198520214034852,0,0.125262870863945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.189815584008181,0,0,0,0,0,0,0,0,0,0.00243955906560317,0,0,0,0,0,0,0,0,0.0816100550568049,0,0,0,0.000700201892405874,0.185572058209451,0,0.134439739165944,0,0,0,0,0,0,0,0,0
X000063.SZ,0,0,0.0264553496210347,0,0,0,0,0,0.0744796404261708,0,0,1.73472347597681e-18,0,0,0.0504938815305427,0,0,0,0,0,0.131625448258112,0,0,0,0,0,0,0,0,0.132878156174327,0.181825547739571,0,0,0,0,0,0,0.0377858209028435,0,0,0,0,0.141661106906207,0,0,0,0,0,0,-0.017270031829385,0,0,0,0,0,0
