,X600519.SH,X000858.SZ,X600276.SH,X002475.SZ,X002415.SZ,X600690.SH,X600809.SH,X000651.SZ,X002371.SZ,X600104.SH,X003816.SZ,X000568.SZ,X300124.SZ,X000725.SZ,X000063.SZ,X600031.SH,X000625.SZ,X002304.SZ,X000338.SZ,X000596.SZ,X300014.SZ,X002241.SZ,X000100.SZ,X002179.SZ,X600418.SH,X002463.SZ,X600584.SH,X000977.SZ,X600089.SH,X600703.SH,X000157.SZ,X002028.SZ,X600372.SH,X000066.SZ,X002049.SZ,X600522.SH,X600741.SH,X002236.SZ,X600066.SH,X600183.SH,X600839.SH,X601877.SH,X600460.SH,X002156.SZ,X600487.SH,X002456.SZ,X000661.SZ,X000800.SZ,X002129.SZ,X002074.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.35296298549803,0,0,0,0,0.0933119907489326,-0.00622312055255088,0,0,0,0,0,0,0,0,0,0.120298672687103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00296696747655037,0,0,0,0,-0.0155931460683461,0,0,0,-0.0135965437194529,0,0,-0.0116874286436323,0,0,0,0,0,0,-0.099384870497827,0,0,0,-0.0733752031364741,0,0
X000858.SZ,0.577710253996538,0,0,0,0,0,0,0,0,0.0714033738361339,0,0.227543635835027,0,0,0,0,0.0108469080495231,0,0,0.0712126889639044,0,0,0,0,0,0,0,0,0,0,0.0360554591873575,0.000356982760570265,0,0,0,0,0,0,0.115024337493112,0,0.0424242060423824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0.303715663361953,0,0,0,0,0.113490291589565,0,0,0.0680985004950632,0.0592706130793824,0,0,0.103852487636094,0,0,0,0,0,0,0,0.0785877483281067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037858024991921,-0.0791540294345042,0,0,0,-0.100917883388202,0,0
X002475.SZ,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0.0474241419897174,0,0,0,0,0,0,0,0.0821545750034523,0.421064307317033,0,0,0,0.0470193168908495,0,0,0,0,0,0,0,-0.00350012787474055,0,0,0,0,0,0.124626922015095,0.0512132525282869,0,0,0,0,0,0,0,0,0,0,0,-0.041919503831783,0,0,0,0.00735679679790701,0,0
X002415.SZ,0,0,0,0,0,0.0240572318580857,0.188170013894506,0,0,0,0,0,3.46944695195361e-18,0,0.0657431056508506,0,0,0,0,0,0.213924766424601,0,0,0,0,0.0750167957418502,0,0,0,0,0,0,0,0.034856754312873,0,0,0,0,0,0,0,0,0.0300068550840654,0,0,0,0,0,0,0,0,-0.0185555179158371,0,0,0,0,-0.0552615351056762,0,0
X600690.SH,0,0,0,0.0807529857938895,0,0,0.12127937790752,0.332224620593552,0,0,0,0,-1.73472347597681e-18,0,0,0.112832377702054,0,0,0,0,0,0,0,0,-0.00862059917474749,0.0182322832666197,0,0,0,0,0,0,0,-0.00856470937425779,0,0,0,0,0,0,0,0,0,-0.0106061264572541,-0.0130196496375102,0.0702557499141481,0,0,-0.0228172580959875,-0.0395568487428787,0,0,0,0,0,0,0.0312876057983106,0,0
X600809.SH,0,0.0618232297944349,0,0,0,0,0,0,0,0.00890377970422534,0,0.548480964497158,0,0,0,0.041968534504672,0,0,0,0.156417699545762,0.0321970050837439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0117524159281235,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0
X000651.SZ,0,0,0,0,0,0.257255052157963,0,0,0,0.0573171923976958,0,0,0.00913976776971964,0,0,0,0,0.195048430362551,0,0,0,0,0,0,-0.082124005483979,0,-0.039306996784598,0,0,0,0,0,0,0,0,0,0,0,0.213982480798293,0,0,-0.00648260292391138,0,-0.0102916053712948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X002371.SZ,0,0,0,0,0,0,0,0,0,-0.0440096940941978,-0.0643123243661493,0,0.398731207678399,0,0,0,0,0,0,0,0.0582709413089338,0,0,0,0,0,0,0.127326465331989,0,0,0,0,0,0,0.00898674993166784,0,0,0,0,0,0,0,0,0.163750163196511,0,0,0,0,0,0,0,0.0685915061325641,-0.0635838778151655,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0.221645987197194,0,0,0,0,0,0.497189300061095,0,0,0,0,0,0,0,0.28307751306689,-0.159812170388187,0,0,0,0,0,0,0,-0.196271425103414,0,0,0.363693687909933,0,0,0,0,0,-0.128289447260126,0,0,0,0,0,0,0,0,0,0.0255898042726688,0,0,0,0.0430240689819119,0,0
