,X600519.SH,X000858.SZ,X600809.SH,X002415.SZ,X000568.SZ,X002304.SZ,X600690.SH,X002475.SZ,X600104.SH,X000651.SZ,X600276.SH,X300124.SZ,X000725.SZ,X300014.SZ,X003816.SZ,X002129.SZ,X002371.SZ,X600031.SH,X002241.SZ,X002049.SZ,X000625.SZ,X000596.SZ,X000063.SZ,X000338.SZ,X002179.SZ,X600703.SH,X600089.SH,X300142.SZ,X601877.SH,X600741.SH,X600460.SH,X000661.SZ,X000100.SZ,X002180.SZ,X000733.SZ,X600522.SH,X002074.SZ,X000157.SZ,X600702.SH,X600884.SH,X002236.SZ,X000799.SZ,X600584.SH,X601799.SH,X000800.SZ,X002414.SZ,X002056.SZ,X600183.SH,X002176.SZ,X600563.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.254111441207944,0,0,0.0351019861708968,0.0179556365481701,0.152167275120133,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000740798705881472,0.149031884655289,-5.42101086242752e-20,0,0,0,0,-0.00376544532964083,0,0.0553538111787483,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0196910971592175,0,0,0,0,-0.0234749729697877,0,0,0,-0.0492166774479971,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0.363232017081973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0581848890354165,0,0,0,0,0,0,0,0,0,0,0.203677582845973,0,0,0,0,0,0.0992956032341593,0,0,0,0,0,0,0,0,0,0,0,0,-0.00996389673450931,-0.00918099429607564,0,0,0,0,0,0
X600809.SH,0,0,0,0.106325796548882,0.335866510924152,0,0,0,0,0,0,0,0,0,0,0.0517237336858403,0,0,0,0,0,0.237976333400321,0,0,0,0.162228781911427,0,0,0,-0.102630958566516,0,0,0,0,0.0576795308007059,0.0100813434342734,0.00636124472557624,0,0.157002470890699,0.014320408052591,0,0,0,0,0,0,0,0,0.0292071838249278,0,0,1.35525271560688e-20,0.0160435192088242,0,0,0,0,0,0
X002415.SZ,0,0,0.00979902589802121,0,0,0,0,0,0,0,0,0.128161111843537,0,0,0,0,0,0,0,0,-0.398929609315089,0,0,0,0,0,0.0144986520525271,0,0,0,0,0,0,0,0,0,0,0,0.167756606130103,0.31541589971732,0.417256596619711,0,0,0,0,0,0.137146811202223,0,0.0124141080211291,0,0,-0.0457352604629071,0.140714678607617,0,0,0,0,0,0
X000568.SZ,0,0.553700919654981,0.0655267069182376,0,0,0.167393528135969,0,0,0,0,0,0,0,0,0,0,0.0678646010878248,0,0,0,0,0.124851513582749,0.0563960817556344,0,0,0,0,0,0,0,0,-0.117821061496995,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00340419869571513,0.0623638950623735,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0.165442880392166,0,0,0,0,0,0,0.166779273571624,0,0,0.320882304385476,0,0,0,0,0,0,0.143773724036973,0.0177606774089583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.197118993144834,0,0,0,0,0,0,0,0,0,-0.0245759052332177,0,0,0.000619750007560507,-0.0593042874807573,0,0,0,0,0,0
X600690.SH,0,0,0,0,0.19043600128646,0,0,0,0,0.109489576847992,0,0,0,0,0,0,0,0.0653907883248061,0,0,0,0,0.031863154169956,0,0,0,0,0,0,0,0,0,0,0.0748906909427268,0,0,0,0,0,0,0,0,0,0,0,0,0.0853769510902277,0,0,0,0.230312626937168,-0.0386692150602506,-0.0103280537303119,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.115477091505165,0,0.388978340264505,0,0,0.0825068107612892,0,0,0,0.0126915395567799,0,0,0,0,0,0,0,0,0,0.0643024846913765,0,0,0,0,0.162595581789736,0,0,0,0,0,0,0,-0.0315163243605134,0,0,0,0,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.127179373499405,0,0,0,0,0,0.187749715242007,0,0,0,0,0,0,0.0231990983622239,0,0.117999556218333,0,0,0,0.077463188002571,0,0.0190708001690323,0,0,0,0,0,0,0,0,0,0,0,0,-0.00492393351399024,0,0.0684777322021387,-0.0157142190422936,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0.152724735327244,0.0745930735785164,0,0,0,0,0,0.0322014036082279,0,0.115439033608569,0,0,0.157422167724877,0,0,-1.73472347597681e-18,0,0.0255162306836371,0,0,0,0.0590254628113018,0,0,0,0,0,0.0181821156900361,0,0,0,0,0,0,0.015252794821692,0,0,0.0300115101583663,0,0.0113924802076982,0,0,0.0332703131231643,0,0,0,-0.0373053570318217,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0349857042793363,0,0,0.102018873089208,0,0,0,0,0.106236998053415,0,0,0.0342538380282959,0,0,0,0,0,0,0,0,0,0.194779229925709,0.193520634730936,0,0,0.0651008920862362,0,0.294699681023673,0,0,0,0,0,0,-0.0315273986487028,0,0.0712613181064404,0.386629256043664,0,0,0,0
X300124.SZ,0,0,0,0.125878718146902,0,0.198064616624345,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0.0942888638451968,0,0,0,0,0,0,0,0.0834914990582726,0,0.13798010976431,0,0,0,0,0,0.0817637142104573,0,0,0,0,0,0,0,0,-0.0806342343390049,0,-0.0857405521633049,0,0,0,0,0,0
