,X600519.SH,X000858.SZ,X600276.SH,X002415.SZ,X000568.SZ,X600031.SH,X002475.SZ,X000651.SZ,X600809.SH,X002304.SZ,X600690.SH,X600104.SH,X300014.SZ,X000725.SZ,X000661.SZ,X000338.SZ,X300124.SZ,X000063.SZ,X003816.SZ,X600703.SH,X000100.SZ,X000596.SZ,X002241.SZ,X000157.SZ,X000625.SZ,X600741.SH,X002371.SZ,X002007.SZ,X002129.SZ,X601877.SH,X002179.SZ,X002049.SZ,X002236.SZ,X300142.SZ,X002414.SZ,X600584.SH,X000799.SZ,X601799.SH,X000800.SZ,X300003.SZ,X600183.SH,X600089.SH,X000066.SZ,X002074.SZ,X002008.SZ,X600779.SH,X000977.SZ,X000050.SZ,X002294.SZ,X002508.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.102522298073935,0,0,0,0,0,0,0.190562502163073,0,0,0,0,0,0.0459050995000572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0314085692410219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00348489765256554,0.00967387363721279,0,0,0,-0.00871920077985214,0,0
X000858.SZ,0,0,0,0,0.343061365348205,0,0,0,0.124368949483615,0.0423109410185357,0,0,0.0238017335643631,0,0,0,0,0,0,0,0,0,0,0,0.0117541660906287,0,0,0.0809178541341306,0,0,0,0,0,0,0.0216524908850143,0,0.127497748945982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00791611916203496,-0.0245675014769339,0,0,0,0.00220409074887338,0,0
X600276.SH,0,0,0,0.116141614619428,0,0,0,0,0,0,0,-0.0438428518191898,0,0,0.107975386319978,0,0,0,0,0,-0.0382667295430405,0,0,0,0.0374522808649389,0,0,0,0.0470170655360262,0,0.0608400198559257,0.0411466913230087,0,0,0,0,-0.0254043893711434,0,0,0,0,0,0,0,0,0,0,0,0.115799189854332,0,0,-0.00712757556854907,0,0,0,0,-0.0199741324245136,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0.0370926842458062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0130612369080103,0,0,0.0278215279314285,0.526665849295361,0,0,0,0,0,0,0,0,0,0,0.0486088745827029,0,0,0,0,0,0,0,-0.00701053894746215,0,0,0,0,-0.0153504531539626,0,0
X000568.SZ,0,0,0,0,0,0,0,0,0.381175394594362,0,0,0,0,0,0,0,0,0,0,0,-0.160204122676243,0,-0.0549099723846227,0,0,0,0,0,0,0,0,0,0,0,-0.00415646899033458,0,0.158704903884982,0,0,0,0,0,0,0,0,0.0954603857637376,0,0,0,0,0,0,-0.00730277431848255,0,0,0,-0.0244823200518244,0,0
X600031.SH,0,0,0,0,0,0,0,0,0.032594053464638,0.101566702406474,0.132620818241561,0,0,0.0121697922636506,0,0,0,0,0,0,0.0245711481507925,0,0,0.204512433617011,0,0,0,0,0.0052454822547803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0969709573047471,0,0.0144305892158472,0,0,0,0,0,-0.0208439759764159,0,0,0,0,0,0,0
X002475.SZ,0,0,0,0,-0.0211196532157557,0.108541895730338,0,0,0,0,0,0.00398381248501573,-0.00542263343580249,0,0,0,0,0,0,0.113604800463213,0,0,0.443157856469318,0,0,0,0,0,0,0,0,-0.0131741421096115,0,0,0,0,0,0,0,0,0.201463098590595,-0.157811712224196,0,0,0,0,0,0,0,0,0,-0.0207245901069218,0,0,0,0,0.00684821076958146,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,0,0.144483240532881,0,-0.0711727151276647,0,0,0,0,0,0,0,0,0,-0.0486643392668621,0.26853967154247,0,0,0,0,0,0,0,0,0,0.0262301488141605,0,0.00704679773506623,0,0,0,0,0,0,0,0.0377839977331619,0.0418431972282683,0,0,0,0,0,0,0.00636110210309722,0,0,0,0,-0.0133135897207191,0,0
X600809.SH,0,0.323188484375825,0,0,0.0699445933778984,0,0.0989384474055553,0,0,0,0.220352124344572,0,0,0,0,0,0,0,0,0.14264927201605,0,0,0,0,-0.0536514848493247,0,-0.183017693916616,0,0,0,0,0,0,0,-0.0101924786172278,-0.192367221448157,0.0732280038475846,0,0,0,0,0,0,0,0,0,0,0,0,0.12650113671239,0,0,-0.0172543946682018,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0.257090757497653,0,0,0,0.284585928093707,0,0,0,0,0,0,-0.0511436211110018,0,0,0,0,0,0,0,-0.030215635003424,-0.060713534037503,0,0,0,0,0,0,0,0,0,0,0,0.0699765242178558,0.232544579926371,-0.0265790564870701,0.213604233396477,0,0,0.00358972293425588,0,0,0,0,0,0,0,0,-0.0495236563408542,0.0148105158985757,0,0,0,0.0156891497073791,0,0
