,X600519.SH,X000858.SZ,X600276.SH,X002415.SZ,X002475.SZ,X000651.SZ,X002304.SZ,X600104.SH,X000568.SZ,X600031.SH,X600809.SH,X000725.SZ,X000661.SZ,X000063.SZ,X600690.SH,X002241.SZ,X003816.SZ,X000338.SZ,X300124.SZ,X000596.SZ,X300014.SZ,X600703.SH,X002007.SZ,X600741.SH,X000625.SZ,X000100.SZ,X002371.SZ,X300142.SZ,X002129.SZ,X601877.SH,X002236.SZ,X002049.SZ,X000157.SZ,X600584.SH,X002179.SZ,X300003.SZ,X002414.SZ,X000800.SZ,X600183.SH,X300136.SZ,X000066.SZ,X000977.SZ,X601799.SH,X002456.SZ,X002008.SZ,X600066.SH,X600118.SH,X002185.SZ,X300146.SZ,X000050.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.0788663524168171,0,0,0,0.0255973091539284,0,0,0.0526585373022493,0,0.278539948031311,0,0,0,0,0,0,0,0,0.15802707051853,0,0,0,0,0,0.151516558443908,0,0,-0.0461707365878281,0,0,0,0,0,0,0.0462586912178593,0,0,0,0,0,0,0,0,0,-0.0283473635108889,0,0,0,0,0,0.0978018438442568,-0.0565266857468037,0,0,0,0,0,0
X000858.SZ,0.0108871910844101,0,0,0,0,0,0.234515401898008,0,0,0,0.228750839665959,0,0,0,0,0.122604965195154,0,0,0.0783645210256043,0.0770485381234638,3.46944695195361e-18,-0.08177594490427,0,0,0,0,0,-0.00305836477981467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0338520000763677,0,0,0,0,0,0
X600276.SH,0,0,0,0.0564554346983441,0,0,0.0222274268345573,0,0.0134345300414629,0,0.144474511307097,0,0,0,0,0,0,-0.064815362863785,0,0,0,0.0562592697077605,0.0210291209953497,0,0,-3.46944695195361e-18,0,0,0,0,0.173059549885696,0,0,0,0,0,0,0,0,0.0637987242193384,0,0,0,0,0,0,0,0,0,0,0,0,-0.0225385513081379,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0.203217827228318,0,0,0,0,0,0,0,0,0,0.0886884401552674,0,0,-0.0415834716240319,-0.0514347994358571,0,0,0,0,0,0,0,0,0,0,0,0.173885192153712,0.0926683041600933,0,0,0,0,0,0,0,0.0682142523097103,0,0,0,0,0,0,0,-0.0911294518452071,0,0,0,-0.0154280418638623,-0.0145406545055698,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,-0.012527774326107,0,0,0,0,0,0,0.33681470332885,0,0,0,0,0,0,0,0,0,0.126564550135791,2.16840434497101e-19,0,0.0267337659511346,0,0,0,0,0.0797462852209583,0,0,0,0,0,0,0,0,0.0371664373750575,0,0.0804923366351926,0,0,0,0,0.114105876051098,0,0,-0.0137529030827505,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,0,0,0,-0.057910742347916,0,0.164034036779372,0,0,0,0,0,0,0,0,0,0.0748867740575818,0.0878249504844457,0,0.067917863076084,0,0,0.0791079461447361,0,0.1826632502097,0,0.00323135367894807,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0665894608949447,0,0,0,-0.0500104867617081,0,0,0,0,0,0
X002304.SZ,0,0.128426535249061,0,0.0067190649760499,0,0,0,0,0.323954232951832,0,0.0562853207485946,0,0,0,0,0,0,0,0,0,0.122681016994564,-0.00328905756579419,-0.0778182284877865,0,0,0,0,0,0,0,0,0,0,0,0.0671926067442128,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117693515612483,0,0,-0.0258217881814577,0,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0.112692964693535,-0.0136751858573982,0,0,0,0,-0.0302642030066566,0,0.236394217358975,0,0,0,0.0823580932684531,0,0.100134633623952,0,0,0.0110155713587084,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0335845250961264,0,0,0,0,0.0548301706564437,0,0,0.0349967583789948,0,0,-2.71050543121376e-20,0,0,0,0,0,0,0
X000568.SZ,0,0.0454721931108963,0,0,0,0,0.513353957000696,0,0,0,0,0,0,0,0,0.134434919217507,0,0,0,0.119363802639083,0.0427213641575185,0,0,-0.0523243483191998,-0.152031617094247,0,0,0,0,0,-0.116265975159895,0,0,0,0,0,0,0,0.156624003421826,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0152425400567376,0,0,0,0,0,0
X600031.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.258410960358905,0,0,-0.0234184420121121,0,0.346946242076535,0,0,0,0,0,0.0454513041119115,0,0,0,0,0,0,0,0,0.161570274987908,0,0,0,0,0,0,0,0,0,0.0596717779694379,0,0,0.0400523669881404,-0.105160723612104,0,0,0,0,0.110211839195872,-0.0619199891055313,0,0,0,0,0,0
X600809.SH,0.155763154929249,0.189315590658466,0,0,0,0,0,0,0.211542731651892,0,0,0,0,0,0,0,0,-0.0961561266552077,0,0,0,0,0.176495572695663,0,0,0,0,0,0,0,0.0632788352844284,-0.0728642912946656,0,0,0,0,0,0,-0.0630973974860253,0,0,0,0,0,0,-0.00957036769209919,0,0,0,0,0,0,0.0370224904274732,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,-0.0558465249852639,0,0,0,0,0,0,0,0,-0.0370637418798859,0.116923804843504,0,-0.100448503514244,0,-0.0240662933085349,0.453529995349855,0,0,0.0933758662153871,0,0,-0.0467903942094214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.432812402785646,0,0,0.0181826748569996,0,0,0,0,0,0
