,X600519.SH,X000858.SZ,X000651.SZ,X600276.SH,X002415.SZ,X600104.SH,X002475.SZ,X003816.SZ,X002304.SZ,X000725.SZ,X000063.SZ,X600031.SH,X000568.SZ,X600690.SH,X000338.SZ,X000661.SZ,X600741.SH,X600809.SH,X600703.SH,X000596.SZ,X002241.SZ,X002236.SZ,X000100.SZ,X300003.SZ,X601877.SH,X000625.SZ,X300124.SZ,X600183.SH,X000157.SZ,X300014.SZ,X002007.SZ,X000066.SZ,X300142.SZ,X002008.SZ,X002371.SZ,X600271.SH,X002456.SZ,X300136.SZ,X002179.SZ,X000977.SZ,X002463.SZ,X002180.SZ,X600584.SH,X600177.SH,X002129.SZ,X000050.SZ,X600487.SH,X600498.SH,X600066.SH,X002508.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0,-0.00849770441913922,0.2183937305266,0,0,0,0,0,0.274299967501578,0,0,0,0,0.0727814632221989,0,0.299303257219783,0,0,0,0,0,0,0,-0.0211835603001581,0,-0.0352078636002274,0,0,0.0755914859490101,0,0,-0.0155392488557773,0,0,0,0,-0.0580993433610372,0,0,0,0,-0.0976093684157194,0,0,0,0,0,-0.0631813165559369,-0.0171937958881947,0,0,0,-0.0180854838149647,0,0
X000858.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.443900814662979,0.0649764914967074,0,0,0,0.1013164019111,0,1.73472347597681e-18,0.0383502819296168,0,0,0,0,0,0,0,0,0.0135824328821419,0,0.0486581497298204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00557607999719174,0,0,0,0,-0.0038444104281766,0,0
X000651.SZ,0,0,0,0,0,0.206340384571779,0,0,0,0,0,0,0,0.283559590730965,0,0,0,0,-0.0301318640724007,0,0,0,0.0401005776698918,0,0,0,0,-0.115291849939534,0,0,0.000989000128870497,0,0,0,0,0,0,0.0576702487229975,0,0,-0.0842244279062328,0.159759220701204,0,0,0.0412657685417182,0,0,0,0,0,0,0,0.0222287608058452,0,0,0,-0.0131697849580338,0,0
X600276.SH,0.180223889008867,0,0,0,0,0,0,0,0,0,0,0,0,0.0451649313054558,0,0.288482441213796,0,0,0,0.160840790678762,0,0,0,0,0,0.182164917342079,0,0,0,0,0.114346167259843,0,0,0.00889187399320104,0,0.0743226281914091,-0.021562993982907,0,0,-0.101306028841952,0,0,0,0,0,0,0,0,0,0,0,0.0154573343157212,-0.0182581148503262,0,0,0,0.00476580860846752,0,0
X002415.SZ,0,0,0,0,0,0,0.155336046931444,-0.179715054258897,0,0,0,0,0,0.00670903943289287,0,0,0,0,0,-0.0399752957810615,0,0.274931192595599,0,0,0,0.0141230410859246,0.0895726124906627,0,0,0,0,0,0.00763628898356994,0.0517706691254857,0,0,0,0.163617203393269,0,0.0928501806447154,0,0,-0.135623706661644,0,0,0,0,0,0,0,0,0.0451355456785536,-0.00479000558338108,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0323386286025939,0,0,0,0,0,0,0.0203081978303318,0.0976272798813796,0.0271160398535335,0,0,0.226625316370826,-0.018450086311013,0,0,-0.0692457919586951,0,0.00926491642093217,0.000198142800221858,0,0,0,0,0,0,0,-0.0519893921111443,0,0,0,0.118607530763143,0,0.00534550262330653,0,0,0,0,0,0,0
X002475.SZ,0,0,-0.0104550541507102,0,0,0,0,0,0,0,0,0,0,0,0.100225315438176,0,0,0,-0.0259026598223149,0,0.406137224958202,0,0,0,0,-0.0338168003196081,0,0,0,0,0,0.173923622008324,0,0,0,0,0,0,0,-0.0731643893481617,0.109531783613548,0,0,0,0,0,0,0,0,-0.0428135482557725,0,-0.0101621254566334,0.0333906078458481,0,0,0,0,0,0
X003816.SZ,0,0,0,0,0,0,0,0,0,0,0.0454681921391628,0,0,0.168529359446548,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,-0.0976778443299508,0,0.00552576411531445,0,0,-0.0554027607315846,0.221167294180389,0.0757511898051841,0.128050298949886,0,0,0.110608865361167,0,0,0,0,0.0100028378567767,0,0,0,0,0,0,0.0257303132420084,0,0,0,0,0,0
X002304.SZ,0,0,0.0244371150241504,0,0,0,0,0.0776688149942528,0,0,0,0,0,0,0,0,0,0,0.0145617936081869,0.0949170627521568,-0.0151519391179918,0,0,0,0,0,0,0.0410939646041267,0,0,0.215816912837473,0.00671049454524009,-0.0598207800978896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0358194129172216,0.0227930467922781,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.223394444006099,0,0,0,0,0,0,0.0522418705163029,0,0.0379831268766403,0,0,0.0150517864057001,0,0.0467643251697338,0,0,0.0487417687503332,0.075339382740033,0.0283432537000802,0.0710765330925713,0,0.0131443098980296,0.00423844373740574,0,0,0,0,0,0,-0.0165052943750382,0,0,0,0,0,0
