,X600519.SH,X000858.SZ,X000568.SZ,X600809.SH,X002415.SZ,X002304.SZ,X600276.SH,X600690.SH,X002475.SZ,X000651.SZ,X300124.SZ,X300014.SZ,X600104.SH,X000725.SZ,X000596.SZ,X600031.SH,X000625.SZ,X003816.SZ,X002129.SZ,X002371.SZ,X000063.SZ,X002049.SZ,X000338.SZ,X600703.SH,X002179.SZ,X000661.SZ,X600089.SH,X002180.SZ,X000100.SZ,X601877.SH,X002241.SZ,X300142.SZ,X600702.SH,X000733.SZ,X600741.SH,X002074.SZ,X600522.SH,X000157.SZ,X600460.SH,X600584.SH,X000799.SZ,X600884.SH,X300003.SZ,X002294.SZ,X002007.SZ,X600779.SH,X300146.SZ,X600563.SH,X601799.SH,X002236.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0.160470166288453,0.00946430646398541,0,0.0442284921790796,0,0.0428826213530381,0,0,0,0,0,0,0.0775175751694681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0482791570818251,0,0.0685812419308007,0,0,0,0,0,0,0,0.0321684956829189,0,0,0,0,0.196812130374059,0,0,0,0,0,-0.00412587988373153,0.0237377358535776,0,0,0,0,0,0
X000858.SZ,0,0,0.518994109259692,0.0205078315959631,0,0.140660588825863,0,0,0,0,0,0,0,0,0,0.0268976642237692,0.0626599180395229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0877164473699177,0,0,0,-0.0149334096835714,0.00790900745700492,0,0,0,0,0,0
X000568.SZ,0,0.204749611312235,0,0.542983948418573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0832732572866992,0,0,0,0,0,0,0.0357779338556689,0,0,0,0.127870184668895,0,0,0,0,0.102936817168144,0,0,0,0,0,4.33680868994202e-19,0.0149020567377861,0,0,0,0,0,0
X600809.SH,0,0,0.640714094772556,0,0,0.0015033714222828,0,0,0,0,0.0350972040511884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0408176437217029,0,0.0628104768979878,0,-0.150155627971214,0,0,-0.0180529266771509,0,-0.0416656312735025,0,0,0,0,0,0,0,0,0,0,0,0,-0.000267357492200835,0,-0.0939590629697039,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0.112428757379685,0,0,0,0.0328879736380111,0.119690072330777,0,0,0,0.137589101700632,-0.0248782242046811,0,0,0,0,0,0,0,0,0.106239834615568,0.0624749615976673,0,0,0,0,-0.038626341943959,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,-0.00521566406118362,0,0.084977899019738,0,-0.00105532518699396,-0.0107295732182641,0,0,0,0,0,0
X002304.SZ,0,0.0534982381112834,0.34753738862747,0.158165101388047,0,0,0,0,0,0,0,0.0174209526997898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.025935437946082,0,0.00574855099586476,0,0,0,-0.0572907501950592,0,0,0,0,0,0,0,0,0,0.0875946835522037,0,0,0,-0.015581826951172,0.0159857135743223,0.00769980294343181,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.280298429771175,0,0,0,-0.18629836807632,0.0202997208087063,0,0,0,0.311704420482456,0,-0.105619736508748,0,0,0,0,0,0,0.139635882263858,0,0,0,0.00539301467979621,0,0,-0.0656376852739042,-0.0131171469769794,0.00104930700310104,0,0,0,0,0,0
X600690.SH,0.158476667801473,0,0.0401747654349697,0,0,0,0,0,0,0,0,0,0,0,0,0.259825192638525,0.0900211608869494,0,0,0,0,0,0,0,0,0,0,0,0.00458662952042772,0,0,0,-0.0119678264118492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00264369119755088,0.00531098512645405,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0.270239979571247,0,0,0,0,0,0,0,0,0.186158498398474,0,0,0,0,0,0,0,0,0,0.087166727581723,0.250119795441366,0.118487266277929,0,0,0,0,0.102043141288152,0,0,0,0,0,0,0,0,0,0,0.196613160950955,0,0,0.132771542487139,0.0221449179528283,-0.0397449522041066,0,0,0,0,0,0
X000651.SZ,0,0.018917041698259,0,0,0,0,-0.0268342353375182,0.0979990342208897,-0.0365002233542167,0,0,0,0,0,0,0.15426044890958,0,0,0,0,0,0,0,0,0,0.232337254970777,0,-0.0508319249719433,0,0,0,0,0.0162099398229246,0,0,0,0,0,0,0,0,-0.00619750309936096,0,-0.0525679489071386,0.0181540286317977,0,0,-0.0615701092939178,0,0,0,-0.00396186656631041,0.00999083465587471,0,0,0,0,0,0
