,X600519.SH,X000858.SZ,X600276.SH,X000651.SZ,X002415.SZ,X600104.SH,X002475.SZ,X003816.SZ,X002304.SZ,X000725.SZ,X000063.SZ,X000568.SZ,X600031.SH,X600690.SH,X000338.SZ,X600741.SH,X600809.SH,X000661.SZ,X600703.SH,X002241.SZ,X300003.SZ,X000596.SZ,X002236.SZ,X601877.SH,X000100.SZ,X600183.SH,X300142.SZ,X000157.SZ,X002007.SZ,X300124.SZ,X000066.SZ,X300014.SZ,X002179.SZ,X000625.SZ,X600271.SH,X000977.SZ,X300136.SZ,X002008.SZ,X002463.SZ,X002371.SZ,X002456.SZ,X600177.SH,X600584.SH,X600066.SH,X002180.SZ,X002506.SZ,X600867.SH,X600487.SH,X000050.SZ,X600498.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0,0,0.118082527835432,0,0,0,0,0.557179802217941,0,0,0,0,0,0,0,0,0,0.0569882157324478,0,0,-0.00463032334073816,0,0,0,0,0,0,-0.0159402346723741,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0.0205882689021382,0,0,0,0,0,0,-0.00792065376894281,0.0114991037931338,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0.0712234985191815,0,0,0,0.0195068040077464,0.553535157409543,0,0,0,0,0.0234642641929468,0,0.0131581965431869,1.0842021724855e-19,0.0265591644484213,0,0,0,0,0,0,0,0,0,0.00234177759673504,0,0,0,0,0.00932123546066128,0,0,0,0.0188318212103606,0.033190304804698,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,-0.0246826595613224,0,0
X600276.SH,0,0.0975304222080771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.259344406783275,0.0126744977873265,0.00809216423769952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0306176307047396,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0164697053862318,-0.0168780746888368,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0.0912612090428157,0,0,0,0,0,0.257755289891895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0277747381920619,0,0,-0.183350859508045,0,0,3.46944695195361e-18,0,-0.16047779116547,0,0,0,0,0,0.105820205806932,0,0,0,0,0,0,0.0131543039610086,-0.0313414882510443,0,0,0,0.0167041347112304,0,0
X002415.SZ,0,0.0140248282592059,0,0,0,0,0.00952875098880785,-0.00797641267840828,0,0,0,0,0,0.0177018532307751,0,0,0,0,0,0,0,0,0.585443014932738,0.123779225574389,0,0,0,0,0,0.0960826778721692,-0.00405813150274109,0,0,0,0,0.0412877750050667,0,0.0713444683550142,0,0,-0.108094991290373,0,0,0,0,0,0,0,0,0,0,0.0803249335518995,-0.0801436391937898,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.174445520682025,0.0551622885404416,0,0.0491444094219209,0,0,0,-0.0193271067648823,0.0168709472443387,0.0385749718104394,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0.0340527922689522,0,0,0,0,0,-0.0296887793043797,0,0,0,0,0,0,0.00221476367513263,0,0,0,0,-0.0272978111350749,0,0
X002475.SZ,0.0965782946788738,0,0,0,0,0,0,0,0.147687264535404,0,0,0,0,-0.0504960900929723,0.00803311895028986,0,0,0,0,0.0895009186354991,0,0,0,0,0,0,0,0,0,0,0.198906586112006,0,0,0,0,-0.078906763826038,0.0284316080588549,0.500761308324162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0745471484078517,0,0,0,0.0523491592338259,0,0
X003816.SZ,0,0,0,0,0,0,0,0,0.172766168370122,0,0,0,0,0.186260638006883,0.120485051373137,0,0,0,0.0662015767992406,0,0,0,0,0,0.194643023437327,-0.143451323162356,0,-0.104622803251317,0,0,-0.118816613465224,-0.125857573020638,0,0,0,0,0,0,0,0,0,0,0.0495362034556359,0,0,0,0,0,0,0,0,0,0.043857523533917,0,0,0,0,0,0
X002304.SZ,0.254660068694393,0.00438105616985998,1.73472347597681e-18,0,0.0212248489256529,0,0,0.143181788488725,0,0,0,0,0,0,0,0,0,0,0.00109433873641316,0,0,0.104312831259623,0,0.0775348148492747,0,0.0427586827600794,0,0,0,0,0,-0.00939030728391193,0,0,0,0,0,0,0,-0.0169460410353272,0,0,0,0,0,0,0.11463699814225,0,0,0,0,-0.000230535754851491,0.0278950152738893,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0.0363087519152832,0,0,0,0.0426044104234625,0,0,0,0.0142286710821031,0,0,0,0.0095108243057002,0.0593253050125138,0,0,0,0,0.137830978536532,0,0,0,0,0,0.0254095434587867,0,0,0,0.0380906772603352,0,0.0107382566806273,0.00392300702667143,0.00378203814063021,0,0,0,0.0647907424460388,0,0,0,0,0,0.133330760259357,0,0,0.0121407451968153,0.0357533630629293,0,0,0,0,0,0
