,X600519.SH,X600104.SH,X002415.SZ,X000725.SZ,X000651.SZ,X000858.SZ,X600276.SH,X002304.SZ,X000063.SZ,X000625.SZ,X600690.SH,X600031.SH,X600703.SH,X000100.SZ,X600271.SH,X000559.SZ,X600118.SH,X600066.SH,X000157.SZ,X600372.SH,X002236.SZ,X600089.SH,X000338.SZ,X600741.SH,X002241.SZ,X002475.SZ,X002292.SZ,X000568.SZ,X600839.SH,X300124.SZ,X600177.SH,X002465.SZ,X002294.SZ,X000977.SZ,X002074.SZ,X600867.SH,X000800.SZ,X000869.SZ,X600582.SH,X300003.SZ,X600498.SH,X002129.SZ,X600525.SH,X000581.SZ,X000550.SZ,X300146.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.0759246431219132,0,0,0,0,0.116522064951245,0,0,0,0,0,0,0,0,0,0,0.233135581108175,0,0,0,0.0627457977982019,0,0,0,0.0148026490086779,0.0307731870815222,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.156327693999957,0,0,0,0.0397069635760205,0,0,-0.0335315024063441,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0.19765816702228,0,0.154777060115088,-3.46944695195361e-18,0,0,0,0,0,-0.115260785820857,0.25747241466665,0,0,-0.06406617752836,0,0,0,0.12520565088941,0,0,0,0,0,0,0,0,0,0,0.0805929957820314,0,0,0,0,0,0,-0.0140108611522397,0.244812824603343,0,0,0,0,0.0229954995106176,-0.0998856677410677,0,0,0,0,0
X002415.SZ,0,0,0,0,0.25596342042575,0,0,0,0,0,0,0,0,0,0,0.0594615084381295,0,0,0,0,0,0,0,0,0.0934239198340143,0,0.0130010521271824,0,0.0101500339823395,0,0,0.0193896805584855,0,0,0.172485044999558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.180001318026076,0,0,0,0,0,0.0329517535501188,0,0.149106671909433,0,0.291432605577215,0,0,0,0,0,0,0,0,0,0,0.00445864253939001,0,0,0,0,0,-0.0241026964085067,0.151296281773031,0,0,0.0420884234014172,0,0,0,-0.0188849973972569,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0.078365002248429,0.0623814738339947,0,0,0,0,0,0,0.130632478169714,0,-3.46944695195361e-18,0,0.0107373652994147,0,0,0,-0.00770147624930996,0,0,0,0,0.0190167891856015,0.30092618891698,0.105771866816901,0,0,0,0,0.0852379297180556,0.0339497443045707,0,0,0,0,0,0,0,0,0,-1.38777878078145e-17,0,0,-0.0123939026129153,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0.0980896816267945,0.286658801164472,0,0,0,0,0,0,-0.143687228860251,0,0,0,0.0357746341790795,0,-0.056965373662405,0,0,0,0,0,0,0.387153573920311,0.0535260949564039,0,-1.73472347597681e-18,0,0,0,-0.0832704573254933,-0.0671377742558727,0,0,0,0,0,0,0.0488584477693754,0,0,0,0,-0.00993947957209044,-0.0689678872183027,0,0,0,0,0,0
X600276.SH,0,0,0,0,0.0323866957945929,0.0229084613532866,0,0,0,0,0,0.0323803941059077,0,0,0,0,0.0212093809134566,0,3.46944695195361e-18,0,0,0.182717270895033,0,0.354418793119988,-0.152306352236365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00617170551258723,0,0.19072896890358,0,0,0.00827997968878766,0,0.0272444622001716,0,0,0,0,0
X002304.SZ,0,0.312187881152592,0,0,0,0.141997270541023,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0.0997223645439304,0,0,0,0.145093573893568,0,0.128390812656196,0,0,0,0,0,0.0243995421854593,0,0,0,0,0,0,0,0,0,0,-0.136384912180015,0,0.0364412274531905,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,2.16840434497101e-19,0,0,0.00956266173125678,0.257756862169299,0.0324341815743892,0.0280929445967555,0,0,0,0.366315423624069,0,0,0.0223225007311356,0,0.061860623360239,0,0,0,0,0.0426819063661239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0107439710258272,0,0,0,0,0,0
X000625.SZ,0,0,0,0,0.0701160679370365,0,0,0,0,0,0.0299451795960384,0,0,0.145274289809575,0.0317239965046565,0.031953168447611,0,0,0.0447479102495242,0.0336372617208541,0,0,0.183103089018546,0.231853442185851,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0116796664561367,0,0,0,0,0,0,0,0,0,0.0158897585232528,0,0,0,0,0,0,0
