,X600519.SH,X000858.SZ,X002415.SZ,X000568.SZ,X600276.SH,X600809.SH,X002475.SZ,X600690.SH,X000651.SZ,X000063.SZ,X002304.SZ,X300124.SZ,X600104.SH,X000725.SZ,X002371.SZ,X003816.SZ,X600031.SH,X000625.SZ,X000596.SZ,X002129.SZ,X300014.SZ,X000338.SZ,X002179.SZ,X600089.SH,X600703.SH,X002049.SZ,X000100.SZ,X002236.SZ,X600372.SH,X000977.SZ,X002241.SZ,X600741.SH,X601877.SH,X000661.SZ,X000157.SZ,X600584.SH,X600522.SH,X002180.SZ,X002074.SZ,X000733.SZ,X000066.SZ,X600460.SH,X000988.SZ,X000800.SZ,X300142.SZ,X002463.SZ,X600702.SH,X300003.SZ,X002007.SZ,X601799.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.307537035057622,0,0.0512865249817494,0.0807759501512965,0,-0.01930025034363,0.0646554762220855,0,0,0,0,0,0,0.0260981088073244,0,0,0,0,0,0.0302246967950269,0,0,0,0,0.00682401796052715,0,-0.00808775637148912,0,-0.0215713226171659,-0.121757958984089,0,0,0,0,0,0,0,0,0.00840369636146487,0,0,0,0,0,0,0.0816295770064842,0,0,0,0,0,0,0,0,0,0,0,0
X000858.SZ,0.269089358120503,0,0,0.294000307732941,0,0.0258370825881179,0,0.00644391495228154,0,0,0,0,0,0,0,0,0.145411390776209,0,0,0,0,0,0,0,0,0,0,-0.0173952561566228,0,-0.0223441401434575,0,0,0,0,0,0,0,0,0,0,0.0656576864297943,0,-3.46944695195361e-18,0,0,0,0.0456742286034341,0,0,0,0.0258315799054787,-0.02016980179096,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1440459871539,0,0,-0.154750579208328,0,0,0.330423988095564,0,0,0,0.164433232913355,0,0,0.331476079345499,0,0,0,0,0,0,0,0,-0.111577032224379,0.172129028479743,0,0,0.116278309599093,0,-0.00332520402801239,0,0,-0.140200196371767,0,0,0,0.0108053165095584,0,0.00238630563080884,0,0,0,0,0,0,0
X000568.SZ,0,0.487406224002927,0,0,0,0,0,0,0,0,0.0704150998543197,0,0,0,0.0253135873267161,0,0,0,0.058401532821339,0,0,0,0,0,-0.0594166124607558,0,0,0,0,-0.034357632396513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.205371723732319,0,0,0,0,0,-0.0189278778886576,0,0,0,0,0,0
X600276.SH,0,0,0.03051452978886,0,0,0,0,0.136240580624484,0,0,0,0,0,0,0,0,0,0.204405466594698,0,0,0,0,0,0,-0.22889096385488,0.0854010767450927,0,0,0,0.00972966393781127,0,0,0,0,0,0,0.0721451410065964,0,0,0.0466305547867532,0,0,0.144224729692934,0,0,-0.218390438293176,-0.0825626535573624,0,0,0,0,0.00460432667911749,0,0,0,0,0,0,0
X600809.SH,0,0,0,0,0,0,0,0,0.027545819408507,0,0.179816288130744,0,0,0,0.0363072541769394,0,0,0,0,0,0,0,0,0,0,0,0,-0.00596540435723738,0,0,-0.0160791644200474,0,0,0,0,0,0,-0.0279253018622854,0,0,0,0,0.0121691938047531,0,0,0.0665773488016306,0,0,-0.294532975337585,0,0.194628787049558,0,0.0705031498163591,0,0,0,0,0,0
X002475.SZ,0,0,0.147582237511816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0652293455202935,0,0,0,0,0.036552972171835,0,0,0.0205955866111876,0,0,0.43202889537083,0,0,0,0,0.359336022625407,0,0,0,0,0,0,0.170337797275556,0,0,-0.00589520595231691,0.0332610909137714,0,0,0,0,0,0,0,0,0,0,0,0
X600690.SH,0,0,0,0,0.211731419463727,0,0,0,0.232867466358246,0,0,0,0,0.0440529342062,0,0,0.0741877074645523,0,0,0,0,0,0,0,0,0,0,0,0,0.057969001331019,0,0,0,0,0.0674996366194997,0,0,-0.0506121502026606,0.127963020963464,0.0701227084446038,0,0,0,0,0.0624558796262562,-0.0587610372030578,0,0,0,0,0,0.0430657109222742,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,0.254203013151193,0,0.109323007744166,0,0,0,0,0,0,0,0,0,-0.458921641286821,0,0,0,0,0,0,0.0758998651110296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.471618059107434,0,0,0,0,0.0123324757660927,0,0,0,0,0,0,0
X000063.SZ,0,0,-0.0273371945181921,0,0,0,0,0,0.123484157757378,0,0,0,0,0,0.00265200822385326,0,0,0,0,0,0.0617929612574416,0,0,0,0,0,-0.1217670989602,0.182445275909928,0,0.12010328459384,-1.73472347597681e-18,0,0,0,0,0,0.133986874886908,0,0,0,0.256554623377115,0,0.0906913525941246,-0.129496738901395,0,0,0.00797186749231855,0,0,0,0,0.0592372829135707,-0.120954593384337,0,-0.303586142323318,0,0,0,0
