,X600519.SH,X600104.SH,X002415.SZ,X000725.SZ,X000651.SZ,X000858.SZ,X002304.SZ,X600276.SH,X000063.SZ,X000625.SZ,X600690.SH,X600118.SH,X000100.SZ,X600703.SH,X600031.SH,X600372.SH,X600271.SH,X000157.SZ,X600839.SH,X000559.SZ,X000338.SZ,X002236.SZ,X002241.SZ,X600066.SH,X600089.SH,X600741.SH,X002475.SZ,X000016.SZ,X002129.SZ,X300124.SZ,X000547.SZ,X600435.SH,X002465.SZ,X600582.SH,X002506.SZ,X000568.SZ,X000800.SZ,X600177.SH,X300003.SZ,X000066.SZ,X002294.SZ,X000977.SZ,X600867.SH,X002456.SZ,X600252.SH,X600498.SH,X000869.SZ,X000623.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.244194890434786,0,0,0,0,0,0,0.101117943876224,0.0279338730638784,0,0,0,0,0,0,0,0,0,0,0,0,0.132147514614599,0,0.00813406807723648,0,0.0557241032593978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0128184172455066,0,0,0,0.00822852021740623,0,0,0,0,0,0
X600104.SH,0.125453295949422,0,0,0,0,0,0.285205140357246,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0.124290525738588,0,0,0,0.0953220903201742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0354123606470798,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0.161551765818819,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0135246227768683,0,0,0,0.186480888324807,0.0228480154057761,0,0,0,0.0763825182071815,0.0974055735489231,-0.0740968438717295,0,0,0,0,0,-0.0497303001574241,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0.139376777276134,0,0.181842817920925,0,0,0,0,0,0,0.208784346103175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0268154604789847,0,0,0,0,0,0,0,0,0,0.112175797933294,0,0,0,0.00737751333477939,-0.0142553324865478,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0.0145137018709821,0,0,0,0.0854018417890477,0.0130210295601685,0,0,0,0,0.0838850533634373,0,0.0259661652079391,0,0,0,0,0,0,0,0,0,0.00489891466249718,0,0,0,0,0,0.452665015103299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00901713323834261,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0.228390408531488,0,0,0,0,0,0,0,0.0771195297319599,0,0,0,0,-0.0759678173002411,0.171746764054553,0,0,0.00768017988646351,0,0,0,0,0,0,0,0,0,-0.0121315070817981,0,0.415263584063013,0,0,-0.0541129589678669,0,0,0,0,0,0,-0.0233542847180002,0.0387304896986511,0,0,0.0199424407042791,-0.0519872985807461,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0,0.173987297300158,0,0,0,0,0.0454248464523941,0,0,0,0,0,0,0,0,0.016115602520061,0,0,0.038162906682477,0,0,0,0,0,0,0.102126058231344,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0.0215012794980742,0,0,0.00463116979609287,0,0,0,0,0,0.00143358986555048,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0.0572387102926989,0,0.130539574214711,0,0,0,0.0286191798585305,0.0346831280113122,0,0,0,0,0,0.0529308300079056,0.178430440639452,0,0.0996233642954803,0,0,0,0,0,0,0,0,0,0,0,0.120047074345555,0,0,0,0,0,0,0,0,0,0.171051673352794,0,0,0.032959298370097,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0.164276926000123,0,0,0.0691709984462941,0,0.013404836695787,0,0,0,0,0,0.0601195407735064,0,0.220682144735292,0.0882737216390901,0,0,0,0,0,0.071446246931421,0,0,0,0,4.33680868994202e-19,0,0,0,0,0.00837936431100347,0,0,0,0,0,0,0,-0.00421406666352401,-0.00800978278056878,0,0,0,0,0,0
X000625.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.164551075115571,0,0,0,0,0.0048992667210699,0,0.0606472535142763,0,0,0,0,0,0.149671130203112,0,0,0,0,0,0,0,0,0,0.175868691896966,0.0811144215319845,0,0,0,0,0,0,0,0,0,0,0.0631229955417436,0,0,0,0,0,0,0,0,0
