,X600519.SH,X000858.SZ,X600809.SH,X000568.SZ,X002415.SZ,X002304.SZ,X600276.SH,X600690.SH,X002475.SZ,X000651.SZ,X300124.SZ,X600104.SH,X300014.SZ,X000596.SZ,X000725.SZ,X600031.SH,X003816.SZ,X002129.SZ,X000625.SZ,X002371.SZ,X000063.SZ,X002049.SZ,X000338.SZ,X600703.SH,X002179.SZ,X000661.SZ,X600089.SH,X002180.SZ,X601877.SH,X000100.SZ,X300142.SZ,X002241.SZ,X600702.SH,X000733.SZ,X600741.SH,X002074.SZ,X600522.SH,X000157.SZ,X600460.SH,X000799.SZ,X600584.SH,X300003.SZ,X600779.SH,X600884.SH,X002007.SZ,X300146.SZ,X002294.SZ,X600487.SH,X600563.SH,X601799.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0.29217778057304,0.0465492394793789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0326421370525001,0.107185770890561,-0.0567809455888986,0,0,0,0,0,0.0642501615874599,0,0,0.139195372128844,0,0.0437773143458216,0,0.0351659050268816,0,0,0,0,-0.0196791738435042,0.0295931321640448,0,0,0,0,0,0
X000858.SZ,0,0,0.174444324721235,0.251040341538958,0,0.194486299753888,0,0,0,0,0,0,0,0.0199683266614615,0,0.175095166421046,0,0,0.00959100832415048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0330928458484027,0,0,0,0,0,0,0,0,-0.0746989053771983,0,0,-0.0172196954032418,0.0051363253451505,0,0,0,0,0,0
X600809.SH,0.300680603862418,0,0,0.525552359243508,0,0,0,0,0,0,0,0,0.0185135842060373,0,0,0,0,0,-0.0337278228789109,0,0,-0.0354034844251037,0,0,0,0,0,0,0,0,0.0356686603152347,-0.0277517024547813,0.0529744306231972,-0.119105800163342,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0617570286166968,0,0,0,-0.00515065574411315,0.0114122916491369,-0.0101726433730691,0,0,0,0,0
X000568.SZ,0,0.522920506912551,0.345058120720303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0230275640357731,0,0,0.179656262481569,0,0,0,0,-0.0330160268278974,0,0,0,0,0,0,-0.002194580664425,0.0121501515559765,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.131469947763351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.165973237600719,0,0,0,0,-0.00743713239643892,0,0,-8.67361737988404e-19,0,0,0,0.0631861663579134,0.0626899672313678,0,0,-0.070309014455526,-0.0324135923429243,0,0,-0.00332550431248802,-0.000580680207227389,0,0,0,0,0,0
X002304.SZ,0,0.0796026190916165,0.158754123460174,0.336826836358543,0,0,0,0,0,0,0,0,0.0229076677440696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0276987828281986,0.000451433885353514,0,0,0,-0.0534052654065093,0,0,0,0,0,0,0,0,0.0790249801457861,0,0,0,0,0,0.0151862682445048,0.00784367270390013,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.240048039375528,0,0,-0.210097947783413,0,0,0.0274618185728523,0,0,0.368788582527402,0,-0.0959378106773265,0,0,0,0,0.0522258261644288,0,0,0,0,0.163134429392279,0,0,0,-0.0700923579872424,-0.0124226462815397,0,0,0,0,0,0,0
X600690.SH,0.211953521386371,0,0.014863897865517,0,0,0.0591821998052412,0,0,0,0,0,0,0,0.0209566862389147,0,0.0944199442681102,0,0,0.133447210566342,0,0,0,0,0,0,0,0,0,0,0.0163514714054119,0,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,-3.46944695195361e-18,0,-0.186274128964308,0,0,0,-0.00207987389495501,0.00554021917900377,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0.251871815857265,0,0.0680257121891011,0.058900889512684,0,0,0,0,0,0.170766054604527,0,0,0,0,0,0,0,0,0.299965030327829,0,8.67361737988404e-19,0.305032533073087,0,0,0.0656042229449875,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0.189500795486522,0,0.132462393691835,-0.0104156612164253,-0.0573461796315714,0,0,0,0,0,0
X000651.SZ,0,0,0,0.14252255648314,0,0,-0.0640127787103463,0.0322629444897591,-0.0273024514895254,0,0,0,0,0,0,0.0864691908197903,0,0.0209724022568035,0,-0.0107483781508702,0,0,0,0,0,0.172505703783558,0,-0.15967551874851,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0.0389846131859747,0,0,0,-0.0300928306754451,0,0,-0.0118549653049532,0.010860022435149,0,0.0565807583179021,0,0,0,0
X300124.SZ,0,0,0,0,0,0,0,0,0.218989805056254,-0.06314287744667,0,0,0.140049555829794,0,0,0,0,-0.00601556135558872,0,-0.107743900319858,0,0,0,0,0,0,0,0,0,0,-0.0297121252338509,0,0,0,0,0,0.0596827643389302,0,-0.0237276389477447,0,0,-0.00872853369523662,0,0,0.0845463371983038,0.124356448961355,0,8.09688538890869e-05,0,0,0,0,0,0,0,0,0,0,0
