,X600519.SH,X600104.SH,X002415.SZ,X000858.SZ,X002304.SZ,X600276.SH,X000725.SZ,X000625.SZ,X600690.SH,X000063.SZ,X600741.SH,X600066.SH,X600703.SH,X002241.SZ,X002236.SZ,X000568.SZ,X000100.SZ,X600271.SH,X600031.SH,X600118.SH,X002456.SZ,X600177.SH,X002292.SZ,X002475.SZ,X600372.SH,X000338.SZ,X002007.SZ,X000559.SZ,X002180.SZ,X300003.SZ,X000157.SZ,X002074.SZ,X600522.SH,X002506.SZ,X600867.SH,X300124.SZ,X002294.SZ,X002085.SZ,X002426.SZ,X600089.SH,X000981.SZ,X000869.SZ,X601877.SH,X002508.SZ,X600498.SH,X002465.SZ,X002249.SZ,X000050.SZ,X002179.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.4630253433341,0,0,0,0,0,0,0.0973845376264159,0,0,0,0,0,0.0930303495964432,0,0,0,0,0,0,0,0,0,0,0,0.0356913517069613,0,-3.46944695195361e-18,0,0,0.0959031424649376,0,0,0,0,0,0.143174742216904,-0.096131956243181,0,0,0,0,-0.140946032671899,0,0,-0.00806288985772301,0,0,0,0,0,0,0,0,0,0,0
X600104.SH,0.113768886746372,0,0.218402541462447,0,0,0,0,0.334777621715131,0.0530672828677492,0,0.0622311194921637,0,0,0,0,0,0,0,0,0,-0.128107529419606,0,0,0,0,0,0,0,0.040338777900327,0,0,0,0,-0.00508922618093379,0,0,0,-0.0254356178835663,0,0,0.0945125688735393,0,0,0,0,0,0,0,0,0,0.0507956910321531,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0.0194703754578,0,0,0,0,0.0964745220730597,0,0,0,0,0,0,0,0,0,0,0.0529124698783612,0,0,0,0.11510781228277,0,0,0.0999555142840629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114263413592047,0,0.0970393741909447,0.115888795961463,0,0,0,0,0,0.0260253600056894,0,0,0,0,0,0,0
X000858.SZ,0.130266315322372,0,0,0,0.175987954161394,0.190692248353526,0,0,0.145340990593354,0,0.042073360034155,0.0321297732060811,0,-0.0204254410603422,0,0.382821998401077,0,0,0,0,-0.00284369872997448,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0.03662051174559,0,0,0,0,0,0,0,0,0,0,0,0,0
X002304.SZ,0,0,0,0.745009888260445,0,0,0,0,0,0,0,0,0,0.0229234693146583,0,0,0,0,0,0,0,0,0,0,0.0540279914173789,0,0,0,0.0129106977709862,0,0,0,0,0.0302255728887209,0,0,0,0,0,0,0,0,0.0142344934412658,0,0,0,0,0,0,0,0.00609757310686661,0,0,0,0,0,0,0
X600276.SH,0.0896850658197807,0,0,0.109501280679856,0,0,0,0,0.0161351746101513,0.0235233110869793,0.0455980902027194,0,0,0,0.0204174799238274,0,0,0,0,0,0,0,0,-0.00421520826295334,0,0,0,0,0,0,0,0.0729146236008995,0,0,0,0,0,0,0.00838145737657238,0,-0.0526337373118696,0,0,0,0,0,0,0,0,0,0,-0.00711975821578794,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0.020871056982483,0,0,0,0.00860042491528481,0,0,0,0,0,0,0.02140941408462,0.0222174210040299,0,0,0,0,0,0,0,0,0.141596955627912,0,0,0,0,0,0,0,-0.0102318584351695,0,0,0,0,0,0,0,0,0,0,0,0,0,0.183925994074845,0.0613807640047936,0,-0.0463189101202488,0.050211590333819,0,0,0,0,0,0
X000625.SZ,0,0.132748543551893,0,0,0,0,0,0,0,0,0.101280496897979,0.0292041650794746,0,0.028156616077494,0.0805983447684698,0,0,0.0286547953742024,0,0,0,0,0,-0.0771666971862811,0,0,0,-0.00626080722450938,3.46944695195361e-18,0,0,0,0.0745475112108237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0200949151674228,0,-0.00960262615057293,0,0,0,0,0,0,0
X600690.SH,0,0,0,0.142727932801254,0,0,0,0,0,0,0.0166765871891711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.154106728148223,0.0100080171611261,0.0103300599821804,0.0271992836074462,0,0,0.0764440605952073,0,0,0,0,0,0,0,0.0433354012093154,0,0,0,0,0,0,0.016081327647024,0,0,0,0.0767431113590749,0,0,0,0,0,0
X000063.SZ,0,0,0,0.0876357113185746,0,0,0,0,0.00869827771363944,0,0,0,0,0.085397015451108,0,0,0,0,0,0,0.14343938382691,0,0,0,0,0,0,0,0.0648722157357521,0,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0.0208985562129972,0.0396312007257794,0,0.197455623016682,0,0,0.033960839788503,0,0,-0.0073662639368807,0,0,0,0,0,0,0
