,X600519.SH,X600104.SH,X002415.SZ,X000725.SZ,X000651.SZ,X000858.SZ,X600276.SH,X002304.SZ,X000063.SZ,X000625.SZ,X600690.SH,X600031.SH,X600703.SH,X000100.SZ,X600271.SH,X000559.SZ,X600066.SH,X000157.SZ,X600118.SH,X002236.SZ,X600089.SH,X000338.SZ,X600741.SH,X600372.SH,X002241.SZ,X002475.SZ,X002292.SZ,X000568.SZ,X600839.SH,X600177.SH,X300124.SZ,X002294.SZ,X002465.SZ,X000977.SZ,X600312.SH,X002074.SZ,X300003.SZ,X600867.SH,X000800.SZ,X000869.SZ,X600582.SH,X600525.SH,X600498.SH,X002129.SZ,X000581.SZ,X000550.SZ,X000623.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.0803439724851348,0,0,0,0,0.0721918614038158,0,0,0,0,0,0,0,0,0,0.228768884762696,0,0,0,0.0473118328377522,0,0,0,0,0.0182624296870251,0.0208594465665156,0.0358703723984679,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.180060215031655,0,0,0,0.046654684542657,0,0,-0.0509235460125353,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0.146255478012702,0,0.043163791357302,3.46944695195361e-18,0,0,0,0,0,0.321930019935876,0,0,0,0,0,0,0,0.215245918024227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00208071077665172,0,0,0.0894602548199256,0,0,-0.0768646049627608,0,0.0591616907301612,-0.0394026993055861,0,0,0,0,0
X002415.SZ,0,0,0,0,0.256160461042816,0,0,0,0,0,0,0,0,0,0,0.059284330775609,0,0,0,0,0,0,0,0,0.0935051836134187,0,0.0129617210650302,-6.93889390390723e-18,0.0101336230437862,0,0,0,0.0193203826666164,0,0,0.172611831574132,0,0,0,0,0,0,0,0,0,0,0,0,1.0842021724855e-19,-1.0842021724855e-19,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.205945912703584,0,0,0,0,0,0,0.0987854083359277,0,0.322132455970988,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0221049649037501,-0.0177168025842088,0,0,0,0,0,0.132648118381264,0,0.0491027070701605,0,0,0,-0.0136627094082546,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0.0820362134131124,0,0,0,0,0,0,0.120764789967565,0,3.46944695195361e-18,0.0754178239890403,0,0,0,-0.0537090547453198,0,0,0,0,0,0.0222434753993708,0.355127233855803,0.112757939331686,0,0,0,0,0.00383491647126216,0,0.0187313969874686,0,0,0,0,0,0,0.0955879185709196,0,0,0.0178352723297928,0,0,-0.0195753285134949,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0.150235653043061,0.277728526033936,0,0,0,0,0,0,-0.11476576432565,0,0,0,0,-0.0935075400181092,0,0.0106759849027377,0,0,0,0,1.73472347597681e-18,0.390521783266069,0.0531685481002517,0,0,0,0,0,0,-0.0697487932382237,0,-0.0853415022601706,0,0,0,0.0751177598842633,0,0,0,0,0,0,0,-0.0779906866485178,0,0,0,0,0,0
X600276.SH,0,0,0,0,0.0238323714486338,0.0243610507634086,0,0,0,0,0,0.0362940961835164,0,0,0,0,-6.93889390390723e-18,0,0.017255766623305,0,0.183572675413131,0,0.361705183252075,0,-0.156959099140503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.192883040106344,0,0,0.00888307653744176,0,0.0305954131707538,0,0,0,0,0
X002304.SZ,0,0.268645608653945,0,0,0,0.133770287867717,0,0,0,0,0.0388298495991965,0,0,0,0,0,0,0,0,0,0,0,0.141224163055876,0,0,0,0,0.128213529393376,0,0,0.0939580306999549,0,0,-0.0351141178535771,0,0.0199393050158315,0,0.0614384516578654,0,0,0,0,0,0,0,0,0,-0.120702399972129,0,0.0349847465645843,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.252307162700516,0.0182280906837368,0,0.0427008392634711,0,0.391378115634244,0,0,0,0,0,0.08187200580348,0,0,0,0,0,0.0432689144908666,0,0,0,0,0,0,0,0,0,0,0,0.0210137127821194,0,0,-0.00921279706882816,0.00767278288732586,-0.017317054666091,0,0,0,0,0,0
X000625.SZ,0,0,0,0,0,0,0,0,0,0,0.0335112677204479,0,0,0.201432151150036,0,0,0,0.0597104626693543,0,0,0,0.0309887134055319,0.129455743867042,0.0730904008435081,0,0,0,0.172030152726529,0,0,0,0,0,0,0,0,0,0,0,0.0174651756842271,0,0,0,0,0,0,0.0639530711153194,0,0.00633287728794721,0,0,0,0,0,0,0
