,X600519.SH,X600104.SH,X000651.SZ,X002415.SZ,X000858.SZ,X600276.SH,X002304.SZ,X000725.SZ,X000625.SZ,X000063.SZ,X600690.SH,X600741.SH,X600703.SH,X600031.SH,X000568.SZ,X600066.SH,X002475.SZ,X000338.SZ,X002241.SZ,X002456.SZ,X002236.SZ,X600271.SH,X600118.SH,X600177.SH,X002085.SZ,X000157.SZ,X002292.SZ,X002426.SZ,X300003.SZ,X002007.SZ,X600372.SH,X300124.SZ,X000559.SZ,X600867.SH,X600089.SH,X601877.SH,X002294.SZ,X002506.SZ,X002180.SZ,X600522.SH,X000623.SZ,X002074.SZ,X002508.SZ,X000981.SZ,X600498.SH,X300136.SZ,X000869.SZ,X000050.SZ,X000536.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0.242154166046252,0,0,0.0454177497484519,0,0,0.169589398232671,0,0,2.16840434497101e-19,0.052723377016987,0,0,0,0.0242638522670599,0.0315256337026276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00435319843904417,0.0482936459994434,0,0,0,0,0,0.035189029902046,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0.0565712225395511,0,0,0,0,0,0,0,0,0.0644849395332362,0.13276555462619,0.0550253956228893,0,0,0,-0.0416871204235738,0,0,0,0,0,0,0,0,0.0393725246364691,0,0,0,0,0.0402183437262511,0,0,0,0,0,0.0259667913114424,-0.183489207330716,0.274354212225469,0,0,0,0.0316074153042808,-0.0244760559253339,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0.0243791142917987,0,0.257296892577198,0.42469701833784,0,0,0,0,0,0,0,0,-0.0914616917104181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0313691547173616,0,0.205091601522679,0,0,0.121619343495105,0.0148762015947536,0,0,0,0,0,0.0359713215442266,0.185425387567617,0,0,0,-0.209747420629457,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.180843219205238,0.0401344179540087,0,0,0,0,0.068758233875872,0,0,0,0,0,0.0190690075280241,0,0,0.0707817002108111,0,0,0,0,0,0,0,-0.0509008341508716,-0.165442405515183,0,0,0,0.0270925372274923,0,0.0886517864188382,0,0,0.00254984612973301,0,0,0,0.0850009912530058,0,-2.16840434497101e-19,0,0,0,0,0,0
X000858.SZ,0.232005565134988,0,0.0487012667788005,0.0455586209142303,0,0,0.121991309085939,0,0.0540216193746808,0.0105009971607432,0,0,0,0,0.311525646920911,0,0,0,0,0,0,0,0.0289750381501974,0,0,0,0,0,0,0.165544681250904,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,-0.0190860912564065,0,0,0,0,0.0659557488548148,0,0.0388787599662684,0.0030698727860966,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0554645871917884,0,0,0,-0.0690769406857263,0.0619540431284352,0,0,0,0,-0.00587100460650939,0,0,0,0,0,0,0.0917876033220261,0,0,0.0433492263611405,0.0582993527791567,0,0,0,0,0,0.138953598330924,0,0.162494680969195,0,0,0,0,0,0,0,-0.0140883213704612,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0.315110867774842,0,0,0,0,0,0,0.112029568147355,0,0,0,0,0,0.026759781764804,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0.027003200271176,0,0,-0.00748383925505441,0,0,0,0,0.0410949976528139,0,0,0.0183164960869433,0,0.0574245072855538,0,0,0.107456382572796,0,-0.0154080191632178,0,0,0,0,0,0,0
X000725.SZ,0,0,0.091810446161384,0,0,0,0,0,0,0,0,0,-0.0386431208681814,0.0645533648652752,0,0,0,0,0.147335948058987,-0.0141204237070001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0766494461615582,0.0935049446260619,0.110571527875256,0,0.303219573514698,0,0.0151734644783125,0,0,0,0.159377869528242,0,-0.0318449869750089,0,0,0,0,0,0
X000625.SZ,0,0,0.0644942543282827,0,0.187436103177711,0,0,0,0,0,0,0.189533314028921,0,3.46944695195361e-18,0,0,0,0,0,-0.0308763484715386,0,0,0,0,0,0.0939122234334904,0,0,0,0.119685363906838,0,0,0,0,0,0.0886881047032284,-0.0749021428384373,0,0,0,0.0275672151139769,0.0507097602530741,0.0107786441162463,0,0,0,0,0,0,0,0.0510956975704801,0,0.0220779466071826,0,0,0,0,0
X000063.SZ,0,0.0523209143207091,0.0519706940207136,0,0,0,0,0,0,0,0,0,0,0.0518084243074896,0,0,0,0.206734925565151,0.00415185523500782,0.000424424166828202,0,0,0,0,0,0,0,0.028663822950253,0,0,0,0,0,0.289509833445244,0,0,0,0,0,0,0.257103863818545,0,0,-0.0264518602772091,0,0,0,0,0,0,0,0.00173781695879248,0,0,0,-0.273440867228347,0,0
