,X600519.SH,X000858.SZ,X002415.SZ,X000568.SZ,X600276.SH,X600809.SH,X002304.SZ,X600690.SH,X002475.SZ,X000651.SZ,X003816.SZ,X600104.SH,X300124.SZ,X002371.SZ,X000063.SZ,X000596.SZ,X000725.SZ,X300014.SZ,X600031.SH,X002129.SZ,X000625.SZ,X000338.SZ,X600703.SH,X002179.SZ,X600089.SH,X002049.SZ,X002236.SZ,X000661.SZ,X600372.SH,X000100.SZ,X002241.SZ,X601877.SH,X002180.SZ,X000977.SZ,X600702.SH,X600741.SH,X000157.SZ,X600522.SH,X600584.SH,X002074.SZ,X000733.SZ,X300142.SZ,X600460.SH,X300003.SZ,X002007.SZ,X000800.SZ,X300146.SZ,X002294.SZ,X600487.SH,X002028.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.235403611196555,0,0,0,0.152008308126202,0,0,0,0,0,0,0,0.0716785734616941,-0.0358475883689085,0,0,0.0698664015630201,0,0,0.0234557383064523,0,0,0,0,0,0,0,0,0,-0.0133137144836831,0,0,0,0.0516682159654307,0,0,0,0,0,0,0,0,0,0,0,0.069019331015435,0.0811802907343326,0,0,-0.0398761321234419,-0.0701637004740877,0.0265172994052068,0,0,0,0,0,0
X000858.SZ,0,0,0,0.106103159033663,0,0.0559404470299037,0,0,0,0,0,0,0,0,0,0.0992717667234131,0,0,0.0882476352658808,0,0,0,0,0,0,0.0142570700344266,-1.73472347597681e-18,0,0,0,0,0,0,-0.0307612088620898,0,0,0,0,-0.00347204604611354,0,0,0,0,0,0,0,0,0,0,0,0,-0.0335949583378794,-0.00235106786883573,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0.0221429610515094,0,0,-0.156478256585957,0,0,0,0,0,-0.114859141319409,0.0745206238878339,0,0,0.218947046901413,0,0,0,0,0,0,0,0,0.0966491449707685,0,0,0,0.252130064101363,0,0.0405889153981873,0,0,0,0,0,0.0866740579171722,0,0,0,0,0,0.0786321012710795,0.199514308337623,0,0,0,0.0690891103209108,0,0,-0.0650244619164641,0,0,0,0,0,0
X000568.SZ,0,0.559049803414657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0158931376356305,0,0,0,0,0,0,-0.0133905902954889,0.228579785093779,0,0.0935906689632823,-0.039528405454154,0,0,0,0,0,0,0,0,0,0,-0.00272068355434637,0,0,0,-0.0412174674732041,0,0,0,0,0,0
X600276.SH,0,0,0.134227223649192,0,0,0,0,0.0453781012420891,-0.020943545715758,0,0,0,0,0.0390855911032865,0,-0.0248938084714433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.201894565068797,0.286817969512147,0,0,0,0,0.199665538882069,0,0.0180396333867636,-0.00491081976354849,0,0,0,0,0,0
X600809.SH,0,0,0,0,0,0,0,-0.0221675569368127,0,0.122116763238361,-0.182036285202319,0,0,0.028703083183362,0,0,0,0,0,-0.131706463585629,-0.0935830844365299,0,0,0,0,0,0.0583298728575833,0.0957636735695556,0,0,0,0,0,-0.0942850270794744,0,0,0,0,0.0207258133253258,0,0,0,0,0,0,0,0,0,0,0,0.0697134091621566,-0.0901511265581844,0.02952617156838,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0,0.235912047622299,0,0.10620982593249,0,0,0,0,0,0,-0.0267648163851388,0,0,-0.00601419123701861,0,0,-0.0210502793769774,0,0,0,0,0,-0.0559937198886953,0,0,0,0,-0.0157323006935459,0,0,0.207709026533568,0,0,0,0.0173232753515618,0,0,0,0,0,0,0,0,-0.0179235439987564,0,0,0,-0.0129690703429635,0.0219638989664772,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0151233960191129,0,0,-0.558949622724915,0,0,0.198373375719477,0.126562118713303,0,0,0,0,0,0,-0.116729307879991,0,0.02332401405936,0,0.0523310996819782,0,0,0,0,0,0,0,0,0,0,0,0,0.00013205957062673,0,0,0,0,0,0,0,0.0222954182438461,0.00217892149369577,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0335509158494728,0,0,0,0,0,0.217032656009478,0,0,0,0,0,0,0,0,0,0,0.110807514872655,0,0,0.106589189908399,0,0,0,0,0.0946466697477967,0,0,0,0.0496733159547203,0,0,0,-0.167938786473895,0,0,0,0,0,0.0394636630629615,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0.134939216234421,0,0,0.136061410215749,0,0,0.121734419369067,-0.137030822523903,0,0,0,0,0.219200074927585,-0.571427896421793,0,0,0,0.01023108508313,0,0,0.106627560200385,0,0,-0.123556401786129,0,0.0229552343238478,0.0785299961017016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.034337674789581,0,0,0,0,0,0
