,X600519.SH,X000858.SZ,X002415.SZ,X600276.SH,X600809.SH,X000568.SZ,X002475.SZ,X600690.SH,X000651.SZ,X000625.SZ,X002304.SZ,X300124.SZ,X600104.SH,X003816.SZ,X000725.SZ,X000063.SZ,X000596.SZ,X002371.SZ,X000338.SZ,X600031.SH,X002179.SZ,X300014.SZ,X000100.SZ,X600703.SH,X600089.SH,X002241.SZ,X002236.SZ,X600372.SH,X002129.SZ,X000661.SZ,X002049.SZ,X000157.SZ,X600584.SH,X600741.SH,X000977.SZ,X601877.SH,X600522.SH,X600183.SH,X000800.SZ,X002463.SZ,X002007.SZ,X601799.SH,X002028.SZ,X600460.SH,X600418.SH,X300142.SZ,X002074.SZ,X002180.SZ,X002294.SZ,X000066.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0.210388090222114,0.281766863244821,0,0,0,0.00239645302227121,0,0,0,0,0,0,0,0,0.00887252444465344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0120753859177489,0,0,0,0,0,0,0,0.0186541436923529,0.16002762759316,0,-8.67361737988404e-19,0,0.0416106096823932,0,0,0,0,-0.0052877362723031,0,0,0,0,0,0,0
X000858.SZ,0.139509003872545,0,0,0,0.112654542698157,0.286653851159719,0,0.113357386171683,0,-0.0342934413198665,0.0225634140345113,0,-0.0223834801223515,0,0,0,0,0,0,0,0,0.029407717008584,0.0496457502838087,0,0,0,0,0,0.102191557508908,0,0,0,0,0,0.00158340014877722,0,0,0,0,0,0,0,0,0,0,0.032810693372638,0,0,0,0,0,-0.00234369881671724,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0783319702307202,0.0073943422869599,0,0,0,0.221255835501748,0,0,0,0,-0.0279230250785774,0,0,0,0.118106517955541,0,0,0,0,0,0,-0.0523662594380064,0.136183783306382,0,0.0288687460128997,0,0,0,-0.0338181881217555,0,0.0394081135774874,0.0137947826519632,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0.0435992663884269,0,0,0.0461458678000415,0,0,0,0,0,0,0,0,0.124408190109878,0,0,0,0,0,0,0,0.0219384850027187,0,0,0.0523538975059985,0,0,0,0,-0.0361450075459032,0,0,0,0,0.0173658959472867,0.0191403277119543,0,0,0,0,0,0,0,0.254336594039595,-0.0209025352014807,0,0.0148208058940011,-0.0122334816940051,0,0,0,0,0,0
X600809.SH,0.183319887930612,0,0,0,0,0.297664939453721,0,0,0,0,0,0,0,0,0,0,0.216524560502571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.118181631009512,0,-0.0413628514608508,0.0642555635873881,0,0,0,0,0,0,0,0,0,0,0,0,-0.00806910388358099,0,0,0,0,0,0
X000568.SZ,0.0216780419293548,0.541714115091643,0,0,0.436869529375719,0,0,0,0,0,0,0.0111603090976537,0,0,0,0,0,-0.0221520350846843,0.0320088200870791,0,-0.0652090631599735,0,0,-0.0616173700738417,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0839693254411052,0,0,0,-0.0388560694471772,0,0,4.33680868994202e-19,0.0380532681098809,0,0,-0.0101632922302932,0,0,0.00306936219340427,0,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120670189066343,0,0,0,0.248251856793426,0.0586578814693337,0,0,0,0,0,0,0,-0.159770462388398,0,0,0,0,0.00756429043743992,0,0.111438594722707,0,0,0.135075567860298,0,0,0,0,0,0,-0.0344708165460806,0.0641152113626453,3.46944695195361e-18,0,0,0,0,0
X600690.SH,0.0830164428921483,0.00284726761968948,0,0,0,0.182490566518441,0,0,0.187246045106388,0,0,0,-0.0274898011156873,0,0,0,0,0,0.0492791236893585,0,0,0.0940781731786507,0,0,0,0,0,0,0,0.0430404875275152,0,0,0,0,0,0,0,0,0,-0.0189279505628904,0,0,0,0,0,0,0,0,0,0,0.0796795317314937,0.0128666259168475,0.00391736115253078,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0.0623017466738092,0,0,0,0,0,0,0,0,0,0,0.0552400093159593,0,0,0,0,0,0,0,0,0,0,0,-0.250212356557234,0,0,0,0,0,0.151456067224209,0,0.00417951200989859,0,0,0.215334220883172,0,0,0,0.0994223144854422,0,0,0,-0.0258822284415995,0,0.0228484348742293,-0.0814693977639262,0,0,0,0,0,0
X000625.SZ,0.0370091596542297,0,-0.028047126076654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.437249940738417,0,0,0.0571803447164762,0,0,0,0,0,0,0.148779003158808,0,0,0,0,0,0,0,0,0,0,0.0755818258077205,0,0,0,-0.155829048790227,0.31600728436134,0,-6.93889390390723e-18,0,0,0,0,0.00747567656093646,0,0,0,0,0,0,0
X002304.SZ,0.0227086811882582,0,0.0678058462975833,0,0,0.256424276989799,0,0,0,0,0,0,0,0,0,0.0908619728239159,0,0,0,0,0.0578730214716105,0.124038078903565,0,0,0,0,0,0,0.0142535414027084,0,0,0,0,0,0.0544222648579159,0,0,0,0.0389034890548752,0,0,0,0,0,0.00943346538666001,0,0,0,0,0,0,0.00890286974070079,-0.0601082482904195,0,0,0,-0.0634469912227386,0,0
X300124.SZ,0,0,0,0,0,0.0451801896966484,0.0441186950175964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.237054094847664,0,0,0,0,0.0980630710473027,0,0,-0.192320642662674,0,0,0.100639330045567,0,0,0,0,0,-1.73472347597681e-18,0,0,0.0214935759015123,0,0,0,0.477906184584795,-0.0392322395894085,0,0,0,0,0.0105979094589314,0,0,0,0,0,0,0
