,X600519.SH,X000858.SZ,X600276.SH,X002415.SZ,X002475.SZ,X000651.SZ,X002304.SZ,X000568.SZ,X600104.SH,X600809.SH,X600031.SH,X600690.SH,X000725.SZ,X000661.SZ,X300124.SZ,X000063.SZ,X003816.SZ,X300014.SZ,X000596.SZ,X002241.SZ,X000625.SZ,X000338.SZ,X600703.SH,X000100.SZ,X600741.SH,X002371.SZ,X002129.SZ,X002007.SZ,X601877.SH,X002179.SZ,X002049.SZ,X000157.SZ,X600584.SH,X002414.SZ,X300142.SZ,X600183.SH,X000800.SZ,X002236.SZ,X601799.SH,X300003.SZ,X000066.SZ,X002074.SZ,X002008.SZ,X000799.SZ,X300146.SZ,X000547.SZ,X002508.SZ,X002185.SZ,X002456.SZ,X600066.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.550387608208151,0,-0.248271943237553,0,0,0,0,0,0,0,0.0142350919352448,0,0,0,0,0,0,0.0855264570852466,0,0,0,-0.000151060314370479,0,0,0,0,0,0,0,0,0,0,0,-0.0522278937984251,0,0.00340993030782199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00902739283001988,0.0229833501832035,0,0,0,-0.00220087334229162,0,0
X000858.SZ,0.144105056745519,0,0,0,0,0,0.0844694709443244,0.316792747201223,0,0.0364269604725374,0,0,0,0,0.0225900438022379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0.0632377463637221,0,0,0,0,0,0,0,0.0383539124403922,0,0,0,0,0,0,0,-0.00031808846290512,-0.00877237478659301,0,0,0,0.00311237136070192,0,0
X600276.SH,0,0,0,0,0,0,0.0192587177739146,0,0,0,0,0,0,0.0732954304796159,0,0,0,0,0.0613052407766957,-8.67361737988404e-19,0,0,0,0,0,0,0.0104812202058491,0,0.0494985268321653,0,0.0127238179853863,0,0,0,0.0270647305246212,0.0190715732921398,0,0,0,0,0,0.122845463300649,0.00506218950301423,0,0,0,0,0,0,0,0,0.0084589823710507,0.00102347371898706,0,0,0,0.00253326185725452,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0.0430337124249399,0,0,0,0,0,0,0,0,0,0,0,0,0.0864100461700689,0,0.106747620547891,0,0,0,0,-0.132284159206432,-0.00700634689712709,0,0,0,0,0.171973709013524,0,0,0,0,0,0.0375410426696761,0,0,0,0,0,0,0,0.00921116783816624,-0.0243782020627052,0,0,0,-0.0104458696142038,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0786693011613506,0.419850166010433,-0.0804755432096396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.330993386566519,0,0,0.00326972990352808,0,0,0,0,-0.00369780183806878,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0.0304242676436493,0,0,0.060352103027953,0,0,0,0,0,0,0,-0.0979725012399975,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0.254403521681493,0.00431537880528735,0,0.0623032405332585,0,0,0,0,0,0,0.141577996009776,0.0278753372190561,0,0,0,0,0,0,0,0,-0.0039409790876838,0,0,0,0,-0.0217149766842817,0,0
X002304.SZ,0,0,0,0,0,0,0,0,0,0.273009548716133,0,0,0,0,0,0,0,0,0,0,-0.040627980348926,0,0,0,0,0,0,0,0,0.0886450245867243,0.00431933562645798,0,0,0.110145260688446,0,0,0,0,0,0.232747447490368,0,0,0,0.209135850427869,0,0,0,0,0,0,0,0.0107993592289496,0,0,0,0,-0.00389387540712548,0,0
X000568.SZ,0,0.262977666921151,0,0,0.0280868714219366,0,0.0342510503112855,0,0,0.382768216648082,0.0632371868651231,0,0,0,0,0,0,0,-1.73472347597681e-18,0.0130111663835424,0,0,0,0,0,0,0.100724303312082,0,0,0,0.00347535007891995,0,0,0,0,0,0,0,0,0,-0.108358655747339,0,0,0,0,0,0,0,0,0,0,0.0158549292348759,0,0,0,0,0.00378986734109195,0,0
X600104.SH,0,0,0,0,0.0983471760366902,0,0,0,0,0,0,0,0,0,0.0355254317819957,0,0,0,0,0,0.162150667363322,0.0476426869977634,0,0,0.118757428064066,0.0282077643666824,0,0,0,0,0.0725219987320306,0,0,0,0,0,0.00439673702947726,0,0,0,0,0,0.0667220500577431,0,0,0,0,0.0307228072407996,0,0.077629289604871,0,0.00292949074384365,0,0,0,0,-0.0309393050849602,0,0
X600809.SH,0,0,0,0,0,0,0.272435066137489,0,0,0,0,0.151329667284061,0,0,0,0,0,0,0,0,-0.192439700598194,0,0,0,0,0,0,0,0,0,0,0,0,-0.191234476212982,0,0,0,0,0,0,-0.0111934840732874,0,0,0.0993108685707282,0,0,0,0,0,0,0,0.016671226894125,0.0773581532834303,0,0,0,0.0178068412748848,0,0
X600031.SH,0,0,0,0,0,0,0,0,0,0.149497122939295,0,0,0,0.0620612160944056,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108164957968737,-0.0512261683015439,0,0,0.282742351470672,0.140470121575508,0,0,0,0,0,0.336903405735636,0,-0.183320123203456,0.0254552957633552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0,0,0,0.242021232449292,0.35092548229114,0,0,0,0.05018355459446,0,0,0,0,0,0,0.0164104622414678,0,0,0,0,-0.0513420648466994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0558066226530759,0,0,0,0,-0.00198044795825431,0.0176205656009364,0,0,0,-0.00615520723590593,0,0
X000725.SZ,0,0,0,0.0255935136934323,0.0511344550423698,0,0,0,0,-0.0300817635577566,0,0.00839912617063794,0,0,0,0,0,0,0,0.13794661827242,0.052158335138242,0,0,0.402247237862504,0,0.139789325451074,0,0,0.116379350046346,0,0.0311831843276386,-0.0264653276331532,0.0472240746976348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00532715330479107,0,0
