,X600519.SH,X000858.SZ,X000651.SZ,X600104.SH,X002415.SZ,X600276.SH,X002304.SZ,X000063.SZ,X000725.SZ,X600690.SH,X002475.SZ,X000568.SZ,X000338.SZ,X600031.SH,X600741.SH,X601877.SH,X000596.SZ,X600703.SH,X600271.SH,X000661.SZ,X600809.SH,X000100.SZ,X002236.SZ,X300003.SZ,X300124.SZ,X000625.SZ,X002008.SZ,X600487.SH,X300142.SZ,X002007.SZ,X000157.SZ,X002456.SZ,X600498.SH,X600776.SH,X002506.SZ,X600066.SH,X000977.SZ,X600522.SH,X002241.SZ,X600867.SH,X600177.SH,X000050.SZ,X002179.SZ,X600566.SH,X600089.SH,X002180.SZ,X002129.SZ,X300146.SZ,X600372.SH,X002371.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.211429905654903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0585558397879044,0,0,0,0.105345798073185,0,0,0,0,0,0,0,0,0,0,0,0,-0.00442294973037801,0,0,-0.0388996738210703,0,0,0,0,0,0,0,0,0,0,0,0,-0.0339992960460652,0,0.0191082846003562,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0.101503389521295,0,0,0.335391373483166,0,0,0.262060147082587,6.93889390390723e-18,0,0,0,0,0,0,0.10888829237872,0,0,0,0,-0.0445741469371,0,0,0,0,0,0,0,0,0,0,0,0,0.0762729308685941,0,0,0,0,0,0,0,0,0.0824252207841257,0,0,0,-0.0281395085304925,0.065800873137479,0,0,0,-0.00462978398224529,0,0
X000651.SZ,0,0,0,0.0872118054590921,0,0.245646242808918,0,0,0,0.28419801674969,0,0,0,0.146836969226171,3.46944695195361e-18,0,0.0793791991726643,0,0,0.00016209097923007,0,0,0,-0.0143555813064442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0439767043492,-0.00955431621793726,0,0,0,0,0,0,0,0,0,-0.0169506054406342,0,0.0192198517436869,0,0,0,0,-0.0826023529946187,0,0
X600104.SH,0,0,0.0689858550558834,0,0,0,0,0.0384680343706131,0,0,0,0,0.141556673296777,-4.33680868994202e-19,0.155055027536129,0,0,0,0,0,0,0,0.0205342059424428,0,0,0.134440793982418,0,0,0,0,0,0.0127975789553232,0,0,0,0.0626256270022594,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0.0632177082857276,0,0,-0.0452063863899532,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0.0157964560154792,8.67361737988404e-19,0,0.0599945017665932,0,0,0,0.0838722627876831,0,0,0,0,0,0,0,0.235868851514017,0,0,0,0.101450035444068,0,0,0,0,0,0.0347346093969438,0,0,0,0,0,0.0195814208936839,0,0,0,0,0,0,0,0.0476428916915206,0,0,0,0,-0.0216670360863536,0,0,0,0,0.0236335914252345,0,0
X600276.SH,0,0,0.083354326474603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.119448309289127,0,0.0769327420878344,0,0,0,0.308094325589112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0281789104453965,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0244609292121307,0,0,0,-0.0361881063990834,0,0
X002304.SZ,0,0.302153153614352,0,0,0,0,0,0,0,0,0.0488190106687724,0,0,0.0457067129234867,0,0,0.149839661903113,0,0,0,0.0696520006661265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0880742329514371,0,0,0,0,0,0,0,0.0156391004428064,0,0,0,0.00636272744117545,0,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0.0803352505385457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.741155319674686,0.113303122585786,0,0,0.0386392937144597,0,0,0,0,0,0,0,0,0,0,0,0,0.0177537953541851,-0.05724613218164,0,-0.0575205846886926,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0.0716771495288191,0,0,0.209624172612945,0,0,0,0,0,0,0,0.0726300010394067,0,0,0.18403538981571,0,0,0,0,0,0,0,0,0,0.0343647387803153,0,0.0110095434147433,0,0.0653217544790499,0,0,0,0,0,0.117285818983905,0.0343658160996171,0,0,0,0.158695066125422,0,0,0,0,-0.0544436029890081,0.0268100661698656,0,0,0,0.0689447581185948,0,0
X600690.SH,0,0.261355070070247,0,0,0,0,0,0,0,0,0,0,0.0915613334388524,0,0.196105250631851,0,0,-0.0287188619545302,0,0,0,0,0.0939911252277611,0,0,0,0,0,0,0,0.058150232653111,0.10187142789994,0,0,0,0,0.0513365005980613,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,-0.065349784653009,0,0,0,-0.00961013753080493,0,0
X002475.SZ,0,0.019597874476678,0,0,0,0,0,0.0247073685381877,0,0,0,0,0,0.135789436891776,0,0,0,0.102811204845248,0,0,0,0,0,0,0,0.0045453960733045,0,0,0,0,0,0.143662176649494,0,-0.0854666490906335,0,0,0,0,0.119665501592027,0.0694029518607087,0,0.0251079528161956,0,0,0,0,0.0730593381090725,0,0,0,0,0.0432535264064337,-0.023539620164763,0,0,0,-0.0647631034226124,0,0
X000568.SZ,0,0.2424222894487,0,0,0,0,0.0561727114425117,0,0,0,0,0,0.227032714906506,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0.0220542155953989,0,0,0,0,0,0.00438197384954321,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148028727705936,0,0,0,-0.0292671709620851,0,0,0,0,0,0,0
X000338.SZ,0,0,0,0.274646098300745,0.104777135107526,0,0,-0.042024713742992,0,0,0,0,0,0.228184523920063,0.114112371073163,0,0,0,0,0,0,0,0.0863270565875178,0,0,0,0,0,0,0,0,0,0,0,-0.199471736464386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0420827899775225,0.0900593704537883,0,0,0,-0.00248421931893303,0,0
X600031.SH,0,0,0.238164290696379,0,0,0,0,0,0,0,0,-0.0449529605686132,0.190364331920359,0,0,0,0,0,0,0.0795012863507254,0,0.0461450225993664,0,0,0,0.0897870148324693,0,0,0,0,0,0,0,-0.00323023451203895,0,0,0,0,0,0,0,0,0,0.289286078924967,0,0,0.0675793371475026,0,0,0,0,-0.00437454516486113,0,0,0,0,-0.0723926472161922,0,0
X600741.SH,0,0,0,0.48297321076024,0,0,0,0,0,0,0,0,0,0.126458985654709,0,0,0,0,0,0,0,0,0,0,0,0.100549730945754,0,0.095640959008789,0,0,0,0,0,0,0.0258957493322061,0.0199639083888788,0,0,0,0.0391165986936009,0,4.33680868994202e-19,0.0609649627423277,0.261760399641872,0,0,0,0,0,0,0,0,0.0446657278050134,0,0,0,0,0,0
X601877.SH,0,0.0367906906451047,0,0,0,0,0,0,0,0,0,0,0.0458039298698619,0.0549697621974036,0,0,0,0,0,0,0,0.0819236650881429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0167258304466953,0,0,0,0,0,0.0226694366357823,0,-0.03885348112351,-0.0182111780327228,0,0,0,0.0292657958893028,0,0
X000596.SZ,0,0.210017311109277,0,0,0,0,0,0.0448747370956748,0,0,0,0,0,0,0,0,0,0,0,0,0.264780988948075,0,0,0,0,0,0,0,0,0,0,0.0148943844257437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0178817944476409,0,-0.0545733601164068,0.0473505573925684,0,0,0,0,0,0
