,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X600276.SH,X000725.SZ,X002304.SZ,X000063.SZ,X600690.SH,X600703.SH,X600741.SH,X000568.SZ,X000625.SZ,X002236.SZ,X002475.SZ,X002241.SZ,X600031.SH,X000338.SZ,X600066.SH,X002456.SZ,X000100.SZ,X601877.SH,X002508.SZ,X300124.SZ,X300136.SZ,X600089.SH,X300003.SZ,X600177.SH,X002294.SZ,X600271.SH,X600522.SH,X002085.SZ,X000157.SZ,X002008.SZ,X002007.SZ,X600118.SH,X600487.SH,X000981.SZ,X600867.SH,X600566.SH,X600809.SH,X600699.SH,X600372.SH,X000559.SZ,X002074.SZ,X000623.SZ,X300115.SZ,X000066.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0,0,0,0.00914966803434098,0,0,0,0,0,0,0,0,0,-0.14530743296339,0,0,0,0,0,0,0,0,0.147195822739613,0,0,0,0,0,0.0348535051176924,0,0,0,0,0.147544752596796,0,0,0,0.416823385088269,0,0,0,-0.0644115209054152,0,0,0,0,0,-0.00928714018666888,0,0,0,0,0,0
X600104.SH,0,0,0,0.0917577107154345,0,0,0,0,-0.0325792748865435,0.12408063608718,0,0.481496281786359,0,0.139952087008918,0,0,0,0,0,0,0,0,0,0.0324754402187281,0,0,0,0,0,0,-0.0393836800024415,0,0,0,0,0.0823621706350996,0,0,0,0,0.062023007896862,0,0,0,0,0,0.0788324044154831,0,-0.211483518590116,0,0.0454336118526663,-0.0199063431677741,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0.0582256771788823,0,0,0,0,0,0.204129464174242,0,0.418320144542623,0.0651831551188236,0,0,0,0,0,0,0,0.240089883464514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0388061919557677,-0.181787659726498,0,-0.0826284024936788,0,-0.0811848046212818,0,-0.0263477366113076,0,0,0.00123312088580617,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0.0737536499191573,0,0.0380280936299864,0.129754368519535,0,0,0.181241026649082,0,0.131607674550577,0,0,0,0,0.138980000587859,0,0,0,0.139530741577696,0,0,0,0,0,0,0,0,0.0028176745741556,0,0,0,-0.0513487129628821,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00399194523146633,0.00960367965650133,0,0,0,0,0,0
X000858.SZ,0.132818184948006,0,0,0,0,0,0.0052061387698082,0,-0.0211039743484858,0.0310995681967054,0,0,0.612490235981885,0,0.0550140427601206,0,0,0,0,0,0,0,0.0927863273485243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0180954399696045,0,0,0,0.0618351606752157,0,0,0,0.0165364334641604,0,0,0,-0.0196270691550743,0.00514755834205865,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0.15108418035776,0,0,0,-0.0185551477315083,0,0,0.208117848167768,0,0,0,0,0,-0.0835939557384208,0,0,0,0,0,0,0,0,0,0.0076004930695152,0,0,-0.0137268752973264,0.0211294826711757,0,0,0,0,0,0,0,0,-0.00317616227633464,0,0,0,-0.163625856351636,0,0,0,0,0,0.0203230680148017,0.0178381004729092,0,0,0,0,0,0
X000725.SZ,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0.18062973334121,0,0,0,0,0,0.111166186303895,0,0,0,0,0.00598905474739102,0,0,0.390417515919947,0,0,0,0.317573918231513,0,0.283577476460343,0,0,0,0,0,0,0,0,0,0,0.173761258117308,0,-0.0552755303128997,0,0,0,0,0,0.0217635342440081,0,0,0,0,0,0
X002304.SZ,0.132950805019484,0,0.0272277819145327,0,0.419022662603717,0,0,0,0,0.224492218112461,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0510899672159163,0,0,0,0,0,0,0.0297667104553882,0,0,0.0553810170054354,0,0,0,0.140026645606241,0,0,0,0,0,-0.165820975407894,0,0,-0.0100985337513875,0,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,-0.0481255228427686,0,0,0,0,0,0,0,0,0,0,0.281383299218424,0,0,0,0.16572359339323,0,0,0.0054504249063092,0,-0.00125996466686642,0,0,0,0,0,0,0,0.0331539742380196,0,0,0,0,0,0,0,0,0,0.288231935969115,0,0,-0.0176892506994291,2.16840434497101e-19,0,0,0,0,0,0
X600690.SH,0,0.315169072257008,0,0.0733976677273539,0,0,0,0.0302099782177725,0,0,0,0.265172608089932,0,0,0.170731688512339,0,0,0,0,0,0,0,0,0,0,0,0,-0.123821807758905,0,0.0424084597068462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0231189970272977,0,0,0,0,0,0,0
