,X600519.SH,X000858.SZ,X002415.SZ,X600276.SH,X000568.SZ,X600809.SH,X000651.SZ,X600690.SH,X002304.SZ,X600031.SH,X002475.SZ,X000725.SZ,X600104.SH,X000661.SZ,X300014.SZ,X300124.SZ,X000338.SZ,X003816.SZ,X000063.SZ,X000596.SZ,X002241.SZ,X000100.SZ,X600703.SH,X000157.SZ,X300142.SZ,X000625.SZ,X002371.SZ,X002179.SZ,X600741.SH,X002129.SZ,X002007.SZ,X002236.SZ,X601877.SH,X002049.SZ,X600584.SH,X000799.SZ,X300003.SZ,X002414.SZ,X600183.SH,X601799.SH,X000800.SZ,X600779.SH,X300146.SZ,X600089.SH,X600460.SH,X002074.SZ,X002008.SZ,X000977.SZ,X600702.SH,X600707.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0.144829416998192,0,0,0,0.0547432679921983,0,0,0,0,0.135829407541607,0,-0.0429902783192029,0,0,0,0,0,0.0232478322891708,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106350677458881,0,0,0,0.111313827997425,0,0,0,0,-0.0126275120168117,0,0,0,0,0,0,0,-0.0496861321712199,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0.342988561142542,0.0433035518535697,0,0.0404016075081916,0.127376749493876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0828858573591132,0,-0.0023355496964239,0,0.0327287392324927,0,0,0,0.182929026332594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0110590127976794,1.0842021724855e-19,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0.197718212540421,0,0,0,0.0370881142799541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.017275031027897,0,0,0.227651965269198,0.306910413442084,0,0,0,0.0478862956003142,0.0273998601824079,0.143219512494933,0,0,0,0,0,-0.0352587808302887,0,0,0,0,0,-0.0564208909530881,0,0.0557870312660438,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0.0934231731877603,0.0529881178273958,0,0,0,0,0,-0.110380522987433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.237000687190838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.135943316133347,0,0,0,0,0,0,-0.024586425237272,0,0,0.0233727260972057,0,0,0,0.0290336759211101,0,0
X000568.SZ,0.0194011782197416,0.731700057364313,0,0,0,0.0202593275747099,0,0,0,0,0,0,0,0,0,0.00128510601479292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.241805763627134,0,0,0,0,0,0,0,0,0,0,0.145065429924561,0,0.0651994858109914,0,0,0,0,0,0,0,0,-0.00495010005464755,0,0,0,-0.000520252631761596,0,0
X600809.SH,0,0,0,0,0.042841749187132,0,0,0,0,0.239772686409617,0,0,0,0,0.131854880946968,0,0,0,0,0,0,0,0,0,0,0,0.0998730489318741,0,0,0,0,0,0,0.0209919037480918,0,0.363491732635723,0,0,0,0,0,0.0367135170759302,0,0,0,0,0,0,0,0,0,0,-0.0660146414128501,0,0,0,-0.0303529999959432,0,0
X000651.SZ,0,0,0,0,0,0,0,0.041806291805205,0.0667912350567436,0,0,0,0,0.024472265767088,0,0.0302251527503671,0,0,0,0,0,0.12330848806793,0.0202371639058952,0.0637582499850619,0,0,0,0,0.142628451549411,0.0217047770817213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0530953725309142,-0.00536899653558572,0,0,0,0,-0.000251019096558759,0,0
X600690.SH,0,0.190874039728843,0,0,0,0.13302458434035,0.161680651234809,0,0,0,0,0,0,0.148010884145383,0,0,0,0,0,0,-0.0378408744782958,0,0,0,0,0,0,0.0715241023429433,0.117987896405844,-0.0367319456789078,0,0.117356068576234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0324496010176045,0,0,0,0,0,0,-0.0277490351752428,0,0
X002304.SZ,0,0.047546814166886,0,0,0.340591358530917,0.220029517375741,0,0,0,0,0.139039629877437,0,0,0,0,0,-0.271262830622931,0,0,0,0,0,0,0,0,0,0,0,0.0497159908353871,0,0,0,0,0,0,0,0.0720202878514688,0,0,0,-0.0803237404743231,0,0,0,0,0,0,0,0,0.0046898179289352,0,-0.0365441491344345,0,0,0,0,-0.0131628025574779,0,0
X600031.SH,0,0,0,0,0,0,0,-0.120331210076178,0,0,0,0,0,0,0,0.185878222441483,0,0,0,0,0.13312146405345,0,0.0504100927922665,0.104688555227264,0.0513282297701976,0,0,0.359573258085431,0,0.0824374795572805,0,0,0,0.0443964383320869,0,0,0,0,0,0.139961733744122,0,0,0,0,0,0.0728564036083825,0,0,0,0.106158581123341,0,-0.0310347478239895,0,0,0,0,0.00623516039022747,0,0
X002475.SZ,0,0,0.0383828109505136,0.0420866317988781,0,0,0.0924648758611557,0,0,0,0,0,0,0.0671496656701602,0.0659915588007129,0.086154236957879,0,0,0,-0.0300734091992166,0.489786376250994,0.0182232618190377,0,0.0648862979361527,0,0,0,0,0,0,0,0,0,0,0,0,0.0163561952704483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0339213899119937,0,0,0,0.0391638563288637,0,0
