,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X600276.SH,X000568.SZ,X000651.SZ,X002475.SZ,X002304.SZ,X600690.SH,X600104.SH,X300014.SZ,X600031.SH,X000725.SZ,X300124.SZ,X002371.SZ,X600703.SH,X000063.SZ,X000338.SZ,X002129.SZ,X000625.SZ,X000661.SZ,X002241.SZ,X003816.SZ,X300142.SZ,X002049.SZ,X000596.SZ,X000100.SZ,X002179.SZ,X600460.SH,X601877.SH,X002074.SZ,X600702.SH,X000799.SZ,X000157.SZ,X600741.SH,X002007.SZ,X002414.SZ,X600584.SH,X002236.SZ,X600779.SH,X601799.SH,X600089.SH,X600183.SH,X000800.SZ,X300146.SZ,X300003.SZ,X600884.SH,X000733.SZ,X000066.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.0376486332695767,0,0,0,0,0,0.265057295727226,0.0634481912115326,0,0,0,0,0,0,0,0,0,0,0.0178585321621758,-0.0114306084900352,0.0452955107954705,0,0,0.00905310314199433,0,0,0,0,-0.0349704455778596,0,0,0.126972132440246,0,0,0,0,0,-0.0376287759568884,0,0.029269837798554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0.474669501468856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0530567990370892,0,0,0,0,0,0,0,0,-0.0186517749061657,0,0.0390595415761606,0.103824989832215,0,0,0,-0.168696553199345,0,0,0,0.115131098225239,0,0,0,0.017778863923317,0.00488469681660849,-0.0448403757015364,-0.00240692631474832,0,0,0,-0.00857537639572939,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0.165618441074,0,0,0,0,0.16515341593273,0,0.0617471790191002,0,0,0,0,0,0,0,0,0.100585740104893,0,0.0174549286842253,0,0,0,0,0,0,0.00037314092742634,0,0,0.0302895411367393,0.0519845688368625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0770514985224064,0.0597381489543127,0,0,0,0,0,0,0,0,0
X600809.SH,0,0,0,0,0,0.108705475302071,-0.0440766861921795,0,0.150619698103695,-0.149828061970967,0,0,0,0,0.247360734445932,0,0,0,0,-0.122605536646883,0,0,0,0,0.0331265787467855,0,0,0,0,-0.0116314035686696,0,0,0,0.501497577104787,0,-0.198465710709229,0,0,0,0,0.050209593514523,0,0,0,0,0,0,0,0,-0.021677903573692,0,0,0.0283171292222564,0,0,0,0,0,0
X600276.SH,0,0,0,-0.130759192244224,0,0,0,-0.00568565756305265,0.0991667994235263,0,0,0,0,0,0.203140407544475,0,0,0,0,0,-0.0655693146778051,0,0,0,0.20729563742247,-0.0665392949754958,0,0,-0.0228580701166618,0,0,0,0.144550453840008,0,0.159606046572098,0,0,0.0504687818378439,0,0,-0.106069776341055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000568.SZ,0,0.615530634278693,0,0.0699290917335078,0,0,0,0,0.0952285541374881,0,-0.263567608072354,0,0,0,0,0,0,0,0,0,-0.0095401346402916,0,0.0515339845984707,0,0,0,0.150360963869391,0,0,0,0,0,0,0,0,0,0,0,0.0591133976325431,0,0,0,0,0,0,0,0,0,0,0,0,-0.0054417811975874,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,-0.0204631721325186,0.044305661057306,0.127207203122404,0,0,0,0,0,0,0,0.164930417927088,0,0,0.00555284726582215,0.0229314651483703,0,0,-0.018511355452302,0,-0.119712668582586,0,0,0,0,0,0.118983043918299,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,-0.00714032869716888,-0.0502208075848856,0,0,0.0839100267146242,0,0,0,-0.0456715597854975,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0.13143210524604,0,0,0,0.0901715894005906,0,0,0,0,0,0,0.0665392810169625,0,0,0.0294273005348524,-0.0384685705870549,0,0,0,0,0,0,0,0,0,0,0.129662540270483,0,0,0,0,-0.153178497947591,0,0,0,-0.00647454467512414,-0.0210923787306543,0.0428888283845034,0,0,0.00281326529667643,0,0,0,0,0,0,0
X002304.SZ,0,0,0,0.407485146132494,0,0.296441354158757,0,0,0,0.0274603875785147,0,-0.1645078032417,0,0,0,0,0.225701752205141,0,0,0,0,0,0,0,-0.0501054559548448,0,0,0,0,0,0,0.0707525353369982,0,-0.0307799303846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.144772605839567,0.125152387914089,0,-0.0416843289843856,0.0234928253530859,0,0,0,0,0,0
X600690.SH,0,0,0.306544066631903,0,0.212617585579593,0,0,0,0,0,0,0,0,0.245914944893644,-4.33680868994202e-19,0,0,0,0,0.00057331304180919,0,0,0,0,0,0,0,0.0111611513254866,0,0.0155980390910671,0,0.0315874051459534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0573106956714428,-0.0247281742288549,0,0,0,0,0,0,0
