,X600104.SH,X600519.SH,X000725.SZ,X000651.SZ,X002415.SZ,X000625.SZ,X000858.SZ,X002304.SZ,X600276.SH,X000063.SZ,X600690.SH,X600372.SH,X600031.SH,X002241.SZ,X000338.SZ,X000157.SZ,X600741.SH,X600703.SH,X600089.SH,X000100.SZ,X002236.SZ,X000581.SZ,X600118.SH,X002475.SZ,X000050.SZ,X000559.SZ,X601877.SH,X000550.SZ,X002294.SZ,X600839.SH,X000568.SZ,X600066.SH,X002129.SZ,X600271.SH,X002456.SZ,X600435.SH,X300003.SZ,X300124.SZ,X002292.SZ,X000400.SZ,X000869.SZ,X000623.SZ,X000800.SZ,X002007.SZ,X000977.SZ,X002038.SZ,X002049.SZ,X002008.SZ,X600177.SH,X000970.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600104.SH,0,0,0,0,0.0656439323290497,0.0339204937719529,0,0,0,0,0.016519507629027,0,0,0,0,0,0.300462403335623,0,0,-0.0179859827242047,0,0,0,0,0,0,0,0,0,0.0427178826498228,0,0,0,0,0.112614406881615,0,0,0.0564342699589514,0,0.00252150138653587,0,0,0,0.0678065108105724,0,0,0,0.0659897021629846,0,0,0,0.00173722175012216,0,0,0,0,0,0,0
X600519.SH,0,0,0.0984958622731327,0,0,0,0,0.263600106112309,0,0,0,0,0,0,0,0,0.0313928514113271,0,0,0,0,0,0,0,0.0311989307514237,0,0,0,0,0,0,0,2.16840434497101e-19,0,0,-0.00330875636518418,0,0,0,0,0,0,0,0,0,0,0.16599988670054,0,0,-0.0326373921991531,0,0.0140033015022541,-0.0459853239193948,0,0,0,-0.0223538275267107,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.184066451078493,0.257771558519184,0.0663351127829384,0,0,0,0,0.000781963074877119,0,0,0.024246117789239,0,0,0,0,0,0,0,-0.159509388040539,0,0,0,0,0,0,0.0473880762646584,0,0,0,0,0,0,0,0.0321201678224212,-0.0519958145061518,0,0,0,0,0,0
X000651.SZ,0,0,0.126203213998615,0,0,0,0,-0.0274300062837868,0,0,0.230058265177213,0,0,0.0144585215391718,0,0,0,0.00967794949166703,0,0,0,0,0,0,0,0,0.318544958374721,0,0,0.00920978083607841,0,0,0,-0.00124325785837528,0,0,0,0,0.0827813400218812,0,0,0,0,0,0.0778034710664422,0,0,0,0,0,0,0,-0.0069747264100218,0,0,0,0,0,0
X002415.SZ,0,0,0,0.0780269637636032,0,0,0,0,0,0,0.133173407900442,0.0993262992218581,0,0,0,0,0.0692289340356692,0.0669338050358262,0,0,0.0799286809710599,0,0,0,0,0,0,0,0,0,0,0,0.0991227231399149,0,0,0,0,0,0,0,0,0,0,0,0.00348922557519127,0,0.255100033957703,0,0,0.00137479568286523,0,-0.0288286428281962,0.0497206852284893,0,0,0,0,0,0
X000625.SZ,0.195789710553809,0,0,0,0,0,0,-0.102486734446855,0,0,0,0,0,0,0,0,0.0865085196765518,0.0302024857548178,0,0,0,0,0.00646624669269226,0,0,0.0700449957738105,0,0,0,0.0156309874173995,0,0.0468099794581795,0,0,0.270813908667039,0,0,0,0,0,0,0,0.0336354517517969,0,0,0,0,0.0807328410930474,0,0,0,-0.0111508748418846,-0.0116455955838518,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0,0,0,0,0,0.0425948774937128,0.0396603516930527,0,0,0,0.107465701688817,0,0,0.0484540373475251,0.0255914422268116,0,0,0,0,0,0,0.1056821258785,0,0,0.183434899388185,0,0,-3.46944695195361e-18,0.0181033472132936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0661748189555096,0,-0.00806727823465205,0,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.0771178996857388,0,0,0,0,-0.0736989339262367,0,0,0,0,0,0,-0.0469087592380751,-0.0450492729250693,0.144831428721416,0,0,0,0.136576729823564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.430398654946148,0,0,0,0,0,0.00702153509096395,0.0788180876076962,0.00445734514271787,0,0,0,0,0
X600276.SH,0,0,0.00295753861197033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0606204331786805,0,0,0,-0.0160507747647226,0,0,0,0,0.200131162725476,0,0,0,0,0,0.0253450157012078,0,0,0.12998993793391,-0.146621584522934,0,0,0,0,-0.055059233948861,0,0.0205463928958278,-0.0171383349866496,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,-0.00245659117787,0.00820143336087302,0,0,0,0.0014719005523475,0,0,0,0,0,0,0,0,0.0712184476231147,0.156201893766311,0,0.121186126461505,0,0,0,0.10039770584599,0,0.011046520144184,0.0494951339015042,0,0,0,0,0,0.0693288499936087,0,0.00829701269840263,0,0,0,0,0,0,0
