,X600519.SH,X000858.SZ,X600276.SH,X002475.SZ,X002415.SZ,X000651.SZ,X600104.SH,X600031.SH,X000568.SZ,X002304.SZ,X000725.SZ,X600809.SH,X000063.SZ,X000661.SZ,X600690.SH,X003816.SZ,X002241.SZ,X000338.SZ,X600703.SH,X000596.SZ,X002007.SZ,X300124.SZ,X300014.SZ,X000100.SZ,X300142.SZ,X600741.SH,X002371.SZ,X002049.SZ,X002129.SZ,X000625.SZ,X601877.SH,X000157.SZ,X002236.SZ,X300003.SZ,X000800.SZ,X600584.SH,X002414.SZ,X300136.SZ,X600183.SH,X002179.SZ,X000066.SZ,X000977.SZ,X601799.SH,X600118.SH,X002456.SZ,X002185.SZ,X002294.SZ,X000050.SZ,X002008.SZ,X600066.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.0147485592255679,0,0,0,0,0,0,0.221196558328991,0,0,0.248897661697529,0,0,0,0,0,0,0.0395411544044458,0.00635629306940419,0,0,0,0,0,0,0,0.0146510297291252,0,0,0,0,0.045118285938587,0,0,0.047700495154931,0,0,0,0,0,0,0,0,0,0,0.0626347140899089,0,0,0,0,0.00227741312072142,0.00113709012994714,0,0,0,0,0,0
X000858.SZ,0,0,0,0.0651945745116448,0.00285108535269971,0,0,0.0586492638429351,0,0.237852906752466,0,0.421048985153402,0,0,0,0,0.078998849518962,0,0,0.00645150585191194,0,0,0,0,0,0.0597555710929735,0,-1.0842021724855e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0345652590672783,0.038846733355556,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0.0210509459804376,0.171477550869914,0,0.0165992716201976,0,0,0,0,0,-0.128738121053858,0,0,0.0914239828386167,0,0,0,0,0,0,0,0,0,0,0,0.0435074167381676,0.0624756706196885,0,0,0,0,0,0,0,0,0.13668409949703,0,0,0,0.102451862134624,0,0,0,0,0,0,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.353820504807847,0,0,0,0,0,0,0.0520003605759601,0,0,0,0,0.0429184118794776,0,3.46944695195361e-18,0,0,0,0,0.0211211333423886,0,0,0,0,0,0,0.0156255613119426,0.0383122570753284,0,0.114692108891928,0.0916788618606292,0.0961988506312562,0,0,0,0.00706362759882097,-0.00285046631087494,0,0,0,0,0,0
X002415.SZ,0,0,0,0.0969776981171093,0,0,0,0,0,0,0,0,0,0,0.0672976144526678,0,0,0,0.0368877398120361,0,0,0,0,0,0,0,0,0.0606277999044014,0,0,0,0,0.154279444955586,0,0,0,0,0.0429678448999379,0,0.0819283442820734,0,0,0,0,0,0,0,0,0,0,0,0,0.0166097788038083,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0.0449299300545379,0,0,0,0,0,0,0,0,0,0.0795491965958619,0,0,0.0363120780256826,0,0,0,0,0,0,0,0,0,0.151272276658252,0,0.00125940446158585,-0.0124768874463959,0,0,0,0,0,0,0,0,0,0,0,0,0,0.098627517611707,0,0,0,0.039657322157306,0,0,-0.0476700719728555,-0.0226159339680516,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0.152630614741416,0,0,0,-0.0524973498102263,0,0,0,0,-0.0241093542233912,0.095205842114329,0.0685005967174677,0,0,0,-0.00487612087305849,0,0,0.0992366004878204,0,-0.0580312818144345,0,0,0,0,0,0,0.0400172685817257,0,0,0,0.0729347438511224,0,0.146224285241887,0,0,0,0,0,0,0,0,0,0,-0.0283689005748731,0.0238273441323135,0,0,0,0,0,0
X600031.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.406661623305625,0,0.0212461873739892,0,0,0,0,0,0.0530128862323616,0,0,0.00488620888828689,0,0,0.303591684583015,0,0,0,0,0,0.0206998103117967,0,0,0,0,0,0,0,0,0,0,-0.0482789365698904,0,0,-0.0146890374761167,0.0320462276245383,0,0,0,0,0,0
X000568.SZ,0,0.127114458690415,0,0,0,0,0,0,0,0.457214570986735,0,0.0837101314345662,0,0,0,0,0.088037649771953,0,0,0.0596933162872152,0.0916557797186389,0,0,0,0,0,0,0,0,0,0,0,-0.0841134111137798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0201447616548438,0.0161394738300529,0,0,0,0,0,0
X002304.SZ,0,0.395240373095624,0,0,0.0558453355384018,0,0,0,0.300644858966363,0,0,0.0089213459494769,0,0,0,0,0,0,0,0.00600246491890463,-0.0138890697327228,0,0,-0.011368176938135,0,0,0,0,0.167323341203858,0,-0.0131679053941364,0,0.0315194489325074,0,0,0,0,0,0,0,0,0,0,-0.0634798999479226,0,0,0,0,0,0,0,0.00100076092816781,0,0,0,0,0,0,0
