,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X000725.SZ,X002304.SZ,X600276.SH,X000625.SZ,X600690.SH,X000063.SZ,X600703.SH,X600741.SH,X000568.SZ,X600031.SH,X002475.SZ,X002241.SZ,X600066.SH,X000338.SZ,X002236.SZ,X000100.SZ,X601877.SH,X600271.SH,X600118.SH,X002456.SZ,X300124.SZ,X002085.SZ,X000157.SZ,X002508.SZ,X600089.SH,X600372.SH,X600177.SH,X600522.SH,X002007.SZ,X300136.SZ,X300003.SZ,X600487.SH,X000981.SZ,X600699.SH,X002294.SZ,X002074.SZ,X600867.SH,X000066.SZ,X000559.SZ,X002008.SZ,X600435.SH,X002180.SZ,X600566.SH,X002292.SZ,X300115.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.0437937028488169,0,0,0.0278990220899348,0,0,0,0,0,0,0.284556734923859,-0.134135297040999,0,0,0,-0.0739002804161171,4.33680868994202e-19,0,0,0,0,0.032365423190499,0.0744123778323818,0,0,0,0,0,0,0,0,0.00388480261290168,-0.0611275208477972,0.0725155814438398,0,0,0,-0.0205307867544315,0,0,0,0,0,0,0,0,0,0.0160813951279956,0.0135097464968439,0.000639669323721508,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0.223325476729261,0,0,0.0709451128679788,0.0530227020345587,0,-0.149234536019254,0,0,0,0,-0.0657461416726885,0,0,0,0,0,0,-0.0229683671817075,0,0.121744844869639,0.164958385260509,0,0,0,0,0,-0.0180851846257596,0.134997012073849,0,0,0,0.0548235864246571,0,0,0,0,0,0,0.00824734330201675,0,0,0.00718602242301058,-0.0080880679427507,-0.00930200808813372,0,0,0,0,0,0
X002415.SZ,0,0,0,0.364524494018962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0344823776660964,0.0808616720746594,0,0,0,0,0,0,0,0,0.00181854458324679,0,0,0,0,0,0,0,0,-0.108301389697039,0,0,0,0.168040698800106,0,0,-0.031375473906513,0,0,0,0,0,-0.00940919040660483,-0.0133882517644874,-0.0132582787338343,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,0,0,0.0213993031718767,0,0.321206962840076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.026977217462023,0,0.0345322326253262,0,0,0,0.0145176969397113,-0.00599960887418829,0,0,0,0,0,0
X000858.SZ,0,0,0,0.076779692172673,0,0,0.190878754269984,0,0,0,0,0.0466715886492403,0,0.218193237113208,0,0,0,0,0,0.084994210104966,0.0294590715568506,0,0,0,0.0483154173249764,0,0,0,0,0,0,0,0,0,0,0.0140973188366122,0,0,0,0,0,0,-0.11182271816795,0,0,-0.0153553460689976,0,0,0,0,0,0.00451957849662695,0.000704058924611376,0,0,0,0,0,0
X000725.SZ,0,0,0,0.361105785301718,0,0,0,0,0,0,0.0596489078126423,0.0689405108254214,0,8.80465945846329e-05,0,-0.387119631825099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.110035898421722,0,0,-0.287504544305946,0,0,0,0.158301173242288,-0.0391456434725185,0,0,0.0999362352337718,0,0,0.312510662731083,0,0,-0.0460253787523992,0.0187893945870585,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0.143114157689092,0,0,0,0,0,0,0,0,0.331751905890548,0.0804434499313102,0,0,0,0,0,0.279149077203746,0,0,0,0.111073188672234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00686010571716149,0,0,0,0.0423865472543433,0,0,-0.0926643132380582,0,0.0069684893151551,0.000770763931386454,0,0,0,0,0,0
X600276.SH,0,0,0,0.00778145335546664,0,0,0,0,0,0,0,0.21750096421425,0,0,0,0,0.0466436945899763,0,0,-0.0438810920350673,0,0,0,0,0.030937412175613,0,0,-0.0462739666197948,0,0,4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0.0220940906141577,0,0,0,4.33680868994202e-19,0,0,-0.0330500339199861,-0.0973221525657672,0.00934929181477469,0.00430680406416466,-0.146393034710789,0,0,0,0,0
X000625.SZ,0,0,0,0,0,0.0466852967572258,0,0,0,0,0,0,0.0587523285500462,0,0,0,0,0.302419542252404,0,0.146644806890686,0,0,0,0,0,0,0,0,0,0,0.0932811278812939,0,0,0,-0.16234636460359,0,0.0784835000479732,0,0,0,0,0,0,0,0,-0.0407257367800679,0,0,0.133092175892301,0,0,-0.0205907680674101,0.00700408403800407,0,0,0,0,0,0
X600690.SH,0,0,0,0,0.100966251674558,0,0.144121627963314,0,0,0,0,0,0.0357858267851371,0,0,0,0,0,0.0115918908176547,0,0,0,0,0.0637880872276804,0.0552466086251358,0,-0.0792150490352612,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00218824157701803,0,0,0,0,-0.0643888292159251,0,0,0,0,0,-0.00164758263553902,-0.0131255311443767,0,0,0,0,0,0
X000063.SZ,0,0,0,0,-0.14877198920094,0,0,0,0,0,0,0,0,0,-0.0154050000802047,0,0,0,0,0,0,0,0,0,-0.154806008562321,0.277423967047933,0,0,0,0,0,0,0,0.0604926423087858,0,0,0.120069803244228,0,0,0,0,0,0.0199370188856537,0,0,-0.110759561431702,0,-0.141161625661012,0,0,0,0.0118193511890405,0.011964178269461,0,0,0,0,0,0
X600703.SH,0,0,0,0,0,0.00599091170068358,0,0.0420273853163308,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,-0.0659184288290281,0,0,-3.46944695195361e-18,0,0,0,0,0,0.130987638089307,0,0,0,0,0,0,-0.0154259131190231,0,0.180791677305026,0,0,0,0,0,-0.0974841385936561,0,0,0,0,1.73472347597681e-18,0,0.0596156119990636,0,0,0.0205470139416093,0,0,0,0,0,0
