,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X002475.SZ,X000568.SZ,X600276.SH,X600690.SH,X002304.SZ,X000651.SZ,X600104.SH,X000725.SZ,X300014.SZ,X600031.SH,X002241.SZ,X300124.SZ,X002371.SZ,X003816.SZ,X000063.SZ,X002129.SZ,X000338.SZ,X002049.SZ,X600703.SH,X000596.SZ,X601877.SH,X002179.SZ,X000625.SZ,X600741.SH,X000100.SZ,X300142.SZ,X600460.SH,X600089.SH,X000661.SZ,X002180.SZ,X002074.SZ,X600702.SH,X000157.SZ,X000733.SZ,X600884.SH,X002236.SZ,X600522.SH,X000799.SZ,X002008.SZ,X002414.SZ,X000977.SZ,X601799.SH,X600779.SH,X600584.SH,X002007.SZ,X600183.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.64392824789453,0,0,0,0,0,0,0,-0.0309211179681935,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0837202778457078,0,0,0,0,0,0.00278215619275238,0,0,0,0,0.0215825485358033,0.0438028223494492,0,0,-0.00152267082086388,0,-0.0247559767882316,0,0,0,0,0,0,0,0,0,0,-0.0259138198508231,0,0,0,0,0,0,0
X000858.SZ,0.1930000165992,0,0,0,0.044471114357473,0.102657982324798,0,0,0.13834922657046,0,0,0,0,0,0,0,0,0,0,0,0,0,0.098754637767001,0,0,0,0,0,0,0,0,0,0,0,0,0.117447211522723,0,0,0,0,-0.0251637928469656,0.0593990193834833,0,0,0,0,0,0,0,0,0,0.0491084232741704,-0.033706549221041,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0.0562460249473166,0,0,0,0.316493905302514,0,0,0,0,0,0,0,0.119372327488222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0591117297085985,0,0,0,-0.0520218539438709,0,0,0.0792358435392766,0.241923399086925,-0.0564895291431269,0,0,0,0,0,0,0,0,0,0,-0.0301952291806812,0,0,0,0,-0.0345807271985473,0,0
X600809.SH,0,0,0,0,-0.0695980747158492,0.287221083265334,0,0,0,0,0,0,0,0,0,-0.0422062810738095,0,0,0,0,-0.308443675835368,0,0,0,0,-0.046547890516849,0,0,0,0,0.0428912119670932,0,0,0,0,0.230228086329655,0,0,0,0.0505462581927552,0,0,0,0.102014536527663,0,0,0.0153825506414052,0,0,0,0,0.0346186115105968,0,0,0,0,0.0401850367895855,0,0
X002475.SZ,0,0,0.118750544710067,0,0,0,0,0,0,0,0,0,0,0,0.396636998279899,0.0889595914923815,0.0154466909094521,0,0,0,0,0,0,0,0,0,0,0.0306238779367506,0,0,0,0,0,0,0,0,0,0,-0.0247048965689254,0,0.0742768441087448,-0.17377578592547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000568.SZ,0.236064899956927,0.144221603638897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.284757572069317,0,0,0,0,0,-0.000207017744786049,0,0,0.123762738652431,0,0,0,0,0,0,0,-0.0681206814368094,0,0,-0.0900725442096084,0,0,0.124520256369288,0,0,0,0,0,0.0148946585365921,0,0,0,-0.0199223681158993,0,0
X600276.SH,0,0,0.0721518784672813,0,0.164201971655666,0,0,0.153708908774865,0,0,0,0,-0.109437047064015,0,0,0,0,0,0,0,0,0,0,0,0,-0.188442509466981,0,0,0,0.080998115287774,-0.0129119367897063,-0.0713172877420843,0.0617692600994186,0,-0.0658558471679732,0,0,0,0,0,0.100109894258351,0,0,0,0,0,0,0,0,0,0,-0.0312248434491705,0,0,0,0,0.000939952376514117,0,0
X600690.SH,0,0.111053589101958,0,0,0,0,0.144350046466027,0,0.0942966767370386,0.190525783391697,0,0,0,0.249829855014773,0.0185575251714297,0,0,0,0,0,0.10593449028211,0,0,0,0,0,0,0,0,0.045050483352874,0,0,0,-0.0429812267766027,0,0,0,-0.0490288930474476,0,0,0.0133324355115034,0.042795558542618,0.0685724051410102,0,0,0,0,0,0,0,0,-0.0156394142948757,0,0,0,0,0,0,0
X002304.SZ,0,0,0.121239666522501,0,0,0,0,0.10708293453401,0,0,0,0,0,0,0,-0.0335439399065547,0.0529065175253664,0,0,0,0,0.0558296262038828,0,0.19082252480954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.079757711547606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0220402539711366,0,0
X000651.SZ,0,0,0,0,0,0.0855433394860809,0,0,0,0,0,0,-0.0310914373063548,0.181289693855552,0,0.209191586071988,0,0,0,0,0,0,0,0.00618469897858619,0,-0.000750944231220287,0,0,0,-0.0290650267746209,0,0,0.0119631296271496,0,-0.0394692581218917,0,0,0,0,0,0,0.0228915932942032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00773138753105942,0,0
