,X600519.SH,X600104.SH,X002415.SZ,X000858.SZ,X000651.SZ,X000725.SZ,X600276.SH,X002304.SZ,X000063.SZ,X600690.SH,X600703.SH,X000568.SZ,X600741.SH,X002475.SZ,X600031.SH,X000338.SZ,X002236.SZ,X000625.SZ,X601877.SH,X002241.SZ,X002456.SZ,X600487.SH,X002008.SZ,X600066.SH,X000100.SZ,X300136.SZ,X600809.SH,X300124.SZ,X002294.SZ,X002508.SZ,X300003.SZ,X600522.SH,X600271.SH,X002085.SZ,X600867.SH,X600089.SH,X000981.SZ,X000157.SZ,X600498.SH,X600177.SH,X600699.SH,X000596.SZ,X600566.SH,X002179.SZ,X000661.SZ,X600118.SH,X002129.SZ,X002180.SZ,X002049.SZ,X300142.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.437783015800308,0,0,0.161147712062041,0,0,0,0,0,0,0,0,0,0,0,0.0313982998162475,-0.108934870691951,0,0,0,4.33680868994202e-19,0,0,0,0,0,0.0696620061412716,0,0,0,0,0,0,0,0,0,0,0.0381518936938417,0,0,0.0477896655704842,0.0729064650315368,0.0283169458346747,0,0,0,0,0,-0.0409720829949059,0.0881269038701467,0,0,0,0,0,0
X600104.SH,0,0,0,0,0.234547149324431,0,0,0,0,0,0,0,0,0.108245515489151,0,0,0,0,0,0,0,0.0308289271591147,0,0,0.00325294834393055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0924962011063833,0,-0.0572939800519328,0.0694415966326793,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0.0213221691931354,0,0,0,0,0,0.3131297680242,0,0,0,0.0344000990728604,0.149527909571547,0.325839481431549,0.0465330889564709,0,0,0,0,0,0.00758345131451057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.085735874388319,0,0.00174500636632536,0,0.0855521828836122,0,0,-0.0173863495152836,-0.00339761118368916,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0,0.208758769678644,-0.0181178932338117,0,0,0.354078157116705,0,0,0,0,0,0,0,0,0,0.0963254773647473,0,0,0,-0.0668950043248499,0.203449977449872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00317867653987218,0.000603223479727867,0,0,0,0,0,0
X000651.SZ,0,0.0492319938886156,0,0.172378935755057,0,0,0,0,0.0489002499279611,0,0,0,0.00915329453255623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.018779245296294,0,0,0,0.0827864936111235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.093121292722454,0,0.106615797268022,0,0.00467871588116168,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0.446843849061755,0,0,0,0,0,0.0560505283996858,0.0610072197240545,0,0,0,0,0,0,0,0,0,0,0.0208184274212288,0,0,0,0.272018967575778,0,0,0,0.285300112152179,0,0,0,0,0,0,0.176508906421129,0,0,0,0,0,-0.229771119862905,0,0,0,-0.0236403338634826,0.0414106153904168,0,0,0,0,0,0
X600276.SH,0,0,0.036762013078534,0,0,0,0,0,0.0540816651287365,0,0.281137152607411,0,0,0,0,0,0.0656952244156137,0,0,0,-0.106257425637274,0,0,0,0,0.0156694744309531,0,0.15029996419494,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0955824828856905,0,0,0,0,0,0,-0.121201295558237,0.0242548044437398,0,-0.020713710681808,0.0491682407138852,0,0,0,0,0,0
X002304.SZ,0.296763736270172,0,0,0.132905048184027,0,0,0,0,0,0,0,0.191170981712915,0.135040272095671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.078189914688744,0,0,0,0,0,0,0.0885922719057242,0,0,0,0,0,0,-0.016382632577804,0,0,0,0,0,0,0
X000063.SZ,0,0,0,-0.0391056114678559,0,0.273328732665555,0,0,0,0,0,0,0,0,0,0,0.196726586330919,0,0,0,-0.0148064107958823,0,0,0,0,0,0,0,0,0,0,0.244103808135682,0.122493569811547,0,0,0,0,0,0.352142741243493,0,0,0,0,0,0,0,0,0,0.206493662713688,0,0,-0.0119036730860485,0.0141872153798005,0,0,0,0,0,0
X600690.SH,0,0.253821598734488,0,0.0871247426358846,0.233693314217487,0,0,0,0,0,0,0,0,0.00351703255565737,-0.0433382278452481,0,0,0,0,2.16840434497101e-19,0,0,0.256258044175292,0,0,0,0,0,0,0,0,0.0763663853182431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0283041765419933,-0.139579177791919,0,0,0,-0.018081317394415,-0.00252516091405114,0,0,0,0,0,0
