,X600519.SH,X600104.SH,X002415.SZ,X000858.SZ,X600276.SH,X000651.SZ,X002304.SZ,X000725.SZ,X600690.SH,X002475.SZ,X600703.SH,X000568.SZ,X600031.SH,X600741.SH,X000338.SZ,X300003.SZ,X000063.SZ,X600271.SH,X002236.SZ,X601877.SH,X600809.SH,X002008.SZ,X002456.SZ,X300124.SZ,X600867.SH,X000596.SZ,X600487.SH,X000100.SZ,X600566.SH,X000625.SZ,X600066.SH,X000661.SZ,X002294.SZ,X300136.SZ,X002179.SZ,X000157.SZ,X000977.SZ,X300142.SZ,X002180.SZ,X600498.SH,X002007.SZ,X000981.SZ,X300146.SZ,X002241.SZ,X000050.SZ,X000869.SZ,X600522.SH,X002049.SZ,X600779.SH,X600699.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.460620695850085,0,0,0,0,0,0.0215463666349481,0,0,0,0,0,0.0629841463271454,0,0,0,0,0,0.00862256134162855,0,0,0,0,0,0,0,0,0,0,0,0.000251411199311873,0,0,0,0,0,0,0,0,0,0.0924497789480631,0.0169649404584757,0,0,0,0,0,0,0.00131840622006383,0,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.136554759270056,0.277591267314513,0,0,3.75390836098687e-05,0,0,0,0,0,0,-0.0112837020651377,0.00585522812375274,0,0,0,0,0,0,0,0,0,0,0,0,-0.0341916720681086,-0.164187759800877,0,0.102623781325289,0,0,0,0,0,0,0,0,0,0.0600500428591034,0.0197258922508085,0.0503297338719019,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0.0254593639210127,0,0,0,0,0.069741514784121,0,0,0,-0.124090744905987,0,0.168042399997284,0,0,0.0254551587679376,0,0,0,0,0,0,0,0,0,0,0,0.176979435126511,0,0,0,0,0,0.148483541118133,0,0,0,0,0,0.0143311091293904,0,0,0.0727921093773339,0,0,0.016846730876882,0.051267229514142,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0.0555172867714179,0,0.218402170012531,0,0.162310373207881,0.0724445252518376,0,0,0,0,0,0,0,0,0.00591191959810263,0.042016601437208,0,0.116515957632998,0,0,0,0.197405237235066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0181962863877923,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0.00515080457454856,0.099767843046136,0,0,0,-0.0810761672280475,0,0,0,0,0,0,0,0,0,0,0,0.0780813956989825,0,0,0.211312648329432,0.118920988180754,0,0,0,0,0.032863247387618,0,0.117821808193236,0.0687294017214245,0,0,0,0,0,0,0,0,0,0,0.0420122512122849,0.0293940917494105,0,0,0,0,0,0
X000651.SZ,0,0.0406750946735033,0,0,0,0,0,0,0.231641267687649,0,0,0,0,0,0.213895695993495,0,0,0,0,0,0,0.122896196008285,0,0.000790238066612733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0148072177341582,0,-0.040175904259171,0,0,0,0,0,0,0,0,0,0,0.0142261449216662,0.0239547012153403,0,0,0,0,0,0
X002304.SZ,0,0,0,0.266935611015232,0,0,0,0,0.097289835749409,0,0,0.114605133456756,0,0,0,0,-0.0831448648884609,0,0,0.0447827750258327,0.219814794537075,0,0,0,0,0,0,0,0,0,0,0,0.125101120021939,0,0,0,0,-0.0637049547323084,0,0,0,0,-0.144508771983308,0,0,0,0,-8.67361737988404e-19,0.0869404242538659,0,0,0.0177142326831693,0.0178725710949607,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0358858846994287,0,6.7762635780344e-21,0,0,0,0,0,0,0,0,0,0.396604649192398,0,0,0,0,0,0,0,0,0.0674734354776081,0,0,0,0,0.161701717544252,-0.0808723040123749,0.10451316496114,0,0,0.150798510612023,0.042222244804312,0,0,0,0.00178327954090255,0,0,0,0,0,0,0
X600690.SH,0,0,0,0.542731248638542,0,0.00224451843732701,0,0,0,0,0,0,0,0,0,0,-0.0583224967536518,0,0.101885375997969,0,0,0,0,0,0.0881921376994036,0,0,0,0,0,0,0,0,0,0,0,-0.0946638562181407,0,0,0,0,0,0,0,0,0.113160089019254,0,0,0,0,0,0.00446310439619748,0.0256432837524816,0,0,0,0,0,0
X002475.SZ,0.0750263054105418,0.198835596226118,0,0.00147087304917824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.593993371314083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00267255886935629,0,0,0.0865811383947864,0,0,0,-0.0418884921641012,0,0,-8.67361737988404e-19,0,0,0,0.0126370409623203,0.00080121828684396,0,0,0,0,0,0
