,X600519.SH,X000858.SZ,X000568.SZ,X002415.SZ,X600809.SH,X600276.SH,X002475.SZ,X600690.SH,X002304.SZ,X000651.SZ,X000063.SZ,X300124.SZ,X600104.SH,X000725.SZ,X003816.SZ,X000625.SZ,X002371.SZ,X600031.SH,X000596.SZ,X300014.SZ,X002129.SZ,X000338.SZ,X002179.SZ,X600703.SH,X600089.SH,X000100.SZ,X002049.SZ,X000977.SZ,X002236.SZ,X600372.SH,X002241.SZ,X600584.SH,X600741.SH,X601877.SH,X000157.SZ,X000661.SZ,X600522.SH,X600702.SH,X002180.SZ,X002074.SZ,X000733.SZ,X300142.SZ,X002463.SZ,X000800.SZ,X600460.SH,X002007.SZ,X000066.SZ,X601799.SH,X002028.SZ,X600183.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.372658137931259,0.0936702874637402,0,0.022503408301566,0.0484341874507493,0,0,0,0.0902885785980343,-0.0746035772548868,0,0,-0.0426620536850366,0,0,0.0143630033902675,0,0,0.0155781228962874,0.0317388141133848,0,0,0,0,0,0,-0.0160578271534771,0,0,0,0,0,0,0,0,0,0,0.000945135655110759,0,0,0,-0.0162216634245908,0,0,0,0,0,0,0,0,4.33680868994202e-19,0.0196275386425301,0,0,0,0,0,0
X000858.SZ,0.123438527732331,0,0.549004805208424,0,0,0,0,0.0748063148891881,0.0225704461826951,0,0,0,0,0,0,0,0,0.00344140191669298,0,0,0,0,0,0,0,0,0,-0.0106524182561467,0,0,0,0,0,0,0,0,0,0.1009553063592,0,0,0,0,0,0,0,0,0.0642768871294492,0,0,0,0,-0.000463738213497944,2.71050543121376e-20,0,0,0,0,0,0
X000568.SZ,0.441629051034355,0.224605487996045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0584357293919952,0,0.145886960550156,0,0,0,0,0,0,0,0,0,-0.0341044887519969,0,0,0,0,0,0,0,0,0.245699463169682,0,0,0,0,0,0,0,0,0,-0.0359353790516253,-0.0861386301520357,0,0,-0.00963007649746824,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0.213901649798705,0,0,0,0,0,0,0,0,0,0,0,0,0.0656231303980686,0,0.040636595745613,0,0,0,0.190748817609962,0,0,0.0127566187634325,-0.0155461495870895,0.276452602560281,0,0,0,0,0,0,0.0202209024087185,-0.349839837294217,0.0505077670673771,0.36029765003362,0,0,0,-0.0983414096752445,0,0,0,0,0,0,0,0,0,-0.0267968666995164,0,0,0,0,0,0
X600809.SH,0,0.0477198549401471,0,0,0,0,-0.0170980484077317,0,0.394473009608249,0,-0.0674626292043688,0,0,0,0,0,0,0,0,0.105803203560684,0,0,0,0.0952663349999817,0,0,0,0,0,0.236928047471116,0,0,0,0,0,0.0363395544466128,0,0,-0.149899486392798,0,0,0,0,0,0.147409355450907,-0.0912527290264932,0,0,0,0,0,0.0683617270671723,0.116665602178869,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0.209282268031368,0,0,0,0,-0.328762712894123,0,0,0.275845871578494,0,0.128051019581559,0,0,-0.311146167809026,0.108533227256026,0,0,0.073621296478867,-0.288145690686232,0,0,0,0,0,0,0.127933404881174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0398716554634825,-0.0837402062700835,0,0,0,0,0,0
X002475.SZ,0,0,0,0.0119602409370531,0,0,0,0,0,0,0.0591980529350707,0.022696073567454,0,0,0,0,0,0,0,0,0,0,0,0.0652604267797565,0,0,0.153604893690472,0.0257114222564425,0.140706641757406,0,0.59121727042443,0.0545952477899447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0724225445963124,0,0,0,0,0,0
X600690.SH,0,0.214343274671312,0,0,-0.0253135669588312,0,-0.0274733325355844,0,0,0.0213117036728624,0,0,0,0.0124534476800435,0,0,0,0.0111639768912597,0,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0.0610295351680004,0,0,-0.0262326808377055,0,0,0,0,0,0,0,0,0,0,0,0,-0.0483299046235591,0.247177705719419,0.00552398747974946,0,0,0,0,0,0,0
X002304.SZ,0,0.149838991792885,0.327022226135724,0,0.0123425442580984,0,0,0,0,0,0,0,0,0.0445226030941165,0,0,0,0,0.116189154593213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0161566005198049,0,0,0,0,0,0,0,0,0.00358926464380317,0.0111953420452566,0,0,0,0,0,0
X000651.SZ,0.0185282124336971,0.0999561257058457,0,-0.0999506480169863,0,0,0,0.478921609852635,0,0,0,0,0,0,0,0.0674823716250041,0,0,0,0,0.0704226054692611,0,0,0,0,0,0,-0.0173666608977618,0,0,0,0,0,0,0,0,-0.0422838673986631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00994650308396498,0.00670201752183654,0,0,0,0,0,0
X000063.SZ,0,0,0,0,-0.110271666882721,0,0,0,0,0,0,0.107802328249834,0,0,0,0,0,0,0,0,0.302975616011895,0,0.0199205412102606,0,0,0,0,0.218963666869608,0.0912425783847688,0,0,0,0,0,0,0,0.175777898402931,-0.0392009237394592,0,0.105210419222874,0,0,0.0568234911041121,0,-0.0738118173522428,0,0.233985983738303,0,0,0,0,0.00175984641978865,0.0141046734881715,0,0,0,0,0,0
X300124.SZ,0,0,0,0,0,0.0635091167813498,0.119620053245011,0,0,0,0,0,0,0,0,0.168823878156479,0,0.0468193533774765,0,0,0,0,0,0,0,-0.226293807102586,0,0,0.0777242970147393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0193182451099978,0,0,0,0,0,0,0,0,0,0,0
