,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X000568.SZ,X002475.SZ,X002304.SZ,X600276.SH,X600104.SH,X600690.SH,X000651.SZ,X000725.SZ,X002371.SZ,X002129.SZ,X300124.SZ,X003816.SZ,X600031.SH,X300014.SZ,X002241.SZ,X002049.SZ,X000063.SZ,X000338.SZ,X600703.SH,X000596.SZ,X601877.SH,X002179.SZ,X000625.SZ,X600460.SH,X600089.SH,X000100.SZ,X000661.SZ,X600741.SH,X300142.SZ,X002180.SZ,X600702.SH,X002074.SZ,X600884.SH,X600522.SH,X000157.SZ,X000733.SZ,X000799.SZ,X002236.SZ,X002008.SZ,X600584.SH,X600779.SH,X600563.SH,X000977.SZ,X002414.SZ,X002007.SZ,X601799.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.291361392997224,0,0,0.079585720934232,0.051308166478036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.224591228946119,0,0,0,0,0,0,0,0,0,0,0.0278682475997904,0,0,0,0,0,0,0,0,0,0.0292987754813991,0,0,0,0,0,0,-0.0170922155965498,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0.186138410298973,0.0436646006194622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0425325438473155,0.116388399163542,0,0,0,0,0,0.146930416479456,0,0.0441797556979008,0,0,0,0,0,0,0,0,-0.0336170774977895,0.0419718876643425,0,0,0,0.00322521046098833,0,0
X002415.SZ,0,0.222413388084691,0,0,0,0.121016877803326,0,0,0,0,0,0,0.0176186185182277,0,0,0,0,0,0,0,0,0,0,-0.0574557470400467,0,0,0,0,-0.123821132764399,0,0,0,0,0.0517515968046828,0,0,0.0242727822743335,0,0,0,0,0,0,0,0,0,0.0571836714380735,0,0,0,0,0.0104599460862838,0.00108018118904372,0,0,0,-0.00804970715012723,0,0
X600809.SH,0,0,0,0,0.34867538296246,0,0.0493944960429999,0,0,0,0,0,0,0,0,0,0,0,0,0.0468151540957418,0,-0.442115381705612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.193345744619293,0,0,0,0.0426201115583236,-0.0372176260620625,0,0.0317327534755492,0,0,0.025196951632552,0.016415406347932,-0.00668324895244065,0,0,0,0,0,0
X000568.SZ,0.586047531813756,0,0,0.0581077015938031,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0422794293645844,0,0,0,0,0,0.0876672141283796,0,0,0,0,0,0,0,0,0.0490126036203884,0.00809183738596303,0.0506611134650726,0,0,0,0,0,0.0316306651968192,0,0.0469491461960713,0,0,0.000657365451763122,0.0410320064825307,0,0,0.112466390703365,0,0.0137155748129121,0.0194911276837357,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.345787379357983,0,0,0,0,0,0.342834318078569,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0216295545093214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0109103567715579,0,0,0,0,0.0539581692047819,0,0
X002304.SZ,0,0,0,0,0.0251262787388455,1.18537701695197e-05,0,0,0,0,0,0,0,0,0.00835218412040715,0,-6.7762635780344e-21,0.0127516663887569,0,0,0,0,0,0.253311943529907,0,0,0,0,0,0.0796580182662856,0,0,0.0489445019320074,0,0,0,0,0,0,0,0,0.0167324106568612,0,0,0.159292068301759,0,0,0,0,0,0,0,0.0137194280884774,0,0,0,0,0,0
X600276.SH,0.137724511244695,0,0.0329493735061197,0,0,0,0,0,0,0.212384899392205,0,0,0,0,0,0,0,0,0,0,0.252700686107966,0.0358198484609716,0.0352272702183233,0,0,0,0,0,-0.00957570736730383,0,0.0314016638766186,0,0.0594754115399861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0465882603398425,0,0,0,-0.0716684348519069,0,0
X600104.SH,0,0,0,0,0.0152690400674059,0,0,0,0,0,0,0,0,-0.00866383906733472,0,0,0,0,0,0,0,0.0133280463292538,0,0,0,0.00955264672055343,0.196963732808504,0,0,0.211318554146715,0,0,0,0,0,0,0,0,0.121754714429188,0,0,0,0,0,0.0165741241364641,0.00117953145638218,0,0,0,0,0,0,0,0,0,0,-0.00509781737249276,0,0
X600690.SH,0,0,0,0,0,0,0.0851752989494988,0,0,0,0,0,0,0,0,0,0,0,0.00864331714122726,0,0.117340871052881,0.194829312250755,0,0,0,0,0,0.0269098075561616,0,0,0,0,0,0,0.11075405355358,0,0,0.10801050762054,0,0,0.0969064006745183,0,0,0,0.0637189661436356,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0.0312843704939576,0,0.0766986693972634,0,0,0,0,0,0,0,0.145179203443517,0,0.161541949105013,0,0,0,0,0,0,0.0173042125254999,0,0,0,0,0,0.0689085508204051,0,0,0,0,0,0,-0.0925937586109734,-0.0470700526419644,0,0,0,0,0,0,0,0,0,0.00542130920380787,0.0548319182444953,0,0,0,-0.0119332957621192,0,0,0,0,0,0
