,X600519.SH,X000858.SZ,X000651.SZ,X600276.SH,X002415.SZ,X600104.SH,X002475.SZ,X003816.SZ,X002304.SZ,X000725.SZ,X000063.SZ,X600031.SH,X000568.SZ,X600690.SH,X000338.SZ,X000661.SZ,X600741.SH,X600703.SH,X600809.SH,X000596.SZ,X002241.SZ,X000100.SZ,X002236.SZ,X300003.SZ,X601877.SH,X600183.SH,X300124.SZ,X000625.SZ,X300014.SZ,X002371.SZ,X000157.SZ,X002007.SZ,X000066.SZ,X002008.SZ,X300142.SZ,X002456.SZ,X300136.SZ,X600271.SH,X002463.SZ,X002179.SZ,X000977.SZ,X002129.SZ,X002180.SZ,X600584.SH,X600177.SH,X000050.SZ,X600487.SH,X002049.SZ,X002508.SZ,X600066.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.193168202728381,0,0,0,0,0,0,0,0,0,0,0.0823520384963823,0.0150592839850185,0,6.93889390390723e-18,0,-0.00880714673901467,0.100178946369216,0.182322714265947,0,0,0,0.118606863389147,0,0,0,0,0,0,0,0,0,0,0.0916824293765956,0,0,0,-8.67361737988404e-19,-0.00228414652889281,0,0,0,0,0,-0.128795625591706,0,0,0,0,0,-0.0322389080687928,-0.0370794543639998,0,0,0,-0.02108284369045,0,0
X000858.SZ,0,0,0,0,0,0,0.0171158808838441,0,0,0,0,0,0.25063923872928,0.0121360698375909,0,0,0,0,0.167028329846224,0,0.03619694279715,0,0,0,0,0,0,0,0.0268513887512843,0.0406125383509751,0,0,0.0301496708313932,0,0.0580058955880321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00746101042894897,0,0,0,0,-0.0237588668153766,0,0
X000651.SZ,0,0,0,0,0,0.165828046061426,0,0,0,0,0,0,0,0.289790485858678,0,0,0,-0.0383044983205424,0,0,0,0.072092572435825,0,0,0,-0.101178822665509,0,0,0,0,0,0,0,0,0,0,0.0579292351519948,0,-0.0950013790579119,0,0,0.0257515372615483,0.159905844453448,0,0,0,0,0,0,0,0,0,0.0125626108764813,0,0,0,-0.0289034541609715,0,0
X600276.SH,0.179802166737786,0,0,0,0,0,0,0,0,0,0,0,0,0.0679495167127136,0,0.251511346645866,0,-0.0109705831341725,0.0316083288039253,0.111003977205786,0,0,0,0,0,0,0,0.138133696102227,0,0,0,0.139988737627367,0,0,0,-0.00379907937028573,0,0,0,0,-0.101297888348468,0,0,0,0,0,0,0,0,0,0,0.0133089177770106,-0.00890004281220323,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0.108540735171721,-0.124959542903749,0,0,0,0,0,0,0,0,0,0,0,-0.0313760914513023,0.0300299971962391,0,0.253310216240637,0,0,0,0,0,0,0,0,0,0,0.0759259406397783,0,0,0.164271372814928,0,0,0,0.0933593314290353,0,0,-0.159790994836714,0,0,-0.0103111433894652,0,0,0,0,0.0492822413829031,-0.00613275566515188,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,-0.000757099827724211,0,0.0161866065078179,0,0,0,0,0,0.0160401068016078,0,0.0189443378009706,0,0.0373464058543097,0,0,0,0.139881555104958,-0.0380148557255605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0504033596598603,0.093661936183011,0,0,0,0,0,0,0,0.0120526586700445,0,0
X002475.SZ,0,0,-0.112517923447156,0,0,0,0,0,-0.0980175640399907,0,0,0,0,0,0.0526141309728182,0,0,-0.126584807699348,0,0,0.408786340140726,0,0,0.0348482672270354,0,0,0,0,0.036030014909219,0,0,0,0.184038160843739,0.152297256417001,0,0,0.0271181012639009,0,0.11540502624411,0,-0.0834772160103937,0,0,0,0,0,0,0,0,0,0,0,0.0382114250685077,0,0,0,0.00863487819078209,0,0
X003816.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.129584983891797,0,0,0,-0.00797142793182254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.157371210754165,0,0,0.084604744864988,0,0,0,0.0181483646973226,0,0,0,0,0,0,0.0252862745354898,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0,0,0,0.0772536642682116,0,0.0279519578142477,0,0,0,0,0,0,0,0,0,0.114840995010818,-0.0262110284478525,0,0,0,0,0.0467301386813547,0,0,0,0,0,0.220076894007838,0.00326061836948145,0,-0.0532395448772531,0,0,0,0.0241028350893693,0,0,-0.015934128910755,0,0,0,0,0,0.0175871136252579,0,0,0,-0.0304587379026431,0.0159950583138329,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22615616657778,0,0,0,0,0,0,0.0884010122622848,0.00978508209468961,0,0,0.0259901192906619,0,0,0.0207086962910872,0,0,0.0778137962026046,0,0.066436354565885,0,0.0232572246504082,0.0525850330850031,0,0,0,0,0,0,0,0,-0.0169060181048357,0,0,0,0,0,0
