,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X000568.SZ,X002475.SZ,X600276.SH,X600690.SH,X002304.SZ,X600104.SH,X000651.SZ,X600031.SH,X300014.SZ,X000725.SZ,X002241.SZ,X300124.SZ,X000063.SZ,X000338.SZ,X003816.SZ,X600703.SH,X002371.SZ,X002129.SZ,X002049.SZ,X000596.SZ,X000625.SZ,X000661.SZ,X601877.SH,X300142.SZ,X002179.SZ,X600741.SH,X000100.SZ,X002074.SZ,X600089.SH,X600702.SH,X002180.SZ,X600460.SH,X002236.SZ,X000157.SZ,X000799.SZ,X600884.SH,X000733.SZ,X601799.SH,X002414.SZ,X600779.SH,X002007.SZ,X600183.SH,X600584.SH,X002008.SZ,X600522.SH,X000977.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.501978404727981,0,0,0,0.0158307254651335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166265094163071,0,0,0,0,0,0,0,0.00901108943710351,0,0,0,0,0,0,0,0,-0.00888282902148566,0,0,0,0,0,0,0,-0.0449150765028135,0,0,0,-0.00657095358477503,0,0,0,0.0106844575592493,0,0
X000858.SZ,0.0663485402744236,0,0,0.213719366721888,0,0,0,0,0.186621240514783,0,0,0,0,0,0,0,0,0,0,0.104668638415062,0,0.128338746332494,0,0.0796284953152243,0,0.203540957378022,0,0.0202896549505919,0,0,0,-0.0319110585841642,0.00600678044383063,0.145132481109696,0,0,0,0,-3.46944695195361e-18,0,-0.087031146140775,0,-0.034071900424443,0,0,0,0,0,-0.0764179941769948,0,0,-0.0077398985868821,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0.263772566435407,0,0,0.244070153172695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015883108679065,0,0,0,0,-0.109827863726126,0,0,0.203157740736615,0,0,0.0270858255310115,0,0,0.0794546932739563,0,0,0,0,0,-0.0365228104279906,0,0,0,0.0234223926388519,0,0,0,-0.0333399780360493,0,0
X600809.SH,0,0.38869974788847,0,0,0.0738862090738236,0,0,0,0,0,0,0,0,0,-0.10672483031716,0,0,-0.301518455373278,0,0,0,0,0,0,0,0,0,0,-0.176138009336997,0,0,0,0,0.192842255805721,0,0,0,0,0.183560427724409,0,0,0,0.10607451462867,0.00859895510331359,0,0,0,0,0,0,0,-0.00285277401835099,4.33680868994202e-19,0,0,0,0,0,0
X000568.SZ,0,0,0,0.0405782219929756,0,0,0,0,0,0,0.169888139583176,0,0,0,0,0,0,0,0,0,0,0,-0.0201390540175058,0.439740370910335,0,0.13474364613565,0,-0.0641012087354724,-0.0773210775450981,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.233053603241421,0.0428832593607914,0,0,0,0,-0.0436982963306967,0,0,0.0249277750190578,0,0,0,0,0.0689296442003076,0,0
X002475.SZ,0,0,0.0518982366809362,0,0,0,0,0,0,0,0,0,-0.0925065277591712,0,0.24256869619254,0.190172384082979,0,0,0,0,0.0220022507544541,0,0,0,0,0,0,0,0,0.019489027999041,0,-0.0652669682837362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148503771555195,0,0,-0.00686662474428792,-0.025718465545014,0,0,0,0,0,0
X600276.SH,0,0,0.0618055974306884,0,0,0.136094571280006,0,0,0,0,0,0,-0.0150381719279042,0,0,0,0,0,0,0,0,0,0,0,0.0653507053152134,0,0.207715792286983,0,-0.0731221007079778,0.0070138632075935,0,0,0,0,0,0,0,0,0,-0.155256182590084,0,0,0,0,0.250175908625549,0,0,-0.0728871787514129,0,0,0,-0.023503238261014,0.0331689839365474,0,0,0,0,0,0
X600690.SH,0,0,0,0,0.1079461713355,0,0,0,0.0238662417972172,0,0,0,0,0,0,0,0,0,0,0,0,0.0558269811744401,-0.101601867308458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.177825971767922,0.00444681441236527,0,0,0,-0.00677197299991045,0,0,0,0,0,0,0,0,0.000142454342444275,0,0,0,0,0,0,0
X002304.SZ,0,0.275595897567523,0.121813933072326,0.149775743582247,0,0,0,0,0,0,0,-0.109480201804699,-0.0413804225825174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0303143465966055,0,0,0.0607056902228494,0,0,0,0,-0.0815368026537329,0,0,-0.00801450064795234,0,0,0,0,-0.0283130266773833,0,0
X600104.SH,0,0,0,0,0.0689896230254322,0.0982510893082388,0,0,0,0,0,0.175907895122911,0,0,0.0170723722391318,0.0371629656064341,0,0,0,0,-0.112055620967487,0,0,0,0.0450328314734497,0,0,-0.0562393365473269,0,0,0,0,0,0,0,0.0916914854620001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00370452456037459,0,0,0,-0.0141421618545497,0,0
