,X600519.SH,X600104.SH,X002415.SZ,X000858.SZ,X600276.SH,X000651.SZ,X002304.SZ,X000725.SZ,X600690.SH,X600703.SH,X000568.SZ,X002475.SZ,X600741.SH,X000063.SZ,X000338.SZ,X300003.SZ,X600031.SH,X600809.SH,X002236.SZ,X002008.SZ,X600867.SH,X601877.SH,X300124.SZ,X000596.SZ,X002456.SZ,X600271.SH,X600566.SH,X000661.SZ,X600487.SH,X600066.SH,X000625.SZ,X000100.SZ,X002294.SZ,X300136.SZ,X002179.SZ,X300142.SZ,X002007.SZ,X002180.SZ,X002241.SZ,X000977.SZ,X000157.SZ,X000981.SZ,X600498.SH,X000050.SZ,X002049.SZ,X000869.SZ,X600779.SH,X600522.SH,X600177.SH,X002508.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.191739279445708,0,0.166549064193944,0,0,0,0,0,0,0,0,0,0,0,0.0235021821597375,0,0.0250633122197599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0681891825760459,0,0,0,0,0,0,0.0437742631873579,0,0,0.0977189893417287,0,0,0,0,0,0.0081764791009952,0.0015308140417858,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,0.0720156270418531,0.139573321040787,0,0,0,0.187283803657763,0,0,0.0031016757072372,-0.0248367369572832,0,0.0248578815535707,0,0,0,0,0,0,0,0,0,0,0.0284599376355657,0,0,0,-0.0250854651299712,0,0,0,0,-0.142044359806197,0,-0.00786126557080365,0,0,0,0,0,0,0.0186706879321111,0.0314171617514706,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0.00914646288786659,0,0,0,0,0,0.0290811016381659,0,-0.134778607325665,0,0,0.010578635363598,0,0.175653735941271,0,0,0,0,0,0,0,0,0,0.102844669344545,0,0,0,0,0.109920179080338,0,0.0412891331314563,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12606591802859,0,0.02028612340701,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0.0562835318693567,0.168744367409364,0.121669756223311,0,0.27220612448293,0,0,0.00954627777864731,0,0,0,0,0,0,0.101799999960892,0,0,0.0283194320635425,0,0.0995080290774438,0.0183742686768231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0122777800223736,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0.0560696469253534,0,0,-0.0200907097902842,0,0,0,0,0,0,0,0,0,0,0,-0.0145007426360175,0,0.30308417848722,0,0,0,0,0.0615659258773166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.134817887564772,0,0,0,0.0374290411136287,0.0173687898949585,0,0,0,0,0,0
X000651.SZ,0,0,0,0.535929632480845,0,0,0,0,0,0.373798168617494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0193693980951194,0,0,0,0,0,0,-0.0969931642521458,0,-0.227449481226094,0,-0.00887791670331293,0,0,0,0,0.159400506253882,0,0,0.070639146609676,0,0,0,-0.0281321112017229,0.0554513300726497,0,0,0,0,0,0
X002304.SZ,0.124029461493,0,0,0,0,0,0,0,0.159695791361014,0,0,0,0,-0.0696593901581056,0.0641016599462913,0.149284984188595,0,0.355576149567727,0,0,0,0.102323877676926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0456232722569955,0.0299178950405899,0,0,0,0,0,0,0,0,0.129408711613952,0,0,0,0,0.0194865965936733,0.0425869863371251,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.320019222913988,0,-0.00629337099774229,0,0,0.0058743899926259,0,0,-0.141762383067216,0,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0.157885889319424,0.0762426204216623,0,0,0,0.27965748395322,0,0,-0.0390792116429361,0,-0.0729375085747148,0,0,0,0,0,0
X600690.SH,0,0,0,0.322879220531707,0,0,0.180973189991057,0,0,0,0,0,0,0,0,0,0,0,0.0112272890725095,0,0,0,0,0,0.0976824042516628,0,0,0,0,0,0,0,0,0,0,0.0360828317139026,0,0,0,-0.0510340379808959,0,0,0,0,-0.00857641977122696,0.136704479840257,0,0,0,0.089601271877102,0,0,0.026658868772786,0,0,0,0,0,0
X600703.SH,0,0,0,0,0,0.0308140889541877,0,0.0636875470145744,0,0,0,-0.343446513801832,0,0,0,0,0,0,0,0,0,0.00707955061474557,0,0,0.500059442553929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16185390220281,0,0,0.226025320777319,0.0427329941670734,0,0,0,0.0032060705915531,0,0,0,0,0,0,0
X000568.SZ,0,0,0,0,0.139787081004147,0.0484715657145433,0,0,0.265437721686191,0,0,0,0,0,0.0702311479629493,0,0,0,0,0,0,0,0,0.208395203088713,0.016377043276163,0,0,0,0,0,0,0,0,0,0,-0.0809929495140737,0,0,0,0,0,0,0.0419892282120143,0,-0.0287863062608441,0,0.0533173961406488,0.0282984567314588,0,0,0,0.0155589416172164,0.0084229249765438,0,0,0,0,0,0
X002475.SZ,0,0.130005050796842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.685733548691575,0,0,0,0,0,0,0,0,0.0731248125299918,0,0,0.0534311641555931,0,0.0313575516560211,0,0,0,0,-0.118491375955584,0,-2.71050543121376e-20,0,0,0,0,0,0.00413249168747273,0.016485980764954,0,0,0,0.0502126656969473,0,0
