,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X000568.SZ,X002475.SZ,X600276.SH,X002304.SZ,X600104.SH,X600690.SH,X000651.SZ,X000725.SZ,X002371.SZ,X002129.SZ,X600031.SH,X300124.SZ,X003816.SZ,X300014.SZ,X002049.SZ,X002241.SZ,X600703.SH,X000338.SZ,X000063.SZ,X002179.SZ,X000596.SZ,X601877.SH,X000625.SZ,X600460.SH,X600089.SH,X300142.SZ,X000661.SZ,X000100.SZ,X600741.SH,X600522.SH,X600702.SH,X002180.SZ,X000157.SZ,X600884.SH,X002074.SZ,X000733.SZ,X000799.SZ,X002236.SZ,X600584.SH,X600779.SH,X002008.SZ,X600563.SH,X002007.SZ,X000977.SZ,X002414.SZ,X601799.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.380347676976754,0,0,0,0.0307427688588631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.190027469564609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0115528563844202,0,0.0892063006207413,0,0,0,0,0,0,0,-0.0181900021166628,4.33680868994202e-19,0,0,0,0,0,0
X000858.SZ,8.67361737988404e-19,0,0,0,0.182494570234549,0,0,0.150866990540771,0,0.120110302632638,0,0,0,0,0,0,0,0,0,0,0,0,0.00436582976868351,0,0.0203270266704899,0,0,0,0,0,0,0,0,0,0.095207916244711,0,0,0,0.00166883561176625,0,0.0174038146671652,0,0,0,0,0,0,0.0831415710636056,0,0.0990407028317966,0,0,0.0234996178452258,0,0,0,0.0362997405288023,0,0
X002415.SZ,0,0,0,0,0,0.136719421429135,0,0.150878073498838,0,0,0,0,0,0,0,0.067079197735256,0,0,0,0,0,0,0,0,0,0,0,0,-0.100137207487958,-0.0486598264782132,0.032417461363443,0,0,0,0.00836916814526058,0.0801467864669082,0,0,0,0,0,0,0,0,0,0,0,0.180033783940978,0,0,0,0,0.0161256995297327,0,0,0,-5.42101086242752e-20,0,0
X600809.SH,0,0,0,0,0.394140376458183,0,0,0.2082947903122,0,0,0,0,0,0,0,0,0,-0.0936489266007659,0.0804891227318366,0,0,-0.22432879646344,0.0133501099392258,0,0,0,0,0,0,-0.159408929641875,0,0,0,0,0.104719529454209,0,0,0,0,0,0.0933015913609927,0,0,0,0,0,-0.00420319509887844,0,0,0,0.0742432603835726,0.0194651476260451,0,0,0,0,0,0,0
X000568.SZ,0.179751125140766,0.189948854860812,0,0.0735707885907258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.208461819057171,0,0,0,0,0,0,0,0,0,0,0.118903444514178,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0.0175706248427605,0.0335645548817568,0,0,0,0.0407129004801798,0,0
X002475.SZ,0,0,0,0,0.048781272434512,0,0,0,0,0,0,0,0.363233644434741,0,0,0,0,0,0,0.254227838389533,0,0,0,0,-0.038531181966941,0,0,0,0,0,0,0,0.00652550288996639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0377141955955455,0,0,0,0,0.00729388180384379,0,0
X600276.SH,0.146103896413682,0,0.0260326558671912,0,0,0,0,0,0,0.235583680509565,0,0,0,0,0,0,0,0,0,0,0.0143146901724289,0.0465158969090071,0.243305518128229,0,0,0,0,0,-0.0187381015687677,0.0516440383438426,0.0221312848011712,0,0,0,0,0.0260187413227794,0,-0.0288109628020262,0,0,0.0174162027531265,0,0,0,0,0,0,0,0,0,0,0,-0.0495195921361813,0,0,0,-0.0776070709786088,0,0
X002304.SZ,0.286205944789167,0,0,0.0661063300150123,0,0,0,0,0,0,0,0,0,0,0,0.222379011470122,0,0,0,0,0,0.0489510174310085,0,0,0.125944444213948,0,0,0,0,0,0,0,0.0831826078319811,0,0.0526710883633685,0,0,0,0,0,0,0,0,0.10912311260984,0,0,0,0,0,0,0,-0.0752037324592593,0.0843252495273058,0,0,0,0.0163869328080597,0,0
X600104.SH,0,0,0,0,0,0,0,0.0638973747541739,0,0,0,0,0,0,0,0,0.0523138921998192,0,0,0,0,0.107636441489821,0,0.00393044214576003,0,0,0.100458501784678,0,0,0,0,0.242807021751035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00183237455122157,0,0,0,0,0,0
X600690.SH,0.0556415964498113,0,0,0,0,0,0,0.123034929656287,0,0,0,0,0,0,0.039405585824775,0,0,0,0,0,0,0.171899229282729,0.11587817935933,0,0,0,0,0,0,0,0,0,0,0.131185619352802,0.0676308987292934,0,0,0,0,0,0.0858558857510652,0,0,0.0379885746410119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
