,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X600276.SH,X002475.SZ,X000651.SZ,X000568.SZ,X600031.SH,X002304.SZ,X600690.SH,X600104.SH,X300124.SZ,X300014.SZ,X000725.SZ,X600703.SH,X000338.SZ,X002371.SZ,X000063.SZ,X002129.SZ,X000625.SZ,X002241.SZ,X300142.SZ,X003816.SZ,X002049.SZ,X000661.SZ,X601877.SH,X000100.SZ,X002179.SZ,X000596.SZ,X600460.SH,X000157.SZ,X002074.SZ,X000799.SZ,X002414.SZ,X600702.SH,X002007.SZ,X600741.SH,X600584.SH,X600183.SH,X002236.SZ,X600089.SH,X601799.SH,X600779.SH,X000800.SZ,X300146.SZ,X600884.SH,X000066.SZ,X000733.SZ,X300003.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.31440550083503,0,0.0397581166494899,0,0.00954901316240741,0,0.0765873219316469,0.102638857235456,0.053568962859849,0.00598879186343308,0,0,0,0,0,0,0,0,0.0252321154108899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0962868501201545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0272584618992969,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0.0730690447662878,0,0,0.20722614371886,0.166161931808337,0,0,0,0,0.0525680492109559,0,0,0,0,0,0,0,0,0,0,0,0.0908860594116147,0,0,0,0,0,0,0.0481438661095201,0,-0.149158524723702,0.0424580505863034,0.0179638008592874,0,-0.138958979623951,0,0,0,0,0.11810766497284,0,0,0,0,0,0,0,0,-0.0393202363059288,0,0,0,0,0,0
X002415.SZ,0,0.0391148085930072,0,0,0.131839570937116,0.0162377127253313,0,0,0,0.092564735483176,0,0,0.0499810488204659,0.162077454029781,0,0.0402519514416583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0987626795915452,0,0,0,0.00579413653912994,0,0,0,0,0,0.111432083253593,0,0,0,0,0,0,0,0,0,0
X600809.SH,0,0.179548830226389,0,0,0,0,0,0.0619321774140993,0,0.183767192587398,-0.170650261285976,0,0.114308187785521,-0.0419608023787574,0,0,0,0,0,-0.133947616790191,0,0,0,0,0,0,0,0,0,0,-0.0466344691698267,0,0,0.42923735746021,0,0,0,0,-0.067790930235948,0,0,0,0,0.061227441997979,0,0,0,-0.0531645717651563,0.0546188163810541,0,0,-0.0674795545045909,0.0755791884313979,0,0,0,0,0,0
X600276.SH,0,0.216336203384551,0,0,0,-0.213344931012799,0,0,0.14272420714494,0,0.0121930617821118,0,0.148910010086321,0,0,0,0,-0.0231632974672722,0,0,0,0,0,0,0,0.0702847667920063,0,0,0,0,0,0.0459488694686157,0,0,0.260891839935062,0,0,0,0,-0.156221514304805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0.0304635134891023,-0.130555033554129,0,0,-1.73472347597681e-18,0,0,0,0.00179497827842318,0,0,0,0.123083319118306,0,0,0.21181091944859,0,0,0,0.0778784735722758,0,0,0,0,0,0,-0.0369536671068598,0,0,0,0,0,-0.0197526966029963,0.294451099805362,0,0,0.0442446944010441,-0.0603015972388626,0,0,0,0,-0.00622004216761547,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0.0171588812876561,-0.101430664086989,0,0,0.0734687531302165,0,0,0,0,0,0,0,0,-0.00195754793105573,0.120911726694068,0,0,0,0,0,0,0.0507632604533342,0,0,0,-0.104924403596421,-0.00807228597208341,0,0,0,0,0.0714107093523974,0,0,0,0,0,0,0,0.0537479184581427,0,0,-0.0196363094150617,0,0,0,0,0,0.126322434858867,0,0,0,-0.0639834128647584,0,0
X000568.SZ,0,0.12653562870241,0,0.0960745198376079,0,0,0,0,0,0.134667457961193,0,-0.0566693130877147,0,0,0,0,0,-0.0735941822901444,0,0,0,0,0,0,0,0,0,0,0,0.123532488064672,0,0,0.0278996796624447,0,0,0,0,0,0,0,0,0,0,0.138751341629849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600031.SH,0,0.0336242212671417,0,0,0.132898245942897,0,0,0,0,0.0351373030672097,0,0,0.0313527733937229,0,0,0.100137125946556,0.0672755778356266,0,0,0,0,0.0082958802812496,0,0,0,0,0,0,0.0940718203858475,0,-0.0325292837085476,0.246540616998954,0,0,0,0.0904223492759037,0,0.0451207233456464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136303037307552,0,0
X002304.SZ,0,0,0,0.358577480715646,0,0,0,0.307993129205887,0,0,0,0,0,-0.080200656125496,0,0.165422423312437,0,0,0,0,0,0,0,0,0,0,0,0,0.0132085295100459,0,0,0,0.0232692168383038,0,0,0,0.0796637039103776,0,0.0722950746474354,0,0,0,0,0,0,0,0,0.136030361872023,0.0557398975288445,0,0,-0.0903496765810084,0.0351649785715643,0,0,0,0,0,0
