,X600519.SH,X000858.SZ,X002415.SZ,X600276.SH,X000568.SZ,X600031.SH,X000651.SZ,X002475.SZ,X600809.SH,X002304.SZ,X600690.SH,X600104.SH,X000725.SZ,X000338.SZ,X000661.SZ,X300014.SZ,X300124.SZ,X000063.SZ,X003816.SZ,X000596.SZ,X000100.SZ,X600703.SH,X000157.SZ,X002241.SZ,X002371.SZ,X000625.SZ,X002007.SZ,X002129.SZ,X600741.SH,X300142.SZ,X002179.SZ,X601877.SH,X002049.SZ,X002236.SZ,X600584.SH,X002414.SZ,X300003.SZ,X600183.SH,X601799.SH,X000800.SZ,X002008.SZ,X002074.SZ,X000799.SZ,X600089.SH,X000977.SZ,X000066.SZ,X002294.SZ,X000050.SZ,X600177.SH,X600118.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.214089301118686,0.0525542541369568,0,0.148326840808913,0,0,0,0.0438392531948011,0,0.0688357229296403,0,0,0,0,0,0,0,0,0,0,0,0.0698970220992046,0,-0.0951989952133956,0,0.0606675244837766,0,0,0,0,0,0,0.0676085267875063,0,0,0,0,0.00188143132560848,0,0,0,0,0,0,0,0,0,0,0,0,-0.00450994940122088,-0.00647823400588124,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0.39353001934233,0,0,0,0.147409075783438,0.0672017053273752,0,-0.0127910493300226,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0348582034754832,0,0,0,0,0,0,0,0,0,0.0104370422933067,0,0,0,0,0,0,0.0908812335454709,0,0,0,0,0,0,0,0,-0.0016249231145046,-0.0248849589163479,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0.154164191412151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0308186568707692,0.207257099839588,0,0,0,0,0,0,0.473695771945563,0,0,0,0,0,0,0,0,0.042566630432895,0,0,0,0,0,-0.0423654299988347,0,0,-0.00602042029265006,0,0,0,0,-0.0309600252562751,0,0
X600276.SH,0,0,0.13121048570012,0,0,0,0,0,0,0,0,-0.0405877346237082,0,0,0.0333232608098416,0,0.0487921808354717,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0794273516338459,0,0,0,0,0,0,0,0.00948857738711195,0,0,0,0,0,0,0,0.145427371767126,0,0,0,0,-0.00353596263019581,0,0,0,0,-0.0448837256157947,0,0
X000568.SZ,0,0.273703228082141,0,0,0,0,0,0,0,0.16427950920032,0,0,0,0,0,0.0414014493262799,0,0,0,0,0,0,0,0,-0.0640572975930784,-0.10866477709033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.355012382291098,0,-0.0464454363018553,0,0,0,0,0,0,0.00159351047304623,0,0,0,0,0.00970096074918719,0,0
X600031.SH,0,0,0,0,0,0,0,0,0.119664727022828,0,0.159395525880698,0,6.93889390390723e-18,0,0,0,0.0586174239450628,0,0,0,0,0.0982263494711563,0.225543149746769,0,0.0211277447251463,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0.0533757330376645,0,0,0.0414012455319977,0,0,0,0,0,0,0,0,0,-0.0159883494661887,-0.0118046687846508,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0.13606949884308,0,0,0,0,0,0.00913059573897853,0,0,0,0,-0.0624609923699417,0,0,0,0,0,0.0477072268129151,0.167885043476951,-0.0209552635356979,0,0,0,0.0747706901194769,0,0.00344387774574242,0,0,0,0,0,0,0,0,0,0,0,0.0352203082393963,0,0,0,0,0,0,0,0,0,-2.16840434497101e-19,0,0,0,0,0,0,0
X002475.SZ,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0.00419431021619766,0,0,0,0,0,0,0.0988799195542628,0.174165155211103,0,0,0.10280595780896,0,0,0,0,0,0,0,0,0,0,0.03318278841514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0096108129706341,0,0,0,-0.068148900508758,0,0
X600809.SH,0,0,0,0,8.67361737988404e-19,0.220494812281938,0,0,0,0,0.293160016295562,0,0,0,0,0.00554404464226844,0.0191899547119072,0,0,0.0735996251443738,-0.0828480250208932,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.161070387650229,-0.214807974687699,0,0,0,0,0,0.190338660421382,0.162943225543729,0,0,0,0,0,0,0,0,0,-0.087129676701232,0,0,0,0.0743465009672361,0,0
X002304.SZ,0,0.148599772556497,0,0,0.154178851815633,0,0,0,0.137149035267989,0,0,0,0,-0.0492687029056281,0,0,0,0,0,0.0231466230614582,0,0,0,0,0,-0.0859318053483263,0,0,0,0,0,0,0,0,0,0,0.0274584186134877,0,0.221002701864386,-0.126330787986607,0.014888091485761,0.0251523715883381,0.12737366252646,0,0,0,0,0,0,0,0,-0.0451214633199039,0,0,0,0,0.0404553244824221,0,0
X600690.SH,0.0650867977724192,0,0.139294649028734,0,0.0267867191268906,0,0,0,0.373528254652712,0,0,0,0,0,0.144272641774184,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0907678297130626,0,0,0,0,0,0,0,0,0,0,0,0,0.0150764389452927,0,0,0,0,0,0,0,0,0,0,-0.0071539157991303,0,0,0,0.045068050931753,0,0
