,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X600276.SH,X000568.SZ,X600690.SH,X000651.SZ,X003816.SZ,X002475.SZ,X600104.SH,X300124.SZ,X000725.SZ,X002304.SZ,X000338.SZ,X002371.SZ,X000625.SZ,X600031.SH,X000596.SZ,X000063.SZ,X000100.SZ,X600089.SH,X300014.SZ,X002179.SZ,X000157.SZ,X600703.SH,X002236.SZ,X600741.SH,X002241.SZ,X600372.SH,X002129.SZ,X000661.SZ,X002049.SZ,X000977.SZ,X002028.SZ,X002463.SZ,X600584.SH,X601877.SH,X600522.SH,X000800.SZ,X601799.SH,X000921.SZ,X600066.SH,X600183.SH,X002007.SZ,X002223.SZ,X600177.SH,X002074.SZ,X600460.SH,X600060.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.32160255170955,0.0359576463533551,0.107682816321171,0,0,0,0.134964701982106,0,0,0,0,0,0,0,0,0,0,0,0,0.0861634670054525,0,0,0,0,0,0,0,0.0120573134114771,0,0,-0.0337196055215995,0,-0.00774594376385809,0,0,0,0,0.128999703713327,0,0,0,0,0,0,0,0,0,0,0.0170084265324636,-0.0156742576160476,0,0,0,0,0,0
X000858.SZ,0,0,0.0281115137697437,0.096311085196706,0.0222275905174688,0.368607800010528,0.148204419150449,0,0,0,0,0,0,0,0,0,0,0,0.00949671802718808,0,0,0,0,0,0,0,0,0,0,0,0.0978525637052801,0,0,0.0396167766227202,-0.0952856817075799,0,0,0,0,0,0,0,-0.0713294500858818,0,0,0,0,0,0,0,0,0,0.000636304893021107,0,0,0,0,0,0
X002415.SZ,0,0,0,0.0264648317561291,0,0,0,0,0,0,0,0.215697933687483,0,0,0,0,0,0,0,0,0,0,0.156509063381917,0.106736688470927,0,0,0.134251874789108,0,0,0,0,0,0,0.0680732056803561,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0282296347710502,0,0,0,-0.00672481998823891,0.00443971438698812,0,0,0,0,0,0
X600809.SH,0,0,0,0,0,0.447225968643614,0,0,0.109046051418093,0,0,0,0,0,0,0,-0.0135554504728316,0,0.489208771524249,0,0.0908683122269639,0,0.0521864048396505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.014370105008112,0,0,0,-0.184910530828966,0,0,0,0,0,0,0,-0.0511073518445895,0.0296647181053809,0.125354833901493,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.154481126986601,0,0,0,0,0,0,0,0,0.0169595251782665,0,0,0,0,0,0,0,0.399982569112126,0,-0.019940451346645,0,0,0,0,0,0,0,0,0.141091074129512,0,0.082857510037252,0,0,0,0,0,0,-0.0261435295143252,0,0,0,0,0,0,0
X000568.SZ,0.0653391069282699,0.796043313121624,0,0.12268666854128,0,0,0,0,0,0,0,0,0,0,0,0,0.0101247656111299,0,0,0,0.147875744432135,0,0,-0.086776343661152,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0.103460705392203,0,0,0,0,-0.0402422536363352,0,0,0,0,0,0,0,0,0,0.0147417251887843,0,0,0,0,-0.120538461405206,0,0
X600690.SH,0,0.0560689544216026,0,0,0,0.289630059798439,0,0.133239514631847,0,0,-0.0141301364504451,0,0,0,0.092249729516494,0,0,0,0,0,0,0,0,-0.00863457422956353,0,0,0,0,-0.0275493885843085,0,-8.67361737988404e-19,0,0,0,-0.0399311128190091,0,0,0,0,0,0,0.0533460623381096,0,-0.0125879028596361,0,0,0,0,0,0,0.0125867963116792,-0.00962679345664373,0.0311729484929735,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0.458006587928938,0,0,0,0,0,0,0,0,0,0.0101886173388052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0314484703103232,0,0,0,0,0,0,0.112393902717958,0.207479421346142,0,0.0468805533594352,0,0,0,0,0,0.119156078210416,0,0.00644757901017325,-4.33680868994202e-19,0,0,0,0,0,0
X003816.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0974069533509441,0,0,0,0,0,0,0,0.11456141694354,0,-0.122423351703012,0,0,0.1724058924396,-0.0938900974863584,0,0,-0.00388870186281477,0,0,0,0,0,0,0,0.239422088768811,0,0,0,0,0,0,0,0,0,-0.0243613118371458,0,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0.167837816950598,0,0,0,0,0,0,0,0,0,0,0.0102130515975749,0,0,0,0,0,0.112088213589171,0,0,0,0,0,0.348356514732791,0,0,0,0,-0.077024853947006,0,0,0.0131209398857907,0,0,0,0,0,0,0.231084788213724,0,0,0,0,0,0,0,-0.0207207168549351,0,0,0,0,0,0,0
