,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X000725.SZ,X600276.SH,X002304.SZ,X600690.SH,X000063.SZ,X000625.SZ,X600703.SH,X000568.SZ,X600741.SH,X002475.SZ,X600031.SH,X002236.SZ,X002241.SZ,X000338.SZ,X600066.SH,X000100.SZ,X002456.SZ,X601877.SH,X002508.SZ,X300124.SZ,X600271.SH,X002085.SZ,X600089.SH,X600118.SH,X600177.SH,X000157.SZ,X300136.SZ,X002007.SZ,X300003.SZ,X600522.SH,X600372.SH,X002294.SZ,X002008.SZ,X000981.SZ,X600867.SH,X600487.SH,X600699.SH,X000066.SZ,X002074.SZ,X300115.SZ,X600566.SH,X600809.SH,X000559.SZ,X002180.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0,-0.1213624015223,0,0.118799100332669,0,0,0,0,0.212901118441967,0,0,-0.0880204054574409,0.0445090947132931,0,0,0,0,0.0724607854386411,0,0,-0.0385482705136275,0,0,0.07892488537873,0,0,0,0,0,0,0,0,0,0,0,0,0.12233340716557,0,0,0,0.0318628857620088,0,0.00740178745016128,0,0,0,0,0.00205421258919468,0,0,0,0,0,0
X600104.SH,0,0,-0.0927294555855468,0,0,0,0.0731201138766262,0,0.160896272039514,0,0,0.363594763804464,0,0.353337187933312,0,0,-0.0194341735978267,0,0,0,0,-0.0219477970754295,0,0.0258066794927124,0,0,-0.166841633135934,0.0584594643317158,0,0,0,-0.0657046690498644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.031526963428569,0.155377762897431,-0.00842896741453424,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0.0067296260331629,0,-0.0399432274321314,0,0,0,0,0,0,0,0.348581004204002,0,0,0,0,0,0,0.263383935547748,0,0,0,0,0,0,0,0.0113216371985261,0,0,0,-8.67361737988404e-19,0,0,0,0.0855935058261338,0,-0.152733917460192,0,0,0,0,0,0,-0.0601798569177084,-0.0421098703005879,-0.0121466233280596,0.0291913816619265,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0.0948381817135748,0,0,0,0,0,0.168917159449446,0.0827655606899001,0,0,0,0.00803799993972256,0,0,0.0141991637695812,0,0,0,0.105352495510384,0,0,-0.0301054881560768,0,0,0,0,0,0,0,0,-0.0376416255839856,0,0,0,-0.0894832959813966,0,0,0,0,0,0,0.0888385390740044,0,0,0,0.0230843653568492,-0.00396827054846199,0,0,0,0,0,0
X000858.SZ,0,0,0,0.0936437785091128,0,0,0,0.0385751337760787,0,-0.00289156851293497,0,0,0.345076392412969,0,0.0808444386657987,0,0.0355053936644006,0,0.146140592878971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0372996724866624,0,0,0.00870464995422222,0,-0.00133594354831107,0,0,0,0.101403245491389,0,0,0,-0.00231257036710263,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0.0688413380341506,0,0,0,0,0,0,0,0.151092723192851,0,0.182707892447047,-0.302417383488191,0.105387749253136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.307492402163802,0,0,0,0,0,0.247600314577612,0,0,0,0.0155732752328862,0.0879488126635785,0.0383609327968323,0,0,0,0,-0.0615344116296549,0.0529557914217454,0,0,0,0,0,0
X600276.SH,0,0,0.0557884934001052,0.164436445890318,0,0,0,0.000697347944031812,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0.0139522302449696,0,0,0,0,0,0,0,-0.0350862824529817,0,0,0,0,0,0,0,0,0.0176974715065874,0,-0.0619997643700329,0,-0.0802170345465536,0,0.0478918481019958,0,0,0,0.00959385168762771,0.00498507936634736,0,0,0,0,0,0
X002304.SZ,0,0.338135367351331,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0.65738151116969,-0.121420196899575,0.124605275714092,0,0,0,0,0,0,0.0399583557454457,0,0,0,0,0,0,0,0,-0.000472485874215785,0,0.394609485956701,0,0,0,0,0,0,0,0,0,0,-0.0273548068746401,0,0.0976009950725832,0,0,0,0.0553838423767718,0.0398438644809807,0.150391119629914,0,0,0,0,0
X600690.SH,0,0.103497230874117,0,0,0,0,0,0.161095282431903,0,0,0,0,0,0.0204824714114238,0,0,0,0,0.0235681740122448,0,0,0,0,0,0.00628623123535814,0,-0.0116801357961355,0,0,0,0,0,0,0,0,0.0100983066989298,0,0.0226383716353043,0,0,0,0,-0.0903243023868151,0.0254475968933786,0.0713259041505986,-0.0146808668485698,0.11937325853319,0,0,0,0,-0.00773564432138728,0,0,0,0,0,0
X000063.SZ,0,0,0,0,-0.063433557594442,0.0320223205040991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0286192356735736,0,-0.0442072210076044,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0755074099612672,0,0.0362546052618631,0,0.134508430924599,-0.137793808776642,0,0,0,0,0,-0.0120100495745792,0,0,0,0,0,0
