,X600519.SH,X000858.SZ,X002415.SZ,X600276.SH,X600809.SH,X000568.SZ,X000651.SZ,X002304.SZ,X600690.SH,X600104.SH,X600031.SH,X002475.SZ,X000725.SZ,X000661.SZ,X300014.SZ,X003816.SZ,X300124.SZ,X000338.SZ,X000063.SZ,X002241.SZ,X000100.SZ,X000625.SZ,X000596.SZ,X600703.SH,X300142.SZ,X000157.SZ,X002129.SZ,X002371.SZ,X600741.SH,X002179.SZ,X002049.SZ,X002007.SZ,X000799.SZ,X002236.SZ,X601877.SH,X600584.SH,X300146.SZ,X300003.SZ,X002414.SZ,X600183.SH,X000800.SZ,X600779.SH,X601799.SH,X600460.SH,X600702.SH,X600089.SH,X002074.SZ,X600707.SH,X000977.SZ,X002008.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0,0.0329826699002757,0,0,0,0,0,0,0,0.358655628051553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0206536329368658,0,0,0.071476806536458,0,0,0,0,0,0,0,0,0,0.192499322867441,0,0,0,0,0,0,0,0,0,-0.0502137998224976,0,0,0,-0.00165322393678447,0,0
X000858.SZ,0,0,0,0,0.152644825985269,0.1854520830524,0,0.0297612007750659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.154692470732906,0,0,0.234170833141654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0305139842280314,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,-1.73472347597681e-18,0,0.0904809294099649,0,0,0,0,0,0,0.0442151404078314,0,0.036281580605374,0,0,0,0,0,0,0,0,0,0,0,0,-0.0115983850826631,0,0.235001836075087,0.148011197155002,0.307070593279447,0,0,0,0,-8.67361737988404e-19,0.0170213202017304,0,0,0,0,0,0,0,-0.0300140520671608,0,0,0,0.049722401446576,0,0,0,0,-0.00814730866457143,0,0
X600276.SH,0,0.198406359781949,0,0,0,0.198168398827528,0,0,0,0,0,0,-0.0427475201822492,0,0,0,-0.116098088201804,0,0,0,0,0,0,0,0,0,0,0,0,0.00309612886418713,0,0,0,0.0555039626581594,0,0,-0.151135679154241,0,0,0,0,0,0.0213485017672412,0,0,0,0,0,0,0,0,0.0270755365368008,0,0,0,0,0.0290961485516148,0,0
X600809.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.127731359526491,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0.215092150258491,0,0,0.105739227030864,0,0.422464114403594,0,0.0322800913213312,0,0,0,0,0,0,0.0665211872594431,0,0,0,0,0,0,0,0,0,0,-0.0659999265935127,0,0,0,-0.040314377481827,0,0
X000568.SZ,0,0.722485689655933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0158739318937289,0,0,0,0,0,0,0,0.0237275279242411,0,0.291191457420077,0,0,0,0,0,0,0,0,0,0.031736773482727,0,0,0,0,0,-0.00871222665065731,0,0.0323522247539872,0.0744392219768417,0,-0.0449190937024081,0,0,0,1.0842021724855e-19,0,0
X000651.SZ,0,0,0,0,0.00867153106698561,0,0,0.0615606186989767,0.0165995478902381,0,0,0,0,0,0,0,0,0,0,0,0.107122084277271,0,0,0,0,0.00790706951051107,0,0,0.181928644372686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0153688419528497,0,0,0,0,0,0,-0.0150644006406181,0,0,0,0,0,0,0
X002304.SZ,0,0,0.0423146985960248,0,0.194237962478961,0.145295368230102,0,0,0.142422454560488,0,0,0.0693634217897671,0,0.0581144923380264,0,0,0,0,0,0,0,-0.0349043846776636,0,0.0255557372559973,0,0,0,0,0,0,0,0,0,0,0,0,0,0.205442744620196,0,0,0,0.0216753229707112,0,0,0,0,0,0,0,0,0,-0.0229971562931951,0,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0,0,0.0828853472152488,0,0,0,0,0,0.106843221917993,0.116968052557717,0,0,0,0,0,0,0,0,0,0,0,-0.0402434693523574,0,0.391587922951914,0,0,0,0.0295170380908243,0,0.0635019315986736,0,0,0.0671634694924464,0,0,0,0.141581912838957,0.0124429735894054,0.0610726165511151,0.0809554528403178,-0.0743697142061495,0,0,0,0,0,0,-0.0234910321202396,0,0,0,0.025422127893852,0,0
X600104.SH,0,0,0,0,0,0,0.0279682779144344,0,0,0,0,0.00207644695524051,0,0,0,0,0.110339829983442,0,0,0,0,0,-0.0257874761823926,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,-0.0500227449233106,0.0179206932990511,0,-0.0420329412476526,0.043568207861936,0.0667363007256407,0,0,0,0.0981267958474125,0,0,0.0208035882330833,1.0842021724855e-19,0,0,0,0.0131705825290128,0,0
