,X600519.SH,X600104.SH,X000651.SZ,X002415.SZ,X000858.SZ,X000725.SZ,X002304.SZ,X600276.SH,X000625.SZ,X000063.SZ,X600703.SH,X600741.SH,X000100.SZ,X002506.SZ,X002241.SZ,X002292.SZ,X600066.SH,X600031.SH,X002236.SZ,X600118.SH,X002049.SZ,X000559.SZ,X002465.SZ,X000157.SZ,X600372.SH,X002475.SZ,X000338.SZ,X600089.SH,X000568.SZ,X300124.SZ,X600177.SH,X600867.SH,X002294.SZ,X300003.SZ,X002456.SZ,X002074.SZ,X002007.SZ,X002129.SZ,X000869.SZ,X300146.SZ,X002426.SZ,X002085.SZ,X600498.SH,X601877.SH,X000550.SZ,X600584.SH,X000623.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0,0,0.0932391778915036,0,0,0,0,0.108326605780639,0,0,0.103721869966805,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0.0715039943977017,0,0,0,0,0,0,0,0,0,0,0.00766384459922342,0.00848340686083088,0,0,0,0,0.0157365487429843,-0.00181358518629722,0,0,0,0,0,0
X600104.SH,0,0,0,0.124645268812923,0,0,0,0,0.00240167127366094,0,0,0.0266125038082488,0.162126887452645,0,0.0884452145937844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0.0759368230869565,0,0,0,0,0.124707310206654,0,0,0,0,-0.0171606418880498,-0.00134660304664021,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0.0809074982516854,0.150691791341211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.446772819593319,0.0832664595390359,0,0,0,0,0,0,0,0,0,0,0,0.0555885952429802,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0.167618355858134,0.112558929487094,0.0779193845477288,0.0891399176158262,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0.00552285564996714,0.136635479171249,0,0,0,0,0.0221597327491891,0,0,0,0.213812066103731,0.0379094419768429,0,0,0,0,0,0.0786341070946168,0,0,0,-0.008633047034981,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.173601972081061,0.375443583179203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0346826018003454,0,0.0782506195045463,0,0,0,0,0,0,0,0,0,0,-0.016786497089298,-0.00675648403790809,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0.126550690815843,0,0,0,0.215616770883246,0.0121024122113854,0,0,0,0,0,0,0,0,0,0.128589583971902,0,0,0,0,0,0,0.163877461878921,0,0,0,0.0194797015607585,0.0301750654111527,0,0.0486467436311449,0,0,0,0,0.0663455534738567,0,0,0,0,0,0,-0.00928392886563337,0,0,0,0,0,0
X002304.SZ,0,0.039723588662847,0,0,0,0,0,0,0,0,0.0349519327064744,0,0,0,0,0,0,0,0,0.121454637056066,0,0,0,0,0,0,0,0,0.22411373139965,0,0.153948496951394,0.0624487136086394,0,0,0,0,0,0,0.0728768958632391,-6.93889390390723e-18,0,0,0.0211634728143628,0,0,0,0,0,0,-0.0395681897550515,0,0,0,0,0,0
X600276.SH,0,0,0.0858423661451737,0,0,0,0,0,0,0,0,0,0.0498416322865255,0,0,0,0,0,0,0.0996362234599705,-0.085276032887195,0.0874173574682801,-0.100871866978918,0,0,0,0,0,0,0,0,0,0,0,0,-0.0147390942153419,0,0,0,0,6.93889390390723e-18,0,0.0507901772237694,0,0,0,0,-0.0743912791858272,-0.00912441527609394,0,0,0,0,0,0,0
X000625.SZ,0,0,0.0980029017439824,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0.00362190286048203,0,0,0,0.0858281620412395,0,0.194467576279927,0,0,0,0,0,0,0,0,0,0,0,0,0.00207876824446336,0,0,0,0,0,0.00103932515625586,0,0,0,0.22281978417606,0,0.199088606801323,0,0,-0.0209743592677081,0,0,0,0,0,0
X000063.SZ,0,0,0.0505781812118095,0,0,0,0,0,0.0496897040493154,0,0,0,0,0,0.0548062382913447,0,0,0,0,0,0,0.137299285652223,0,0,0,0,0,0,0,0.160350976748847,0.156546996643606,0,0,0,0,-2.16840434497101e-19,0,0.020423813830272,0,0,0.139626179674225,0,0,0,0,0,0.0112164602870369,0,0,-0.0167848000731182,0,0,0,0,0,0
