,X600519.SH,X000858.SZ,X600809.SH,X000568.SZ,X002415.SZ,X002304.SZ,X600690.SH,X002475.SZ,X600276.SH,X600104.SH,X300014.SZ,X000651.SZ,X300124.SZ,X600031.SH,X000625.SZ,X002129.SZ,X000725.SZ,X003816.SZ,X002371.SZ,X000596.SZ,X000063.SZ,X002241.SZ,X002049.SZ,X000338.SZ,X600703.SH,X600089.SH,X002179.SZ,X000661.SZ,X601877.SH,X002074.SZ,X300142.SZ,X600741.SH,X600522.SH,X002180.SZ,X000733.SZ,X600702.SH,X600460.SH,X000100.SZ,X000799.SZ,X600884.SH,X000157.SZ,X002236.SZ,X601799.SH,X600584.SH,X000800.SZ,X002176.SZ,X600779.SH,X002007.SZ,X002414.SZ,X600183.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.186755828762554,0.157175122848855,0,0,0.0367955195180638,0,0.0281899110589517,0,0,0,0,0.0462566606267975,0,0,0,0,0,0.103878260442225,0,0,0,0,0,-0.0226674894975881,0.00925143353198124,0,0,-0.0662392797224508,0,0,0,0,0.00541729253303788,0.0467509752825116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000523032635128443,0,0,0,0.02697081379785,0,0
X000858.SZ,0,0,0.022294030976144,0.221329078521174,0,0,0,0,0,0,0,0,0,0,-0.0108804296216774,0,0,0,0,0.107209156235418,0,0,0,0,0,-0.0644748098910766,0,0,0,0,-0.000107662058736859,0,0,0,0,0.0884540591179756,0,0,0.189532295643379,0,0,0,0,0,0,0.0399802482367782,0.134701701092457,0,0,0,0,-0.00322032449316249,2.16840434497101e-19,0,0,0,0.0148179631047556,0,0
X600809.SH,0,0.460089312320801,0,0,0.0410516140970363,0,0,0,0,-0.0396453170198093,0,0,0,0,-0.0264528338204047,0,0,0,0,0.161496166671815,0,0,0,0,0,0,0,0,0,0,0,0,0.0636648449699349,0,0.0343020172337556,0.301948424965817,0,0,0,0,0,0,3.46944695195361e-18,0,-0.0306580807659522,0,0,0,0,0,0,0.00810679767400955,0,0,0,0,-0.0207391410019126,0,0
X000568.SZ,0,0,0,0,0,0.152210049052785,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0370263013822416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.268465700367924,0,0,0.273818498611668,0,0,0,0,0,-0.0489272252249686,0,0,0,0,0,0,0,0.0618279223904478,0.0930499484639775,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0.274816140214891,0,0,0,0,0,0,0.369728495101965,0,-0.259929236892735,0,0,0,0,0,0,0.142732592399366,0,0,0,0,0.0350114971975278,0,0,0,0.0138016069196242,0,0,0,-0.121894074487555,0,0,0,0,0,0,0.608124603647288,0,0,0.0101907078302394,0,0,0,-0.0145001316710771,0,0,0,0.153119882515857,0,0,0,-0.130609582204791,0,0
X002304.SZ,0,0,0,0.162716433113838,0,0,0.0802116394915355,0,0.0280680129919825,0,0,0,0,0,-0.0215821551001899,0,0,0,0,0,0,0.0450271095582492,0,0,0,0,0,0,0,0,0,0,0,0,0.0360031496518556,0.300816395810959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00055154491452576,0,0,0,0,0,0,0
X600690.SH,0,0,0,0.00603968089237083,0,0.0680873740711725,0,0,0,0,0,0,0.267103117919613,0,0,-0.0999950140748984,0,0,0,0,0.0521725191960192,0,0,0.0592645746684529,0,-0.00703030908619176,0,0,0,0,0,0,0,0,0,0.0287410163409737,0,0,0,0,0,0,0,0,0,0,-0.0369100871340176,0,0.0448770692858832,0,0,-0.0387480698899317,-0.0110300670754735,0,0,0,-0.112534876488412,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0.139608364869538,0,0,0,0,0,0,0,0,0,0.100958289693778,0.114504735509524,0.00164282287001416,0.389078220676508,0,0,0,0,-0.0978047433167614,0,0,-0.0241662288530558,0,0,0,0,0,0,0,0,0,0,0,0.207001579353863,0,0,0,0,0,0,0,0,0,0.000128276074144023,0.0109519037115887,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,-0.138022540450581,0,0.112991176090579,0,0,0,0,0,0,0,0,0,0.128632190474984,0,0,0,0.131413503009849,0.0279386978362604,0,0,0,0,0,0.149660840381905,0,0,0,0.0328884736916466,0,0,0,0.0143954291560307,0.0851357853744972,0,0.262974553421476,0,0,0,0,0,0,0,0,0,-0.0499097180891263,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0.141165820759727,0,0,0.145032157416168,0,0,0,0,0,0,0,0,0,0,0,0,0,0.191693523564016,0.0534761938647637,0.00851517017146116,0,0,0,0,0,0,0,0,0.00769110671966133,0,0.0514964534993594,0,0,0,0,0,0,0,0,-0.0170918109995801,0,0,0,0,0
