,X600519.SH,X000858.SZ,X000568.SZ,X002415.SZ,X600809.SH,X600276.SH,X002475.SZ,X600690.SH,X002304.SZ,X000651.SZ,X300124.SZ,X000063.SZ,X600104.SH,X000725.SZ,X003816.SZ,X000625.SZ,X002371.SZ,X600031.SH,X000596.SZ,X300014.SZ,X002129.SZ,X000338.SZ,X002179.SZ,X600703.SH,X600089.SH,X000100.SZ,X002049.SZ,X600372.SH,X000977.SZ,X002236.SZ,X002241.SZ,X600741.SH,X000157.SZ,X601877.SH,X600584.SH,X000661.SZ,X600522.SH,X600702.SH,X002180.SZ,X002074.SZ,X000733.SZ,X300142.SZ,X600460.SH,X000800.SZ,X002007.SZ,X002463.SZ,X601799.SH,X000066.SZ,X002028.SZ,X300003.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.233549727750938,0.134027391695008,0,0.0542592356279369,0.100589390399851,0,0,0,0.159444248456893,0,-0.0541378175912771,0,-0.067596066479237,0,0,0.00680774233091271,0,0,0,0.0368391643019811,0,0,0,0,0,0,0,-0.0181393211860865,-0.0130679899078685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0101729127025343,0,0,0,0.0242232397723038,0,0,0,0,0,0
X000858.SZ,0.0472685436290507,0,0.494265194988879,0,0,0,0,0.0524402139658883,0.10830869460058,0,0,0,0,0,0,0,0,0.088417262405721,0,0,0,0,0,0,0,0,0,0,-0.00254035162975732,0,0,0,0,0,-0.020639840871654,0,0,0.152615554592763,0,0,0.0307470514241729,0,0,0,0,0,0,0.00844681785661291,0,0,0,-0.0174706066534237,0.018640106553999,0,0,0,0,0,0
X000568.SZ,0.470863792708152,0.26699648756219,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00188030395870745,0.0528812328388679,0,0.136560251577414,0.00900441919863519,0,0,0,0,0,0,0,0,0,-0.033920263892476,0,0,0,0,0,0,0,0.226496134443614,0,0,0,0,0,0,0,0,-0.0527793205242606,-0.0186539231720599,-0.0734694122115664,0,0,-0.00955634447795537,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0.0871628789775157,0,0,0,0,0,0,0,0,0,0,0,0,0.233237051766186,0,0.138108339361403,0,0,-0.116364686441137,0.171892480536527,0,0,0,0,0,0.365873840327299,0,0,0,0,0,0,-0.248311138030126,0,0.246380434748237,0,0,0,0,0,0,-0.0962780656892672,0,0,0,0,0,0,-0.0139952585952721,0.301874101293386,0,0,0,0,0
X600809.SH,0,0,0,0,0,-1.73472347597681e-18,0,0,0.469325481052607,0,0,-0.0517189398772886,0,0,0,0,0,0,0,0.122998944020555,0,0,0,0.0267046450953742,0,0,0,0.0831133108506429,0,0,0,0,0,0,0,0,0,0,-0.135265687396727,0,0,-0.0328399417886655,0.138407373363098,0,-0.0495586526939102,0,0,0,0,0,0,0.0651804809836028,0.115254964083437,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0.0327815163124996,0,0,0,-0.284787614179728,0,0,0.394208730014135,0,0,0,0,-0.229899912766258,0.132498932165457,0,0,0,0.2597837413278,-0.190288722226696,0,0,0,0,0,0.455672463638608,0.311109935743909,0,-0.0479019138450934,0,0,0,0,0,0,-0.0843632165538975,0,0,0.245606463707431,0,0,0,-0.038132915526455,0,-0.185686844788311,0,0,0,0
X002475.SZ,0,0,0,0.114472172625691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0719277228122261,0.0604670555333011,0.650555022036138,0,0,0,0.110081156634428,0,0,0.0014579905175857,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,-0.0177145642722675,0,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0.130197880315594,-0.00332572700317802,0,0,0.192916766535508,0,0,0,0.0954221601567511,0,0,0,0.0599889765629907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0607256729830651,0,0,0,-0.0281238542198428,0,0,0,0,0,0.104279780807162,-0.0419851636233202,0,0,0,0,0,0
X002304.SZ,0,0.149838991792884,0.327022226135725,0,0.0123425442580979,0,0,0,0,0,0,0,0,0.0445226030941168,0,0,0,0,0.116189154593212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.16840434497101e-19,0,0,0,0,0,0,0,0.0161566005198046,0,0,0,0,0,0.00358926464380328,0.0111953420452568,0,0,0,0,0,0
X000651.SZ,0,0.127124609182408,0,-0.111172375073484,0,0,0,0.43536157050832,0,0,0,0,0,0,0,0.0819524963795141,0,0,0,0,0,0,0,-0.0051836295576597,0,0,0,0,-0.0208743929120944,0,0,-0.0179252979173723,0,0,0,0,-0.0522066212312056,0,0,0,0,0,0,0,0,0,0,-0.00509938119337365,0,0,0,0.00197153273305057,0,0,0,0,0,0,0
